Keyterm,Info
"2-572 
 Revision 1 
 BOEING 
 O-47B 
 September 29, 2011",
Type Certificate Holder,"The Boeing Company 
 4000 Lakewood Blvd 
 Long Beach, California 90846"
Type Certificate Holder Record,"North American Corporation transferred Type Certificate No. 2-572 
 to The Boeing Company on January 16, 2009"
"Model: O-47B, 1 PCLM (See NOTE 5), Approved August 1, 1945",
Engine,Wright Cyclone GR-1820G-102 with 3:2 reduction gearing
Fuel,90 minimum octane aviation gasoline
Engine limits,"Maximum, except take-off 
 (Sea level) 36.7 in.Hg., 2200 rpm (900 hp) 
 (Straight line manifold pressure variation with altitude to 6000 ft.) 35.0 in.Hg., 
 2200 rpm (900 hp) 
 Take-off (one minute) 
 43.0 in. Hg., 2350 rpm (1100 hp) or 
 43.0 in. Hg., 2200 rpm (1100 hp)"
Airspeed limits,"Level flight or climb – 210 mph True Indicated 
 Glide or dive – 262 mph True Indicated. 
 Flaps extended – 135 mph True Indicated"
CG range,"(Landing gear extended – see NOTE 2) 
 (+21.2) [19.2 percent Mean Aerodynamic Cord (MAC)] to (+26.3) (24.5 
 percent MAC)"
Datum,Leading Edge (LE) of wing root
MAC,95.9 in. LE MAC (+2.8)
Leveling means,"Leveling lugs on right side above wing center section 
 (outside of fuselage)"
Maximum weight,8380 lbs
No of seats,Pilot (+18) (See NOTE 5)
Maximum baggage,(See NOTE 1)
Fuel Capacity,"200 gallons (four tanks – two fuselage 60 gallons each (-2) and (+86) and two 
 wing 40 gallons each (+45) )"
Oil capacity,18 gallons (-29) (See NOTE 4)
Control surface movements,"Wing flaps 
 Down 45 degrees 
 Elevator tab 
 Up 6 degrees 
 Down 10 degrees 
 Elevator 
 Up 29.5 degrees 
 Down 21 degrees 
 Aileron tab 
 Up 12 degrees 
 Down 12 degrees 
 Aileron 
 Up 20 degrees 
 Down 14 degrees 
 Rudder tab 
 Right 6 degrees 
 Left 11.5 degrees 
 Rudder 
 Right 33.5 degrees 
 Left 30 degrees 
 Stabilizer 
 Fixed"
Serial Nos eligible,All AAF numbers when modified in accordance with NOTE 1
Required equipment,"1, 2, 101, 103, 104, 107, 108, 201, 202, 301, 302, 401"
Certification basis,Airworthiness Certificate only (CAR 04 prior to 11/9/45)
Page No,"1 
 2 
 3"
Revision No,"1 
 1 
 1"
Export eligibility,"Subject to inspection for equipment specified in Chapter XII of Inspection 
 Handbook: 
 (a) Canada – Landplane 
 Skiplane – not eligible 
 (b) All other countries except Australia and New Zealand"
