Keyterm,Info
"3A10 
 Revision 63 
 Textron Aviation Inc. 
 310 
 310J 
 310A (USAF U-3A) 
 310J-1 
 310B 
 E310J 
 310C 
 310K 
 310D 
 310L 
 310E (USAF U-3B) 
 310N 
 310F 
 310P 
 310G 
 T310P 
 310H 
 310Q 
 E310H 
 T310Q 
 310I 
 310R 
 T310R 
 July 29, 2015",
Type Certificate Holder,"Textron Aviation Inc. 
 One Cessna Boulevard 
 Wichita, Kansas 67215"
Type Certificate Holder Record,"Cessna Aircraft Company transferred to 
 Textron Aviation Inc. on July 29, 2015"
"I. 
 Model 310 (Normal Category), Approved March 22, 1954",
Engines,"2 Continental O-470-B or O-470-M (installed per Cessna Dwg. 0850000, 0951560, 
 0851000 and 0851755)"
Fuel,Grade 100 or 100LL aviation gasoline
Engine Limits,"For all operations, 2600 r.p.m. (240 hp.)"
Propeller and,"(a) Hartzell hub HC82XF or HC-A2XF-2 
 68 lb. ea. (-25)"
Propeller Limits,"with 8433 blades 
 Diameter: not over 84 in., not under 78 in. 
 Pitch settings at 30 in. sta.: 
 low 12.5°, high 22.0°, feathered 82.0° 
 (b) Hydraulic governor, Woodward 210105, 210155, 
 4 lb. ea. (-17) 
 210280, 210444, A210438, 210290 or C210355; 
 McCauley DCFU290D1/T2, DCFU290D2/T2 
 (c) Propeller spinner, Hartzell C-888 dome with 
 4 lb. ea. (-23) 
 C-807-1 bulkhead or 
 Cessna 0752006 dome with 0850300 bulkhead or 
 Cessna 0850311 dome with 0850300 bulkhead or 
 Cessna 0850313 dome with 0850300 bulkhead"
1,"2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14 
 15 
 16 
 17 
 18 
 19 
 20 
 21"
63,"61 
 50 
 61 
 61 
 61 
 50 
 61 
 61 
 58 
 61 
 61 
 61 
 50 
 61 
 61 
 61 
 61 
 61 
 62 
 61"
22,"23 
 24 
 25 
 26 
 27 
 28 
 29 
 30 
 31 
 32 
 33 
 34 
 35 
 36 
 37 
 38 
 39 
 40 
 41 
 42"
61,"61 
 61 
 50 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61 
 61"
43,44
63,63
Airspeed Limits,"Maneuvering 
 159 m.p.h. (138 knots)"
TIAS,"Maximum structural cruising 
 200 m.p.h. (173 knots) 
 Never exceed 
 246 m.p.h. (214 knots) 
 Flaps extended 
 130 m.p.h. (113 knots) 
 Landing gear extended 
 130 m.p.h. (113 knots)"
CG Range Landing,(+36.0) to (+41.5) at 4600 lb.
Gear Extended,"(+33.9) to (+42.1) at 4240 lb. 
 (+32.0) to (+42.1) at 3900 lb. or less 
 Straight line variation between points given"
Empty Wt CG Range,None
Maximum Weight,4600 lb.
No of Seats,"5 (Std.) (2 at +37, 3 at +71) See Manufacturer's Weight and Balance data sheet for 
 optional seating arrangements."
Maximum Baggage,"200 lb. (+96) 
 See NOTE 2G for placard."
AntiIcing Fluid,4-1/2 qt. (7 lb. at +47)
Fuel Capacity,"102 gal. (2 wing tip tanks, 51 gal. each at +35) 
 See NOTE 1 for data on system fuel"
Oil Capacity,"24 qt. (12 qt. in each engine at (0), 6 qt. unusable per engine) 
 See NOTE 1 for data on system oil"
Control Surface,"Wing flaps 
 Down 45°"
