Keyterm,Info
"A-2-569 
 Revision 5 
 NAVY 
 N3N-3 
 December 21, 1950",
Manufacturer,"Naval Aircraft Factory 
 Philadelphia, Penn."
"I - Model N3N-3, 2 POLB",
Engine,"Wright R-760-2, -4 or -8 built by Naval Aircraft Fact. 
 (Equivalent to Wright R-760E-T) 
 (See NOTE 2 for Lycoming engines and NOTE 3 for P & W TIB-3 engine)"
Fuel,73 min. octane aviation gasoline
Engine limits,"For all operations, 2000 rpm (235 hp) (See NOTE 1(g) for placard)"
Airspeed limits,"Level flight or climb 
 126 mph True Ind. 
 Glide or dive 
 152 mph True Ind. 
 (Glide or dive speed may be increased to 180 mph True Indicated if Max. Weight is restricted 
 to 2800 lbs.)"
Propeller limits,"Diameter - 
 not over 102 in. (See NOTE 1(g) for additional limitations). 
 not under 100 in. (additional limitations."
CG range,"(-1.6) to (+7.0) at 3200 lbs. or less 
 (-1.6) to (+4.9) at 3400 lbs. 
 Straight line variation between points given. 
 LBS. 
 3400 
 3300 
 3200 
 REAR 
 FRONT 
 3100 
 LIMIT 
 LIMIT 
 3000 
 -2 
 -1 
 0 
 1 
 2 
 3 
 4 
 5 
 6 
 7 
 INCHES"
Empty weight CG range,None
Datum,Leading edge of lower wing
Leveling means,Top surface of upper longerons in either cockpit.
Maximum weight,3200 lbs. (See NOTES 2 and 3 for 3400 lbs.)
No seats,2 (one at +28 and one at +75)
Maximum baggage,20 lbs. (+100)
Fuel capacity,45 gals. (-11)
Oil capacity,3-3/4 gals. (-31)
Control surface movements,"Elevators 
 Up 
 35° 
 Down 
 25° 
 Elevator tab 
 Up 
 15° 
 Down 
 15° 
 Rudder 
 Right 
 30° 
 Left 
 30° 
 Aileron 
 Up 
 30° 
 Down 
 18°"
Certification basis,CAR 4a.031
Serial Nos,All eligible per NOTES 1 AND 2
Required equipment,"Items 1, 101, 102, 103, 201, 202, and 403."
1,"Propeller - adj. metal - Navy 5406AL or 5406AR hub 
 86 lbs. (-80) 
 and 4350F blades (See NOTE 1(e) for restrictions)"
Page No,"1 
 2 
 3"
Rev No,"5 
 5 
 4 
 Engines and Engine Accessories (Fuel and Oil System)"
101,"Carburetor air heater assy. (See NOTE 1(b) for modifications) 
 13 lbs."
102,Engine-driven fuel pump - Pesco R-400
103,Hand fuel pump
104,"Fire ext. press. type (engine section) 
 ( -9)"
105,Carburetor air cleaner
106,Starter - hand cranking
107,Engine primer
