Keyterm,Info
"A-676 
 Revision 2 
 AERONCA 
 KM 
 50-M 
 March 7, 2005",
Type Certificate Holder,"National Aeronca Association 
 806 Lockport Road 
 P.O. Box 2219 
 Terre Haute, IN 47802 
 Name change from Aeronca to National Aeronca Association March 7, 2005."
"I - Model KM, 2 PCLM, Approved April 26, 1938.",
Engine,Menasco Pirate M-50
Engine limits,"For all operations, 2500 rpm (50 hp)"
Airspeed limits,"Level flight or climb - 100 mph True Ind. 
 Glide or dive -- 135 mph True Ind."
Propeller,Maximum permissible diameter 81 in.
CG range,(+13.4) to (+20.5)
Empty weight CG range,Not available
Maximum weight,1150 lbs.
Number of Passengers,1 (+21)
Maximum baggage,40 lbs. (aft of seat) (+45)
Fuel capacity,10 gallons (-10)
Oil capacity,1 gallon (in engine) (-32)
Serial Nos eligible,KM-1 and up manufactured prior to 12-11-42 eligible. Approval expired as of that date.
"II - Model 50-M, 2 PCLM, Approved October 19, 1938. 
 (Same as model KM except for wide cabin. No structural changes.)",
Engine,Menasco Pirate M-50
Engine limits,"For all operations, 2500 rpm (50 hp)"
Airspeed limits,"Level flight or climb - 100 mph True Ind. 
 Glide or dive -- 135 mph True Ind."
Propeller,Maximum permissible diameter 81 in.
CG range,(+13.4) to (+20.5)
Empty weight CG range,Not available
Maximum weight,1150 lbs.
Number of Passengers,1 (+21)
Maximum baggage,40 lbs. (aft of seat) (+45)
Fuel capacity,12 gallons (-10)
Oil capacity,1 gallon (in engine) (-32)
Serial Nos eligible,M-1018 and up manufactured prior to 12-11-42 eligible. Approval expired as of that date.
Specifications Pertinent to all Models,
Datum,Wing leading edge
Leveling means,Not available
Certification basis,Approved Type Certificate 676 (expired) (CAR 04)
101,"6.00-6 wheels (Shinn 6C4) with tires 
 21 lbs. 
 (- 1)"
102,Tail skid
103,"Propeller -- wood (fixed or adj. pitch) 
 8 lbs. 
 (-43)"
104,"Carburetor air heater 
 2 lbs. 
 (-31)"
105,Wheel type control (Dwg. 7-35)
301,"Wheels 
 ( -1) 
 (a) 3 inch (Goodyear 3-LMBM) with brakes 
 10 lbs.* 
 (b) 6.00-6 (Shinn 6C4B or 6C4HB) with brakes 
 5 lbs.* 
 (c) 3 inch (Goodyear 3-LNBM) 
 1 lb.*"
302,"Tires 
 (a) 18x8-3 with tubes 
 4 lbs.* 
 (- 1) 
 (b) 16x7-3 with tubes 
 Neglect weight"
303,"Tail wheel installations 
 (a) Shock cord type with 6x2.00 wheel and pneumatic 
 tire (Dwg. 7-27) 
 1 lb.* 
 (+174) 
 (b) Leaf spring type with 6-inch wheel and solid tire 
 (Dwg. 4-104) 
 2 lbs.* 
 (+180) 
 (c) 6x.200 steerable 
 3 lbs.* 
 (+179)"
304,"Cabin heater 
 2 lbs. 
 (- 28)"
305,"Carpet 
 2 lbs. 
 (+ 1)"
306,"Wheel streamlines 
 8 lbs. 
 (- 1)"
307,"Battery (Exide 3-AC-7-1) 
 13 lbs. 
 (+ 46)"
308,"Extra door 
 2 lbs. 
 (+ 21)"
309,"5-gallon auxiliary fuel tank installation (See Note 1) 
 10 lbs. 
 (+ 29)"
310,"Special instruments 
 6 lbs. 
 (- 1)"
311,"Parachutes (one or two) 
 20 lbs.each 
 (+ 21)"
312,"Radio equpment 
 (a) Receiver (RCA AVR-15 or -15A) 
 11 lbs. 
 ( - 5) 
 (b) Receiver (RCA AVR-10 or -10A) 
 9 lbs. 
 (- 7) 
 (c) Receiver (Learadio AMR-1 or AMRL-1) 
 11 lbs. 
 (+ 43) 
 (d) Transmitter (Learadio AMT-1) 
 9 lbs. 
 (+ 45) 
 (e) Loop antenna 
 2 lbs. 
 (+ 36) 
 (f) Trailing antenna 1 lb. 
 (g) ""T"" type antenna Neglect weight 
 (h) Reel type trailing antenna 
 3 lbs. 
 (+ 79)"
313,"Stick type control (Dwg. 7-70) 
 No weight change"
314,"Landing lights (Grimes ST-250) one or two 
 5 lbs. each 
 (+ 17)"
315,"Parking brake installation 
 1 lb. 
 (+ 6)"
316,"Generator -- wind-driven (Air Assoc. G-6 or G-12) 
 8 lbs. 
 (+ 9)"
317,"Skis 
 Use actual weights 
 (a) Washington Aircraft 1200 
 (b) Federal SA-1 or SA-2 
 (c) Federal SC-1 or SC-2 
 (d) Marston MFS-1200 
 (e) Marson MFS-1600 
 (f) Jennings TY-2 
 (g) Richards 1-B 
 (h) Graf-Shupe A 
 (i) 
 Heath 655"
Note 1,Fuel arm of auxliary tank (+48).
Note 2,"Eligible for export as follows, subject to provision of Chapter XII of Inspection Handbook: (6-2-41) 
 a. 
 Great Britain 
 b. 
 All other countries except Canada, Australia, and New Zealand."
