Keyterm,Info
"A-806 
 Revision 25 
 Viking Air Limited 
 DHC-2 Mk. I 
 DHC-2 Mk. II 
 DHC-2 Mk. III 
 September 04, 2014",
Type Certificate Holder,"Viking Air Limited 
 9574 Hampden Road 
 Sidney, British Columbia 
 Canada V8L 5V5"
Type Certificate Holder Record,"deHavilland Aircraft of Canada, Limited transferred TC A-806 to Boeing of Canada, Ltd. 
 (de Havilland Div.) on August 02, 1988 
 Boeing of Canada, Ltd. (de Havilland Div.) transferred TC A-806 to deHavilland Inc. on 
 June 16, 1993 
 deHavilland Inc. transferred TC A-806 to Bombardier Inc. on January 26, 2006 
 Bombardier Inc. transferred TC A-806 to Viking Air Limited on January 31, 2006"
"I. 
 Model DHC-2 Mk. I (L-20A - See Note 4). (Beaver) (Normal Category), approved March 12, 1948",
Engine,"Pratt & Whitney Wasp Jr. R985 SB-3 (See Note 301(a) through 301(j) for optional 
 engines)."
Fuel,80/87 octane minimum grade aviation gasoline
Engine limits,"Maximum continuous: 
 (Sea level) 34.5 in. Hg. 2200 rpm (400 hp) 
 (Straight-line manifold-pressure variation with alt. to 5000 ft.) 
 33.5 in. Hg. 2200 rpm (400 hp) 
 Takeoff (one minute): 
 36.5 in. Hg. 2300 rpm (450 hp) Sea level"
Propeller and propeller limits,"Propeller - Hamilton Standard, Counterweight, Hub Model 2D30 
 Blade Model 6101A-12 to -18. 
 (Diameter 9 ft. -0 in. max.; 8 ft. - 4 in. min. allowable for repairs) 
 Pitch setting at 42 inch station: Low 10.5 degrees; high 24 degrees. 
 Propeller - Hamilton Standard, Hydromatic, Hub Model 22D30 
 Blade Model 6533A-12 to -18. 
 (Diameter 9 ft. -0 in. max.; 8 ft. - 4 in. min. allowable for repairs) 
 (Eligible on Pratt & Whitney R-085-AN-14B) 
 Pitch setting at 42 inch station: low 10.5 degrees; hig 24 degrees. 
 Constant speed governor Hamilton Standard Type 1A2-G5 or -A5 
 Hydromatic propeller governor Hamilton Standard Type 4B2-2."
Airspeed limits CAS,"Landplane & Skiplane 
 Seaplane 
 at 4650 lb. 
 at 5100 lb. 
 5090 lb. 
 (mph) 
 (knots) 
 (mph) 
 (knots) 
 (mph) 
 (knots) 
 Vne (never exceed) 
 195 
 170 
 175 
 152 
 175 
 152 
 Vno (max. structure) 
 cruising) 
 155 
 135 
 140 
 122 
 140 
 122 
 Vfe (flaps extended) 
 105 
 91 
 105 
 91 
 105 
 91"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12"
Rev No,"25 
 25 
 25 
 25 
 25 
 20 
 20 
 20 
 25 
 20 
 23 
 25"
Center of Gravity CG Range,"(See Note 10.) 
 Aircraft 
 Limits (in.) 
 Weight 
 Fwd. 
 Aft. 
 (lb.) 
 Configuration 
 of Datum 
 Landplane & Skiplane 
 5100 
 -1.25 
 -8.8 
 3800 or less 
 +6.60 
 -8.8 
 5100 
 -1.25 
 -4.4 
 Landplane & Skiplane 
 3800 or less 
 +6.60 
 -4.4 
 with Items 203 or 204 
 4820 
 -1.25 
 -7.8 
 Landplane & Skiplane 
 3800 or less 
 +6.60 
 -7.8 
 with Item 205(d) 
 5100 
 -1.25 
 -6.1 
 Amphibian on wheels 
 3800 or less 
 +6.60 
 -6.1 
 (Item 101(a)(i)) 
 Amphibian on Floats 
 5000 
 -1.25 
 -6.1 
 (Item 101(a)(i) 
 3800 or less 
 +6.60 
 -6.1 
 Floatplane 
 5090 
 -1.25 
 -6.1 
 (Item 101(d)(i)) 
 3800 or less 
 +6.60 
 -6.1 
 Floatplane (Item 101(d)(i)) 
 4820 
 +0.44 
 -1.5 
 with Items 205 or 206 
 3800 or less 
 +6.60 
 -1.5 
 Floatplane (Item 101(d)(i)) or 
 Amphibian (Item 101(a)(i)) with 
 Item 207 
 All weights 
 +0.44 
 -3.50 
 The CG. sign convention is the reverse of that normally used, i.e., (+) distance is 
 forward, while (-) distance is aft of datum. Straight line variation between points given."
Empty weight CG Range,None
