Keyterm,Info
"A00001LA 
 Revision 4 
 GA200 (Pty) Ltd 
 GA200 
 GA200C 
 July 7, 2021",
Type Certificate Holder,"GA200 (Pty) Ltd 
 C/O GippsAero Pty Ltd. (ACN 119 523 821) 
 Latrobe Regional Airport, Traralgon, VICTORIA 3844, Australia 
 Mail Correspondence: P.O. Box 881 Morwell, Victoria 3840, Australia"
Type Certificate Holder record,"Gippsland Aeronautics Pty. Ltd. transferred TC A00001LA to GA200 (Pty) Ltd on 
 October 18, 2011 
 9.� GA200 (Restricted Category) Approved October 15, 1997"
Engine,"Avco Lycoming O-540-A1D5 or O-540-H2A5 
 Type Certificate: E295"
Fuel,100LL or 100/130 Aviation gasoline.
Engine Limits,2575 r.p.m. and 240 HP for all operations.
Propeller and Propeller Limits,"McCauley 1A200/FA8452 metal, fixed pitch. 
 Type Certificate: P874 
 Not over 84.0 inches (2134 mm) diameter. 
 Not under 82.3 inches (2090 mm) diameter. 
 No further reduction permitted 
 Pitch 52.0 inches (1320 mm) at 0.75 radius. 
 Maximum static r.p.m. (full throttle) 
 Not over - 2450 r.p.m. 
 Not under – 2350 r.p.m."
Airspeed Limits IAS,"Never Exceed 
 Vne 138 kts 
 Max Structural cruise 
 Vno 110 kts 
 Maneuvering 
 Va 107 kts 
 Max flaps extended 
 Vfe 97 kts"
Center of Gravity,Forward Limit:
CG Range,"+ 38.0 inches (+ 965 mm) aft of datum at 1900 lbs. (862 kg.) or less. 
 + 39.0 inches (+ 991 mm) aft of datum at 2900 lbs. (1315 kg.). 
 Variation is linear between 1900 lbs. (862 kg) and 2900 lbs. (1315 kg.). 
 Aft Limit: 
 + 44.0 inches (+ 1118 mm) aft of datum at 2900 lbs. (1315 kg) or less."
Empty Weight C G Range,None.
Datum,"Fuselage firewall frame jacking points at fuselage station 0 (stated arms are positive aft; 
 negative forward)."
Page No,"1 
 2 
 3 
 4 
 5"
Rev No,"4 
 3 
 1 
 4 
 1"
