Keyterm,Info
A00002AC,
Revision 22,
"Eclipse Aerospace 
 EA500 
 January 7, 2021",
Type Certificate Holder,"Eclipse Aerospace, Inc. 
 43W514 US Route 30 
 Sugar Grove, IL 60554"
Type Certificate Holder Record,"Eclipse Aerospace, Inc (a subsidiary of ONE Aviation) transferred ownership to 
 Eclipse Aerospace, Inc. (a subsidiary of AML Global Eclipse), retaining the same 
 address, on December 8, 2020. 
 …… Eclipse Aviation Corporation transferred ownership to Eclipse Aerospace, Inc., 
 retaining the same address, on September 30, 2009."
,Type Certificate originally issued to Eclipse Aviation Corporation on
,"September 30, 2006."
"I. Model EA500, (Eclipse 500) (Normal Category), Approved September 30, 2006 (Serial Numbers 000001 through 
 000038",
Engines,"Two Pratt & Whitney Canada PW610F-A, 
 Type Certificate Data Sheet (TCDS) E00074EN"
Fuel,"JET A and Jet A-1 per ASTM D 1655; JP-8 per MIL-T-83133 
 Fuels not containing icing inhibitors must have MIL-I-27686, MIL-I-85470, or Phillips PFA- 
 55MB fuel system icing inhibitors blended into the aircraft fuel at concentrations not less than 
 0.10% but no more than 0.15% by volume. The minimum fuel icing inhibitor content during 
 refueling is 0.10% by volume."
Engine Limits,"N1(%) 
 N2(%) 
 MAX ITT (°C) 
 Time Limit 
 Maximum Take-off 
 102 
 100 
 795 
 5 minutes 
 Max. Continuous 
 102 
 100 
 795 
 Continuous 
 APR 
 102 
 100 
 795 
 10 minutes 
 Transient 
 103 
 102 
 850 
 20 seconds"
Airspeed Limits,"Vo 
 Maximum Operating Maneuvering Speed 
 180 KEAS 
 VMO 
 Maximum Operating Airspeed 
 275 KEAS 
 MMO 
 Maximum Operating Mach 
 0.64 M 
 VFE (Flap T/O) 
 Maximum Flap Extended Speed 
 200 KEAS 
 VFE (Flap LDG) 
 Maximum Flap Extended Speed 
 120 KEAS 
 VLO 
 Maximum Landing Gear Operating Speed 
 200 KEAS 
 VLE 
 Maximum Landing Gear Extended Speed 
 275 KEAS 
 Maximum tire ground speed 
 139 KNOTS"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11"
Rev No,"21 
 21 
 21 
 4 
 1 
 7 
 18 
 21 
 19 
 20 
 21 
 Rev 19: Oil Capacity, added “see AFM for recommended oil types”; Changed to Part 36 Amdmt 36-28; Note 2, added “See AFM for"
Center of Gravity CG Range,"Forward limits: 195.65 inches aft of datum up to 4,910 lbs with a straight line taper to 197.5 
 inches at 5,760 lbs. 
 Aft Limits: 203.25 inches aft of datum up to 5,509 lbs with a straight line taper to 200.0 
 inches at 5,760 lbs."
Minimum Crew,"1 Pilot plus required equipment as specified in the FAA Approved Airplane Flight Manual 
 (AFM)"
Maximum Weights,"Max. Ramp 
 5,800 lbs 
 Max. Takeoff 
 5,760 lbs 
 Max. Landing 
 5,415 lbs 
 Max. Zero Fuel 
 4,860 lbs"
Number of Seats,"6 Max (Includes pilot and crew); Refer to the FAA Approved Airplane Flight Manual (AFM), 
 Document No. 06-100106, revision 4, dated December 13, 2007 or later FAA approved 
 revision, reference Section 6 for seat configurations and moment arms."
Maximum Compartments,"260 lbs; 1 compartment, moment arm 217.92 inches aft of datum"
Weights,"Baggage Compartment floor loading is 100 lb/ft2 
 Cabin floor loading is 80 lb/ft2"
Fuel Capacity,"227.5 gallons (USG) total; 224 gallons (USG) usable; 
 3.5 gallons (USG) unusable 
 Moment arm 198 inches aft of datum"
Oil Capacity,6.48 quarts (USQ) total per engine; 1.15 quarts (USQ) usable per engine
Maximum Operating,"Takeoff 10,000 ft MSL"
Altitude,"Operating 41,000 ft MSL"
Control Surface Movements,"Elevator 
 UP 
 25°± 0.5° 
 DOWN 
 15°± 0.5° 
 Elevator Trim 
 Tab 
 UP 
 20.0° ± 1.0° 
 DOWN 
 20.0° ± 1.0° 
 Ailerons 
 UP 
 15.5° + 0.5°/-0.2° DOWN 
 11.6°+ 0.5°/-0.2° 
 Aileron Trim 
 UP 
 5.4° ± 0.3° 
 DOWN 
 4.8° ± 0.3° 
 Rudder 
 LEFT 
 30° ± 0.5° 
 RIGHT 
 30° ± 0.5° 
 Rudder Trim 
 Tab 
 LEFT 
 20.0° ± 1.0° 
 RIGHT 
 20.0° ± 1.0° 
 Flaps 
 Cruise 
 0° ± 0.5° 
 Takeoff 16.8° ± 0.5° 
 Landing 33.8° ± 1.0° 
 For serial numbers 000039 through 000104, 000113 through 000115, 000120 and 000123 through 000124. 
 For serial numbers 000001 through 000038 which incorporate Eclipse FAA approved Service Bulletin, SB 500-99-"
Engines,"Two Pratt & Whitney Canada PW610F-A, 
 Type Certificate Data Sheet (TCDS) E00074EN"
Fuel,"JET A and Jet A-1 per ASTM D 1655; JP-8 per MIL-T-83133 
 Fuels not containing icing inhibitors must have MIL-I-27686, MIL-I-85470, or Phillips PFA- 
 55MB fuel system icing inhibitors blended into the aircraft fuel at concentrations not less than 
 0.10% but no more than 0.15% by volume. The minimum fuel icing inhibitor content during 
 refueling is 0.10% by volume."
Engine Limits,"N1(%) 
 N2(%) 
 MAX ITT (°C) 
 Time Limit 
 Maximum Take-off 
 102 
 100 
 795 
 5 minutes 
 Max. Continuous 
 102 
 100 
 795 
 Continuous 
 APR 
 102 
 100 
 795 
 10 minutes 
 Transient 
 103 
 102 
 850 
 20 seconds"
Airspeed Limits,"Vo 
 Maximum Operating Maneuvering Speed 
 180 KEAS 
 VMO 
 Maximum Operating Airspeed 
 285 KEAS 
 MMO 
 Maximum Operating Mach 
 0.64 M 
 VFE (Flap T/O) 
 Maximum Flap Extended Speed 
 200 KEAS 
 VFE (Flap LDG) 
 Maximum Flap Extended Speed 
 120 KEAS 
 VLO 
 Maximum Landing Gear Operating Speed 
 200 KEAS 
 VLE 
 Maximum Landing Gear Extended Speed 
 285 KEAS 
 Maximum tire ground speed 
 139 KNOTS"
Center of Gravity CG Range,"Forward limits: 195.65 inches aft of datum up to 4,922 lbs with a straight line taper to 197.91 
 inches at 5,995 lbs. 
 Aft Limits: 204.37 inches aft of datum up to 5,461 lbs with a straight line taper to 199.74 
 inches at 5,995 lbs."
Maximum Weights,"Max. Ramp 
 6,029 lbs 
 Max. Takeoff 
 5,995 lbs 
 Max. Landing 
 5,600 lbs 
 Max. Zero Fuel 
 4,922 lbs"
Minimum Crew,"1 Pilot plus required equipment as specified in the FAA Approved Airplane Flight Manual 
 (AFM)"
Number of Seats,"6 Max (Includes pilot and crew); Refer to the FAA Approved Airplane Flight Manual (AFM), 
 Document No. 06-121654, revision 1, dated January 28, 2008 or later FAA approved revision, 
 reference Section 6 for seat configurations and moment arms."
Maximum Compartments,"260 lbs; 1 compartment, moment arm 217.92 inches aft of datum"
Weights,"Baggage Compartment floor loading is 100 lb/ft2 
 Cabin floor loading is 80 lb/ft2"
Fuel Capacity,"254.4 gallons (USG) total; 250.9 gallons (USG) usable; 
 3.5 gallons (USG) unusable 
 Moment arm 198 inches aft of datum"
Oil Capacity,6.088 quarts (USQ) total per engine; 0.832 quarts (USQ) usable per engine
Maximum Operating,"Takeoff 10,000 ft MSL"
Altitude,"Operating 41,000 ft MSL"
Control Surface Movements,"Elevator 
 UP 
 25°± 0.5° 
 DOWN 
 15°± 0.5° 
 Elevator Trim 
 Tab 
 UP 
 4.1° ± 1.0° 
 DOWN 
 20.0° ± 1.0° 
 Ailerons 
 UP 
 15.5° + 0.5°/-0.2° DOWN 
 11.6°+ 0.5°/-0.2° 
 Aileron Trim 
 UP 
 5.4° ± 0.3° 
 DOWN 
 4.8° ± 0.3° 
 Rudder 
 LEFT 
 30° ± 0.5° 
 RIGHT 
 30° ± 0.5° 
 Rudder Trim 
 Tab 
 LEFT 
 20.0° ± 1.0° 
 RIGHT 
 20.0° ± 1.0° 
 Flaps 
 Cruise 
 0° ± 0.5° 
 Takeoff 
 16.8° ± 0.5° 
 Landing 
 33.8° ± 1.0° 
 For serial numbers 000105 through 000112, 000116 through 000119, 000121 through 000122, 000125 through 000262, 
 and serial numbers 550-0263 through 550-0265. 
 For serial numbers 000001 through 000104, 000113 through 000115, 000120 and 000123 through 000124, which 
 incorporate Eclipse FAA approved Service Bulletin, SB 500-99-002. 
 Note: SB 500-99-002 requires the incorporation of Eclipse FAA approved Service Bulletin, SB 500-99-001 for"
Engines,"Two Pratt & Whitney Canada PW610F-A, 
 Type Certificate Data Sheet (TCDS) E00074EN"
Fuel,"JET A and Jet A-1 per ASTM D 1655; JP-8 per MIL-T-83133 
 Fuels not containing icing inhibitors must have MIL-I-27686, MIL-I-85470, or Phillips PFA- 
 55MB fuel system icing inhibitors blended into the aircraft fuel at concentrations not less than 
 0.10% but no more than 0.15% by volume. The minimum fuel icing inhibitor content during 
 refueling is 0.10% by volume."
Engine Limits,"N1(%) 
 N2(%) 
 MAX ITT (°C) 
 Time Limit 
 Maximum Take-off 
 102 
 100 
 795 
 5 minutes 
 Max. Continuous 
 102 
 100 
 795 
 Continuous 
 APR 
 102 
 100 
 795 
 10 minutes 
 Transient 
 103 
 102 
 850 
 20 seconds"
