Keyterm,Info
"A00003AK 
 Super 18 
 S18-180 
 July 29, 2009 
 Rev. Original",
"I. - Model S18-180, 2 PCLM (Normal Category), Approved July 29, 2009.",
Engine,Lycoming 0-360-C4P
Fuel,100 (green) or 100LL (blue) aviation gasoline.
Engine Limits,"All operations, 2700 r.p.m. (180 hp.) 
 See Engine Type Certificate Data Sheet E-286 for additional limitations"
Airspeed Limits,"Maneuvering 117 mph (102 knots) 
 Maximum Structural Cruise 121 mph (105 knots)"
CAS,"Never exceed 148 mph (129 knots) 
 Flaps extended 89 mph (77 knots)"
C G Range,"At 1300 lb fwd limit is 10.5 inches 
 From 1300 lb at 10.5 linear variation to 2270 lb at 15inches for fwd limit 
 From 2270 lb at 15 inches to 2270 lb at 16.5 inches 
 From 2270 lb at 16.5 inches to 2000 lb at 20 inches 
 From 2000 lb to 1300 lb aft limit is 20 inches."
Maximum Weight,"Takeoff: 2270 lb 
 Landing: 2200 lb"
Number of Seats,2 at (+11) and (+37)
Standard Baggage,180 lb. at (+57)
Extended Baggage,20 lb. at (+88)
Under rear seat baggage,50 lb. at (+37)
Fuel Capacity  Total,"46 gallons at (2 wing tanks at +21) 
 (39 Gal. Useable)"
Oil Capacity,8 quarts at (-36)
Serial Numbers Eligible,NONE
Required Equipment,"In addition to the pertinent required basic equipment specified in FAR 23, the 
 following items of equipment must be onboard: 
 The latest FAA approved copy of revision of “Airplane Flight Manual for the 
 Super 18-180.” In addition, a current weight and balance report including any 
 additional equipment must be onboard the aircraft."
Specifications Pertinent to All Models,
Datum,Wing leading edge
Leveling Means,"Right door sill, IAW Super 18 Maintenance Manual"
Control Surface Movements,"Stabilizer 2½° ± ½° Up 4° ± ½° Down 
 Elevator 30° ± 2° Up 15° ± 2° Down 
 Aileron 18° ± 2° Up 18° ± 2° Down 
 Rudder 30° ± 2° Left 30° ± 2° 
 Flap 0° Up 50° ± 2° Down"
Certification Basis,"Part 23 of the Federal Aviation Regulations (FAR) effective December 18, 
 1964, as amended by 23-1 through 23-55. FAR 36 -28"
ELOS findings,"Emergency exit requirements of FAR 23.807 in accordance with ELOS No. 
 ACE-07-02 as detailed in FAA memo dated April 10, 2007"
Federal Regulation Exemption,"Dynamic seat test requirements of FAR 23.562, in accordance with Summary 
 Notice No. PE-2004-53 dated July 2, 2004."
Production Basis,TC Only
Equipment,"A plus (+) or minus (-) preceding the weight of an item indicates net weight 
 change when that Item is installed."
1,"With Lycoming O-360 engine only 
 A. McCauley Model 1A200/FA - 82' dia. pitch 40-44 inches. 
 +0 lb 
 (-58) 
 Engine and Engine Accessories – Intake and Oil Systems"
1,"Oil Cooler - Niagra Model 20004H (ten element) 
 +0 lb. 
 (-10)"
2,"Air filter – Fram CA3416, NAPA 6225, or WIX 46225"
1,"Two main wheel-brake assemblies 
 (a) Brakes: Cleveland Model 30-52N 
 +0 lb 
 (+ 3.125) 
 (b)Wheels: Cleveland Model 40-75T 
 +0 lb 
 (+ 3.125)"
2,"Two main wheel tires (with regular tubes when required) (for pressure requirements, see the Maintenance 
 Manual) 
 (a) 8.50x6, Type III, 4 ply rating 
 +0 lb. (+3.125) 
 (b) 26.00x6, Goodyear, 6 ply rating 
 +22 lb 
 (+3.125) 
 (c) 26.00x6, 26126.R Alaskan Bushwheel 
 +30 lb (+3.125) 
 (d) 29.00x6 29136.R Alaskan Bushwheel 
 +36 lb 
 (+3.125) 
 (e) 31.00x6 31136.R Alaskan Bushwheel 
 +42 lb (+3.125)"
3,"Tail Wheel Assembly 
 (a) Scott Model 3200 per Super 18 Dwg. No. DC3200S 
 +0 lb. 
 (+200) 
 (b) Alaskan Bushwheel ABI-3200A 
 +0 lb 
 (+200) 
 (i). 280 X 2.5 X 4 tailwheel tire 
 +0 lb 
 (+207) 
 (c) Alaskan Bushwheel ABI-3200B (“baby bushwheel, ” incl. tires) 
 +4 lb 
 (+200)"
1,"Battery – Hawker SBSJ16 
 +0 lb. 
 (-20.5)"
