Keyterm,Info
"A00006WI 
 Revision 11 
 Harbin Hafei Aviation 
 Industry Co., Ltd (HAIC) 
 Y12 IV 
 Y12E 
 July 30, 2021",
Type Certificate Holder,"Harbin Hafei Aviation Industry Co., Ltd. (HAIC) 
 Northeast side of Jiangnanzhonghuan Road, 
 Nancheng second road of Hanan Industrial Park, 
 Harbin, Heilongjiang, China 150060"
Type Certificate Holder Record,"HAFEI AVIATION INDUSTRY CO., LTD. (HAIC) transferred TC A00006WI 
 to Harbin Hafei Aviation Industry Co. Ltd. Co. (HAIC) on December 4, 2015 
 Harbin Aircraft Manufacturing Corp. transferred TC A00006WI to HAFEI 
 AVIATION INDUSTRY CO., LTD. (HAIC) on January 3, 2001"
"I. Model Y12 IV (Commuter Category), Approved March 26, 1995",
Engine,"2 (two) Pratt & Whitney of Canada, Ltd. PT6A-27 Turboprop 
 Engine Type Certificate: E2NE"
Fuel,"Aviation kerosene RP-1 (GB-438-77), RP-2 (GB-1788-77), RP-3, JET A, 
 JET A-1, and JP5 (Mil-T-5624K) conforming to P&WC SB 1244"
Oil,Mobil No. II conforming to P&WC SB 1001
Engine  Gearbox,"Oil Temperature 
 Minimum Starting 
 -40F (-40C) 
 Idle 
 -40F (-40C) to 210F (99C) 
 Maximum Continuous 
 50F (10C) to 210F (99C)"
Engine Limits,"Shaft 
 Torque 
 Np 
 Ng Gas 
 Max. Temp. 
 Time 
 Horse 
 ft-lb 
 Propeller 
 Generator % 
 (ITT) 
 Limits 
 Power 
 Shaft RPM 
 (sec.) 
 See NOTE 4 
 See NOTE 4"
Page No,"1 
 2 3 
 4 
 5 
 6 
 7 
 8 9 10"
Rev No,"11 
 6 7 
 7 
 8 
 11 
 10 
 6 8 10"
Takeoff,"620 
 1540 
 2120 
 101.5 
 1336F (725C) 
 620 
 1540 
 2120 
 101.5 
 1336F (725C)"
Starting Transient,"1994F (1090C) 
 2"
Max Reverse,"620 
 1200 
 2120 
 101.5 
 1336F (725C) 
 60"
Acceleration,"2100 
 2332 
 102.6 
 1517F (825C) 
 2"
Max ClimbCruise,"620 
 1540 
 2120 
 101.5 
 1283F (695C)"
Propeller and Propeller Limits,"2 (two) Hartzell HC-B3TN-3B/T10173B-3 or 2(two)Hartzell HC-B3TN- 
 3B/T10173NB-3 
 Propeller Type Certificate: P15EA 
 Metal Propellers 
 Blades 
 3 
 Diameter (Max) 
 98 in 
 Minimum Allowable for Repair 
 97 in 
 Pitch Setting 
 Feathered 
 87  0.5 
 Reverse 
 -14 1 
 Ground Idle 
 See NOTE 4(e) 
 Flight Idle 
 See NOTE 4(f)"
Airspeed Limits CAS,"VMC (Minimum Control Speed) 
 69 knots (127 km/hr) 
 VFE (Flaps Extended Speed) (Both 10 and 20) 
 104 knots (192 km/hr) 
 VA (Maneuvering Speed) 
 126 knots (234 km/hr) 
 VMO (Maximum Operating Speed) 
 162 knots (300 km/hr)"
Center of GravityCG Limits,"214.44 in (5447mm) to 220.47 in (5600mm) at 12,500 lb (5670kg) 
 213.03 in (5411mm) to 220.47 in (5600mm) at 11,907 lb (5400kg) 
 210.12 in (5337mm) to 220.47 in (5600mm) below 10,688 lb (4847kg) 
 Straight line variation between points given"
Datum,"Located at airplane structure horizontal line in up and down directions, at the 
 symmetric centerline of airplane in left and right directions, and at the nose in 
 forward and rear directions.(Drawing Y11T-0000-03P)"
Empty Weight CG Range,None
Mean Aerodynamic,77.24 in (1962mm) long with leading edge 195.43 in (4964mm) from datum.
Leveling Means,"Leveling points on airplane will be used for leveling during manufacture and 
 operation. 
 Leveling Diagram 
 Y11T-0000-03P 
 Painting Diagram 
 Y11T-0000-041"
Maximum Weights,"Ramp 
 12,568 lb (5700 Kg) 
 Takeoff (See NOTE 7) 
 12,500 lb (5670 Kg) 
 Zero Fuel (See NOTE 1) 
 11,440 lb (5188 Kg) 
 Landing 
 11,907 lb (5400 Kg)"
Minimum Crew,Two (2) pilots: Seats at 101.58 in (2580 mm) (See NOTE 7)
Number of Seats,"19 seats 
 (See Airplane Flight Manual for approved seating configuration(s))"
Maximum Baggage,"Forward Baggage Compartment 
 220 lb (100 kg) at 35.43 in (900 mm) 
 Rear Baggage Compartment 
 573 lb (260 kg) at 342.13 in (8690 mm)"
Fuel Capacity,"Left Fuel Tank 
 215.3 gal (815 L) at 225.40 in (5725 mm) 
 Right Fuel Tank 
 215.3 gal (815 L) at 225.40 in (5725 mm) 
 See NOTE 1(a) for data on unusable fuel"
Oil Capacity,"9.24 qt (8.74 L) each engine at 179.54 in (4560 mm) 
 18.47 qt (17.48 L) total both engines 
 See NOTE 1(b) for data on unusable oil"
Max Operating Altitude,"23,000 ft (7,000M) 
 Airplane shall be operated under FAR Parts 91 and 135 operating requirements 
 when there is no oxygen system installed."
Control Surface Movements,"Elevator 
 Up 25 
 Down 10 
 Elevator Trim Tab 
 Up 7 
 Down 20 
 Rudder 
 Left 22 
 Right 22 
 Rudder Trim Tab 
 Left 9 
 Right 9 
 Aileron 
 Up 25 
 Down 18 
 Aileron Trim Tab 
 Up 20 
 Down 20 
 Flaps 
 Maximum 20"
"II. Model Y12E (Commuter Category), Approved August 2, 2006",
Engine,"2 (two) Pratt & Whitney of Canada, Ltd. PT6A-135A Turboprop 
 Engine Type Certificate: E4EA"
Fuel,"Aviation kerosene RP-3, JET A, JET A-1, and JP5 (Mil-T-5624K) conforming 
 to P&WC SB 1244"
Oil,Mobil No. II conforming to P&WC SB 1001
Engine  Gearbox,"Oil Temperature 
 Starting / Idle 
 -40ºF ~210.2ºF ( -40ºC ~ 99ºC) 
 Take off / Max Cont / Emergency 50ºF ~ 210.2ºF ( 10ºC ~ 99ºC) 
 Max Climb / Cruise / Reverse 
 32ºF ~ 210.2ºF ( 0ºC ~ 99ºC)"
Engine Limits,"Np 
 Shaft 
 Propeller 
 Ng Gas 
 Time 
 Horse 
 Torque 
 Shaft RPM 
 Generator % 
 Max. Temp. 
 Limits"
Conditions,"__Power_ 
 __ft-lb__ 
 _____ (ITT)_____ 
 _(sec.)_ 
 See NOTE 4 
 See NOTE 4_"
Takeoff,"620 
 1717 
 1900 
 101.5 
 1481F (805C) 
 ----- 
 620 
 1717 
 1900 
 101.5 
 1481F (805C) 
 -----"
Starting Transient,"----- 
 ----- 
 ----- 
 ----- 
 1994F (1090C) 
 2"
Max Reverse,"416 
 1200 
 1825 
 101.5 
 1481F (805C) 
 60"
Transient,"----- 
 2200 
 2090 
 102.6 
 1616F (880C) 
 2"
Max ClimbCruise,"620 
 1717 
 1900 
 101.5 
 1481F (805C) 
 -----"
Idle,"----- 
 ----- 
 ----- 
 52.0 
 1265F (685C) 
 -----"
Propeller and Propeller Limits,"2 (two) Hartzell HC-D4N-3N/D9511FK 
 Metal Propellers 
 Aluminum alloy 
 Maximum speed 
 1900 RPM 
 Blades 
 4 
 Diameter (Max) 
 96 "" (2438 mm) 
 Minimum Allowable for Repair 
 95 "" (2413 mm) 
 Pitch Setting 
 Feathered 
 86.1  0.5 
 Reverse 
 -10.0  0.5 
 Ground Idle 
 See Note 4 (e) 
 Flight Idle 
 See Note 4 (f) 
 Maximum over-speed 
 1976 RPM"
Airspeed Limits CAS,"VMC (Minimum Control Speed) 
 69.7 knots (129 km/hr) 
 VFE (Flaps Extended Speed) (Both 10 and 20) 
 104 knots (192 km/hr) 
 VA (Maneuvering Speed) 
 126 knots (234 km/hr) 
 VMO (Maximum Operating Speed) 
 162 knots (300 km/hr)"
Center of Gravity CG Limits,"214.44 in (5447mm) to 220.47 in (5600mm) at 12,500 lb (5670kg) 
 213.03 in (5411mm) to 220.47 in (5600mm) at 11,907 lb (5400kg) 
 210.12 in (5337mm) to 220.47 in (5600mm) below 10,688 lb (4847kg) 
 Straight line variation between points given"
Datum,"Located at airplane structure horizontal line in up and down directions, at the 
 symmetric centerline of airplane in left and right directions, and at the nose in 
 forward and rear directions.(Drawing Y11T-0000-03) 
 Mean Aerodynamic Chord (MAC) 77.24 inches (1962mm) long with leading edge 195.43 inches (4964mm) from 
 datum."
Leveling Means,"Leveling points on airplane will be used for leveling during manufacture and 
 operation. 
 Leveling Diagram 
 Y12E-0000-03 
 Painting Diagram 
 Y12E-0000-042"
Maximum Weights,"Ramp 
 12,566 lb (5700 Kg) 
 Takeoff (See NOTE 7) 
 12,500 lb (5670 Kg) 
 Zero Fuel (See NOTE 1) 
 11,437 lb (5188 Kg) 
 Landing 
 11,904 lb (5400 Kg)"
Minimum Crew,Two (2) pilots: Seats at 101.58 in (2580 mm) (See NOTE 7)
Passenger Seat Config,"Maximum 18 seats. See Airplane Flight Manual for approved seating 
 configuration(s). 
 18 seats configuration 
 Item 
 Arm mm(inches) Quantity 
 Passengers Row 1(left) 
 3590(141.3) 
 1 
 Passengers Row 2(left) 
 4370(172.0) 
 1 
 Passengers Row 3(left) 
 5090(200.4) 
 1 
 Passengers Row 4(left) 
 5810(228.7) 
 1 
 Passengers Row 5(left) 
 6530(257.1) 
 1 
 Passengers Row 6(left) 
 7250(285.4) 
 1 
 Passengers Row 1(right) 3960(155.9) 
 2 
 Passengers Row 2(right) 4710(271.3) 
 2 
 Passengers Row 3(right) 5460(303.2) 
 2 
 Passengers Row 4(right) 6210(335.1) 
 2 
 Passengers Row 5(right) 6960(367.0) 
 2 
 Passengers Row 6(right) 7770(398.9) 
 2 
 17 seats configuration 
 Item 
 Arm mm(inches) Quantity 
 Passengers Row 1 
 3960(155.9) 
 3 
 Passengers Row 2 
 4710(271.3) 
 3 
 Passengers Row 3 
 5460(303.2) 
 3 
 Passengers Row 4 
 6210(335.1) 
 3 
 Passengers Row 5 
 6960(367.0) 
 3 
 Passengers Row 6 
 7770(398.9) 
 2"
Passenger with Cargo Config,"See Airplane Flight Manual for approved passenger seating with cargo 
 configuration(s)."
Cargo Config,See Airplane Flight Manual for approved cargo configuration(s).
Maximum Baggage,"Forward Baggage Compartment 
 220 lb (100 kg) at 35.43 in (900 mm) 
 Rear Baggage Compartment 
 573 lb (260 kg) at 342.13 in (8690 mm)"
Fuel Capacity,"Left Fuel Tank 
 215.3 gal (815 L) at 225.40 in (5725 mm) 
 Right Fuel Tank 
 215.3 gal (815 L) at 225.40 in (5725 mm) 
 See NOTE 1(c) for data on unusable fuel"
Oil Capacity,"9.24 qt (8.74 L) each engine at 179.54 in (4560 mm) 
 18.48 qt (17.48 L) total both engines 
 See NOTE 1(d) for data on unusable oil"
Max Operating Altitude,"23,000 ft (7,000M) 
 Airplane shall be operated under FAR Parts 91 and 135 operating requirements 
 when there is no oxygen system installed."
Control Surface Movements,"Elevator 
 Up 25 
 Down 10 
 Elevator Trim Tab 
 Up 7 
 Down 20 
 Rudder 
 Left 22 
 Right 22 
 Rudder Trim Tab 
 Left 9 
 Right 9 
 Aileron 
 Up 25 
 Down 18 
 Aileron Trim Tab 
 Up 20 
 Down 20 
 Flaps 
 Maximum 20"
DATA PERTINENT TO ALL MODELS,
Serial Nos Eligible,"Y12IV Serial Number: 008 and on. 
 The CAAC Certificate of Airworthiness for Export must be submitted for each 
 individual airplane. See ""Import Requirements."" 
 Y12E Serial Number: 081and on. (NOTE 8, NOTE 9 and NOTE 11) 
 The CAAC Certificate of Airworthiness for Export must be submitted for each 
 individual airplane. See ""Import Requirements."""
Import Requirements,"A United States Certificate of Airworthiness may be issued on the basis of a 
 CAAC Certificate of Airworthiness for Export, signed by a representative of the 
 CAAC Authority, containing the following statement: ""The airplane covered by 
 this certificate has been examined, tested and found to conform to the type 
 design approved under FAA Type Certificate A00006WI, and is in a condition 
 for safe operation."" 
 Instructions for Continued Airworthiness (ICA) complying with FAR 23.1529, 
 must be furnished before delivery of the first airplane or issuance of a US 
 standard certificate of airworthiness, whichever occurs later. As of February 5, 
 2013, the FAA has not accepted the ICAs for the Y12IV. 
 Refer to the applicable bilateral agreement to verify eligibility for import into 
 the United States of both new and used aircraft based on the scope of the 
 agreement, to identify any required statements by the exporting authority on the 
 export certificate of airworthiness (or equivalent document), and for procedures 
 for coordinating exceptions to conformity statements on these documents. Refer 
 to FAA Order 8130.2, Airworthiness Certification of Aircraft, for requirements 
 for issuance of an airworthiness certificate for imported aircraft. 
 The Y12E must have the required manuals (ICAs and AFM) at the revision level 
 as shown in the Service Information section of this TCDS at the time of the US 
 standard certificate of airworthiness."
Certification Basis,"MODEL Y12 IV and Model Y12E 
 1) FAR 21.29 and FAR 23, effective February 1, 1965, including Amendments 
 23-1 through 23-42 for Commuter Category. 
 2) Y12IV FAR 36, effective December 1969, including Amendments 36-1 
 through 36-20. 
 3) Y12E FAR 36, effective December 1969, including Amendments 36-1 
 through 36-22. 
 4) Y12IV FAR 34, effective September 10, 1990. 
 5) Y12E FAR 34, effective September 10, 1990, including Amendments 34-1 
 through 34-3. 
 6) No Exemptions for either model. 
 7) No Special Conditions for either model. 
 8) Y12E is approved for flight into known or forecasted icing (23.1419) 
 9) Y12E is not approved for ditching 
 Date of application for original Y12 IV Type Certificate: September 20, 
 1992"
Equipment,"The basic required equipment prescribed in the applicable airworthiness 
 regulations (see Certification Basis) must be installed in the airplane. In 
 addition, the following equipment is also required: 
 FAA approved Airplane Flight Manual Y12 IV, Document No. Y12-IV SJW1, 
 dated March 14, 1995, or later approved revision. 
 FAA approved Airplane Flight Manual Y12E, Document No. Y12E SJW1, 
 revision dated July 15, 2016 or later approved revision."
