Keyterm,Info
"A00008DE 
 Revision 7 
 DISCOVERY 
 XL-2 
 May 18, 2015",
Type Certificate Holder,"Discovery Aviation, Inc. 
 100 Aerospace Drive, Unit 4 
 Melbourne, FL 32901 
 Type Certificate Holder Record: Liberty Aerospace Incorporated transferred TC A00008DE to Liberty XL2 
 Holdings, LLC December 13, 2013 
 Liberty Holdings, LLC transferred TC A00008DE to Discovery Aviation, Inc. 
 May 4, 2015"
"I. Model XL-2, 2PCLM (Normal Category), Approved February 19, 2004",
Engine,"Teledyne Continental IOF-240-B, Type Certificate Data Sheet (TCDS) 
 E7SO. Engines controlled by Full Authority Digital Electronic Control 
 (FADEC)."
Fuel,"100/100LL minimum grade aviation gasoline 
 RH95/130 (China)"
Engine Limits,"For all operations: 
 Maximum engine speed 2800 RPM (125 hp) 
 Minimum engine speed 825 RPM"
Propeller and Propeller Limits,"Sensenich Corp W69EK7-63G, TCDS P00001NY 
 Diameter: 69 inches 
 Number of blades: 2 
 MT Propeller MT175R127-2Ca, TCDS P19BO 
 Diameter: 175 centimeters 
 Number of blades: 2"
Airspeed Limits,"For serial numbers (S/N) 0007 and 0009 through 0125 without Liberty 
 gross weight increase kit RKI-SIL-08-001 installed: 
 VNE 
 Never Exceed Speed 
 162 KIAS 
 VNO 
 Maximum Structural Cruising Speed 
 125 KIAS 
 VA 
 (1653 lbs) Maneuvering Speed 
 100 KIAS 
 VFE 
 Maximum Flap Extension Speed 
 80 KIAS"
Page No,"1 
 2 
 3 
 4"
Rev No,"7 
 7 
 7 
 7 
 For S/N 0007 and 0009 through 0125 with Liberty gross weight increase 
 kit RKI-SIL-08-001 installed, and for S/N 0126 and up: 
 VNE 
 Never Exceed Speed 
 157 KIAS 
 VNO 
 Maximum Structural Cruising Speed 
 122 KIAS 
 VA 
 Maneuvering Speed 
 100 KIAS 
 VFE 
 Maximum Flap Extension Speed 
 86 KIAS"
CG Range,"For S/N 0007 and 0009 through 0125 without gross weight increase kit 
 RKI-SIL-08-001 installed: 
 Forward Limit: 82.20 inches aft of datum up to 1554 lbs. with a 
 straight line taper to 83.48 inches at 1653 lbs. 
 Aft Limit: 
 86.75 inches aft of datum up to 1653 lbs. 
 For S/N 0007 and 0009 through 0125 with gross weight increase kit 
 RKI-SIL-08-001 installed, and for S/N 0126 and up: 
 Forward Limit: 81.00 inches aft of datum up to 1598 lbs. with a 
 straight line taper to 83.00 inches at 1750 lbs. 
 (If only operating up to 1653 lbs., 1653 lbs. equates 
 to a point on this forward limit line of 81.75 inches.) 
 Aft Limit: 
 86.75 inches aft of datum up to 1750 lbs."
Datum,"Station 0 (STN 0) is located 70.75 inches forward of vertical rollover 
 hoop (forward face of opening). Water line 0 (WL 0) located 50.0 inches 
 below airplane centerline through nose cone."
Empty wt CG Range,None.
Leveling Means,Door sill as defined in AFM
