Keyterm,Info
"A00012NY 
 Revision 1 
 DIAMOND 
 DA 62 
 June 17, 2021",
Type Certificate Holder,"Diamond Aircraft Industries Inc. 
 1560 Crumlin Sideroad 
 London, ON, Canada 
 N5V 1S2"
"I. 
 Model DA 62 (Normal Category), approved November 4, 2019",
Engine,"2 Austro Engine E4P, see Note 1 
 FAA Type Certificate Data Sheet No. E00081EN"
Fuel,"Jet A, Jet A-1 (ASTM 1655)"
Engine Limits,"Maximum Take-Off (5 min) 
 2300 rpm 
 Maximum Continuous Operation 
 2200 rpm 
 (Propeller shaft RPM) 
 Max T/O Power (5 min) 
 100% (132 kW) 
 Max. Continous Power 
 95% 
 (126 kW)"
Propeller,"2 MT Propeller Co. MTV-6-R-C-F/CF194-80 
 FAA Type Certificate Data Sheet No. P19NE"
Propeller Limits,"Diameter 
 76.4 in., +0.0 in., -2.0 in.; (1940 mm, +0.0 mm, -50 mm) 
 Low Pitch Setting 
 11° 
 Feather Position 
 80º 
 Start Lock 
 15°"
Airspeed Limits,"Maximum Never Exceed Speed VNE 
 201 KEAS, 231 mph 
 Maximum Structural Cruising Speed VNO 
 160 KEAS, 184 mph 
 Design Cruising Speed VC 
 160 KEAS, 184 mph 
 Operating Maneuvering Speed 
 VO (up to 3968 lbs / 1800 kg) 
 119 KEAS, 137 mph 
 VO (Above 3968 lbs / 1800 kg through 4189 lbs / 1900 kg) 
 126 KEAS, 145 mph 
 VO (Above 4189 lbs / 1900 kg through 4407 lbs / 1999 kg) 
 130 KEAS, 149 mph 
 VO (Above 4407 lbs / 1999 kg through 4630 lbs / 2100 kg) 
 133 KEAS, 153 mph 
 VO (Above 4630 lbs / 2100 kg through 4850 lbs / 2200 kg) 
 136 KEAS, 156 mph 
 VO (Above 4850 lbs / 2200 kg through 5071 lbs / 2300 kg) 
 140 KEAS, 161 mph 
 Maximum Flap Extending Speed VFE Full Flaps 
 118 KEAS, 136 mph 
 VFE Approach Flaps 
 135 KEAS, 155 mph"
Page No,"1 
 2 
 3 
 4 
 5 
 6"
Rev No,"1 
 1 
 0 
 0 
 0 
 0 
 Maximum Landing Gear Operation Speed VLO 
 160 KEAS, 184 mph 
 201 KEAS, 231 mph 
 Maximum Landing Gear Extended Speed VLE"
CG Range,"Forward c/g position (aft of datum): 
 Forward limit 
 92.13 in. (2.340 meters) 
 Between 3527 lbs. (1600 kgs) and 3968 lbs. (1800 kgs) 
 96.85 in. (2.460 meters) 
 at 5071 lbs. (2300 kgs) 
 Varying Linearly with weight in between 
 Rearward c/g position (aft of datum): 
 96.85 in. (2.460 meters) 
 at 3527 lbs. (1600 kgs) 
 98.82 in. (2.510 meters) 
 Between 4189 lbs. (1900 kgs) and 4407 lbs. (1999 kgs) 
 99.61 in. (2.530 meters) 
 at 5071 lbs. (2300 kgs) 
 Varying Linearly with weight in between"
Empty Wt CG Range,None
Reference Datum,86.46 in. (2.196 meters) in front of leading edge of stub-wing at the wing joint
Leveling Means,Floor of front baggage compartment levelled.
Maximum Weight,"Takeoff (Normal Category) 
 4407 lbs. (1999 kgs) 
 If MÄM 62-001 is installed 
 5071 lbs. (2300 kgs) 
 Landing 
 5071 lbs. (2300 kgs) 
 Zero Fuel weight 
 4489 lbs. (2036 kgs) 
 If MÄM 62-023 is installed 
 4850 lbs. (2200 kgs)"
Minimum Crew,1
No of Seats,"5, If OÄM 62-019 is installed 7 
 66 lbs (30 kgs)"
Maximum Baggage,"LH Front Baggage Compartment 
 66 lbs (30 kgs) 
 RH Front Baggage Compartment 
 265 lbs (120 kgs) 
 Rear Baggage Compartment 
 101 lbs (46 kgs) 
 If OÄM 62-019 is installed"
Fuel Capacity,"With Standard Fuel Tank 
 52 gallons (196.8 liters) total 
 50 gallons (189.2 liters) usable 
 37 gallons (140 liters) total 
 With Auxiliary Tank additional 
 36.4 gallons (137.8 liters) usable"
Oil Capacity,"Each engine 
 Maximum – 7.4 qts (7.0 liters). 
 Minimum – 5.3 qts (5.0 liters) 
 See Note 2 
 For specification of engine and gearbox oil see AFM, Section 2"
Coolant,"Water / Cooler Protection 
 For more details see AFM, Section 2"
Maximum Operating Altitude,"20,000 feet (6096 meters)"
