Keyterm,Info
"A00018AT 
 Revision 8 
 Honda Aircraft 
 Company LLC 
 HA-420 
 July 07, 2021",
Type Certificate Holder,"Honda Aircraft Company LLC 
 6430 Ballinger Road 
 Greensboro, North Carolina 27410"
"I – Model HA-420 (6/7/8PCLM, Normal Category) Approved December 8, 2015",
Engines,"Two (2) GE Honda Aero Engines HF120-H1A turbofan engines 
 Type Certificate E00085EN"
Fuel,"Jet A, Jet A-1, JP-8, PRC No. 3 Jet Fuel, Russian TS-1, and 
 Ukrainian TS-1 
 For approved and prohibited fuel additives, refer to the FAA 
 Approved Airplane Flight Manual (see NOTE 7)"
Oil,"For approved oils, refer to the FAA Approved Airplane Flight 
 Manual (see NOTE 7) 
 Page No. 
 1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 Rev No. 
 8 
 8 
 8 
 8 
 8 
 7 
 6 
 8 
 8 
 8"
Engine Limits,"Thrust Setting 
 N1 Fan RPM 
 ITT (1) 
 N2 Turbine 
 RPM 
 Takeoff 
 (19,055 RPM) 
 100.0% 
 860°C (2) 
 100.9% 
 (49,200 RPM) 
 Max Continuous 
 (19,055 RPM) 
 100.0% 
 860°C (2) 
 100.9% 
 (49,200 RPM) 
 The HA-420 is approved for 10 Minutes OEI (see NOTE 5) 
 (1) ITT values are displayed limits and not actual temperature 
 values. 
 (2) Maximum transient for 2 minutes is 885°C 
 HF120-H1A power management de-rated minimum static thrust 
 ratings at sea level and 77°F/25°C with no installation losses: 
 Takeoff 
 2037 lbs thrust 
 Max Continuous 
 1922 lbs thrust 
 VMO……………………….…… 
 270 KIAS"
Airspeed Limits,"MMO…………………………… 
 0.72 Mach 
 VA………………………….…... 
 200 KIAS 
 VMCA 
 Flaps UP……………… 
 105 KIAS 
 Flaps TO/APPR…... 
 100 KIAS 
 VMCL 
 Flaps LDG…………… 95 KIAS 
 VFE/FO 
 Flaps TO/APPR…… 200 KIAS 
 Flaps LDG….………... 160 KIAS 
 VLE/LO………………………… 200 KIAS 
 VTIRE………………………….. 
 165 knots (Max Tire Ground Speed)"
Configuration,"Max Ramp 
 Max Takeoff 
 Max Landing 
 Max Zero Fuel"
42000012 thru 42000125,"10,680 lbs 
 10,600 lbs 
 9,860 lbs 
 8,800 lbs"
42000011 42000012 thru,"10,780 lbs 
 10,700 lbs 
 9,960 lbs 
 8,900 lbs"
42000126 thru 42000206 with,"10,980 lbs 
 10,900 lbs 
 10,160 lbs 
 9,100 lbs"
Configuration,"Fwd Compartment 
 Aft Compartment 
 Luggage Valet"
42000012 thru 42000125,"100 lbs (F-Sta 54.5) 
 400 lbs (F-Sta 328.4) 
 50 lbs (F-Sta 162.6)"
42000012 thru 42000125,"200 lbs (F-Sta 54.5) 
 400 lbs (F-Sta 328.4) 
 50 lbs (F-Sta 162.6)"
42000011 42000012 thru,"200 lbs (F-Sta 54.5) 
 400 lbs (F-Sta 328.4) 
 50 lbs (F-Sta 162.6)"
up,"For Aft Compartment loading distribution, refer to the latest FAA 
 Approved Airplane Flight Manual Section 6 (see NOTE 7)."
Datum,(F-Sta 0.00) 69.0 inches forward of the nose jacking position
Mean Aerodynamic,59.72 inches (M.A.C. leading edge is 232.2 inches aft of datum)
Leveling Means,Left hand floorboard inside main entry way
Empty Weight CG,None
CG Range,"For approved CG range, refer to the FAA Approved Airplane 
 Flight Manual (see NOTE 7)"
For 42000012,"430.7 US gal TOTAL 
 (F-Sta 263.5)"
