Keyterm,Info
"A12EA 
 Revision 51 
 Gulfstream 
 G-1159 
 G-1159A 
 G-1159B 
 G-IV 
 GV 
 GV-SP 
 GIV-X 
 May 27, 2020",
Type Certificate Holder,"Gulfstream Aerospace Corporation 
 500 Gulfstream Road 
 Savannah, Georgia 31408"
"I. - Model G-1159, Gulfstream II (Transport Category), Approved October 19, 1967.",
Engines,2 Rolls Royce Spey RB (163) 511-8 (Type Certificate E2EU)
Fuel,"Kerosene 
 American 
 ASTM D 1655-78 Jet A 
 ASTA D 1655-78 Jet A-1 
 I.A.T.A. 1988: Kerosene type 
 MIL-T-83133 Grade JP-8 
 British 
 D Eng. R.D. 2453 Issue 5 (2) 
 D Eng. R.D. 2494 Issue 10 
 Canadian 
 CAN/CGCB 3.23-M86 
 CIS 
 T-1, TS-1 & RT (GOST 10227-86) 
 T-7, (GOST 12308-66) 
 French 
 AIR 3405/C 
 Romanian 
 (3754/73 CS-3)) 
 STAS 5639 
 JP-4 Wide Cut Type (See NOTE 5) 
 American 
 ASTM D 1655-89 Jet B 
 MIL-T-5624N Grade JP-4 
 I.A.T.A. 1987: JP.4 type 
 British 
 D Eng. R.D. 2454 Issue 4 (2) 
 D Eng. R.D. 2486 Issue 9 
 Canadian 
 CAN/CGSB 3.22 M86 
 CIS 
 T-2 (GOST 10027-86) 
 French 
 AIR 3407/B 
 German 
 TL 9130-006 Issue 6"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14 
 15 
 16 
 17 
 18 
 19 
 20"
Rev No,"51 
 30 
 16 
 16 
 13 
 30 
 15 
 16 
 13 
 30 
 19 
 19 
 16 
 30 
 19 
 16 
 16 
 43 
 30 
 29"
Page No,"21 
 22 
 23 
 24 
 25 
 26 
 27 
 28 
 29 
 30 
 31 
 32 
 33 
 34 
 35 
 36 
 37 
 38 
 39 
 40"
Rev No,"17 
 19 
 26 
 26 
 26 
 26 
 26 
 43 
 26 
 46 
 46 
 46 
 46 
 46 
 27 
 26 
 47 
 47 
 47 
 47"
Page No,"41 
 42 
 43 
 44 
 45 
 46 
 47 
 48 
 49 
 50 
 51 
 52 
 53 
 54 
 55 
 56 
 57 
 58 
 59 
 60"
Rev No,"47 
 45 
 27 
 30 
 25 
 44 
 44 
 48 
 49 
 49 
 49 
 50 
 50 
 50 
 46 
 35 
 47 
 47 
 46 
 46"
Page No,"61 
 62"
Rev No,"47 
 51"
Fuel con’t,"JP-5 High Flash-Point Type 
 American 
 MIL-T-5624N Grade JP-5 
 British 
 D Eng. R.D. 2452 Issue 2 (3) 
 D Eng. R.D. 2498 Issue 7 
 Canadian 
 3-GP-24Ma 
 French 
 AIR 3404/C 
 German 
 TL 9130-007 Issue 4 
 Fuel shall conform to the specification as listed or to subsequent revisions found 
 in the latest approved Airplane Flight Manual."
Oil,"Castrol 3C and 325 
 Aeroshell Turbo Oil 390 and 500 
 Esso/Exxon 2380 
 Mobil Jet Oil II 
 Chevron Jet Engine Oil 5 
 Caltex RPM Jet Engine Oil 5 
 Texaco S.A.T.O. 7730 
 NOTE: Mixing of oils is not recommended for APU. 
 Oil shall conform to the specification as listed or to subsequent revisions found in the 
 latest approved Airplane Flight Manual."
Engine Limits,"Static Thrust (std. day) S.L. 
 Takeoff (5 min.) 
 11,400 lb. 
 Maximum continuous 
 10,940 lb. 
 Maximum permissible engine rotor operating speeds: 
 N1 (low compressor) (106.6%) 8,950 rpm 
 N2 (high compressor) (100.1%) 12,500 rpm 
 Maximum permissible temperatures: 
 Turbine outlet gas (Trimmer Resistors, Inc.) 
 Takeoff (5 min.) 
 585C 
 Maximum continuous 
 540C 
 Momentary maximum during starts and relights 
 570C 
 Maximum with reverse thrust (30 second limit) 
 490C 
 Maximum over-temperature (20 second limit) 
 610C 
 Engines with S.B. Sp 77-43 
 (20 second limit) 
 615C 
 (120 second limit) 
 595C 
 Oil inlet 
 100C 
 Oil inlet (15 min. limit) 
 120C 
 Fuel inlet temperature to engine high pressure pump 
 90C 
 Fuel inlet temperature (15 min. limit) 
 110C 
 Maximum Air Bleed Extraction 
 (Percent of no bleed mass flow) 
 Maximum engine high pressure bleed 
 2.45% 
 Maximum engine low pressure bleed 
 3.65%"
Auxiliary Power Unit APU,"AirResearch GTCP-36-6: S/N 1 thru 248 and 775 
 Maximum permissible exhaust gas temperature 
 700C 
 Maximum rotor speed - all conditions 
 110% 
 APU alternator load rating 
 20Kva 
 APU rated output shaft power 
 10hp 
 (with 50 lb. per min. bleed air and ambient 
 temperate of 113F)"
APU con’t,"AirResearch GTCP-36-100G: S/N 250 thru 299, except 252 
 Maximum permissible exhaust gas temperature - 
 - Up to 60% rpm during start 
 988C 
 60% - 100% during start 
 821C to 732C 
 (linear decrease) 
 - Running 
 732C 
 Maximum rotor speed - all conditions 
 110% 
 APU alternator load rating 
 20Kva 
 (with 46.6 lb. per min. bleed air and 
 ambient temperature of 103F) 
 50hp"
