Keyterm,Info
"A21EA-1 
 Revision No. 3 
 MHI RJ Aviation ULC 
 CL-600-2B19 (Regional Jet Series 100 & 440) 
 CL-600-2C10 (Regional Jet Series 700, 701 & 702) 
 CL-600-2C11 (Regional Jet Series 550) 
 CL-600-2D15 (Regional Jet Series 705) 
 CL-600-2D24 (Regional Jet Series 900) 
 CL-600-2E25 (Regional Jet Series 1000) 
 April 8, 2021",
Type Certificate Holder,"MHI RJ Aviation ULC 
 12655 Boul. Henri-Fabre O 
 Mirabel, Québec, Canada 
 J7N 1E1 
 Type Certificate Holder Record: Bombardier Inc. 
 800 boul. René Lévesque West 
 Montreal, Quebec, Canada 
 H3B1Y8"
"I - Model CL-600-2B19 (Regional Jet Series 100) (Transport Category), Approved January 21, 1993, by the FAA and July 31, 
 1992, by Transport Canada. (See Note 8) 
 Model CL-600-2B19 (Regional Jet Series 440) (Transport Category), Approved November 30, 2001, by the FAA and October 4, 
 2001 by Transport Canada",
Engines,"Two General Electric CF-34-3A1 or 
 Two General Electric CF-34-3B1 
 Engines may be intermixed in accordance with AFM as listed in Approved Publications."
Fuel,"Type 
 Specifications 
 Canada 
 U.S.A. 
 U.K. 
 China 
 CIS/Ukraine 
 NATO 
 Jet A 
 CGSB-3.23 
 ASTM 
 - 
 - 
 - 
 - 
 D1655 
 Jet A-1 
 CGSB-3.23 
 ASTM 
 DEF STAN 
 GB6537-2006 
 TS-1* or RT 
 F-35 
 D1655 
 91-91 
 No. 3 Jet 
 Grade JP-5 
 CGSB-3.24 
 MIL-DTL- 
 DEF STAN 
 - 
 - 
 F-44 
 5624 
 91-86 
 Grade JP-8 
 CGSB-3.24 
 MIL-DTL- 
 DEF STAN 
 - 
 - 
 F-34 
 83133 
 91-87 
 Jet B 
 CAN2-3.22 
 ASTM 
 D. Eng. 
 - 
 - 
 - 
 D6615 
 RD2486 
 Grade JP-4 
 CAN2-3.22 
 MIL-DTL- 
 D. Eng. 
 - 
 - 
 - 
 5624 
 RD2454 
 *Refer to appropriate AFM listed in Approved Publication section when using TS-1."
Oil,"Engine, APU and IDG: 
 MIL-L-7808 (Type I) or MIL-L-23699 (Type II) or CASTROL 4000. * 
 * Mixing of different types of oils is prohibited."
Engine Limits,"Fan RPM 
 Core RPM 
 ITT 
 Time Limit"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14 
 15 
 16 
 17 
 18 
 19 
 20"
Rev No,"3 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 2 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR 
 IR"
Page No,"21 
 22 
 23 
 24 
 25"
Rev No,"IR 
 IR 
 3 
 2 
 2"
Rev No,"%N1 
 %N2 
 °C 
 °F 
 (Min) 
 Max. takeoff (APR operating) 
 98.6 
 99.4 
 900 
 1650 
 5*** 
 928 
 1702 
 2* 
 Normal takeoff 
 96.2 
 98.2 
 884 
 1623 
 5*** 
 - 
 900 
 1650 
 2* 
 Max. Continuous 
 98.6 
 99.2 
 860/874 
 1580/1605 
 - 
 (3A1/3B1) 
 (3A1/3B1) 
 Idle Range 
 - 
 56.5 to 68.0** 
 - 
 - 
 - 
 Acceleration 
 - 
 - 
 900 
 1652 
 - 
 Starting 
 - 
 20.0 
 900 
 1652 
 - 
 * 2 minutes out of 5 total transient. 
 ** Refer to Idle Speed Limit Chart in the AFM 
 If N2 idle RPM is more than 2% lower, do not advance thrust lever above 70% N2 until N2 idle RPM has 
 stabilized to within normal limits. 
 *** Transient limits. 
 NOTE: Above 40000 feet, one air conditioning unit or cowl anti-ice must be selected on for each engine"
Oil Temperature,"°C 
 °F 
 Maximum Permissible (15 minutes Maximum) 
 +163 
 325 
 Maximum Continuous 
 +155 
 311 
 Minimum for Starting 
 -40 
 -40"
Oil Pressure,"Maximum Transient (after cold start) 
 156 psi (130 psi at idle, 10 minutes maximum)* 
 Maximum Continuous 
 115 psi maximum 
 Take-off Power 
 45 psi minimum 
 Steady State Idle 
 25 psi minimum 
 * Engine must remain at idle until oil pressure returns to normal range."
APU,GARRETT GTCP-36-150RJ
APU Limits,"Maximum RPM 
 107% 
 Maximum EGT: 
 °C 
 °F 
 Starting 
 974 
 1785* 
 Running 
 743 
 1369 
 * Not to be exceeded under any operating condition."
Airspeed Limits CAS,"Vmo and Mmo (maximum operating) 
 m.p.h. 
 Knots 
 Mach 
 Sea Level to 8000 ft. 
 380 
 330 
 - 
 8000 ft. to 25400 ft. 
 386 
 335 
 - 
 25400 ft. to 28300 ft. 
 - 
 - 
 0.80 
 28300 ft. to 31400 ft. 
 362 
 315 
 - 
 31400 ft. to 41000 ft. 
 - 
 - 
 0.85 
 Vfe (Flaps extended) 
 8° 
 265 
 230 
 - 
 20° 
 265 
 230 
 - 
 30° 
 226 
 196 
 - 
 45° 
 220 
 191 
 - 
 Va (maneuvering) 
 (See AFM for variation of Va with altitude and aircraft weight). 
 V1o (Landing Gear Operation) 
 Extending 
 288 
 250 
 - 
 Retracting 
 230 
 200 
 - 
 V1e (Landing Gear Extended) 
 288 
 250 
 -"
CG Range,Refer to AFM (CSP A-012) for detail CG limits.
Datum,"Fuselage station 0, located 375 inches forward of weighing datum jig point."
Mean Aerodynamic Chord,99.43 inches (MAC leading edge at fuselage sta. 494.793)
Leveling Means,"Target plate and plumb bob bracket within rear fuselage, at fuselage station 718.75. 
 Type Spec. 
 Option 
 Option 
 Option 
 Option 
 Option"
Maximum Weights,"lb. 
 lb. 
 lb. 
 lb. 
 lb. 
 lb. 
 Ramp 
 47700 
 51250 
 51250 
 53250 
 53250 
 53250 
 Takeoff 
 47450 
 51000 
 51000 
 53000 
 53000 
 53000 
 Landing 
 44700 
 46750 
 47000 
 46750 
 47000 
 47000 
 Zero Fuel 
 42200 
 44000 
 44000 
 44000 
 44000 
 39500 
 Minimum flight weight 
 30000 
 30000 
 30000 
 30000 
 30000 
 30000 
 NOTE: The maximum take-off weight and/or maximum landing weight may be further limited due to 
 performance considerations (refer to Airplane Flight Manual)."
Minimum Crew,Two (Pilot and Co-pilot)
Maximum Occupants,"Series 100 - Fifty-five (55) (including 50 passengers, 4 crew, and 1 flight observer) 
 Series 440 - Forty-Nine (49) (including 44 passengers, 4 crew, and 1 flight observer) 
 CL-600-2B19 Green Aircraft Configuration 
 Refer to NOTE 4 & 5."
Fuel Capacity usable,"Load* 
 Weight* 
 U.S. Gal. 
 Imp. Gal. 
 Kg. 
 lb. 
 2 main tanks (each) 
 700.0 
 582.8 
 2159 
 4760 
 Center tank 
 735.0 
 612.0 
 2267 
 4998 
 Total 
 2135.0 
 1669.6 
 6585 
 14518 
 * Pressure refueling (based on 0.8028 kg/L)"
Oil Capacity,"Load 
 Weight 
 U.S. Gal. 
 Imp. Gal. 
 Kg. 
 lb. 
 2 Engines (each) 
 1.70 
 1.42 
 5.94 
 13.09 
 Total 
 3.40 
 2.84 
 11.88 
 26.18 
 Usable 
 2 Engines (each) 
 1.38 
 1.14 
 4.80 
 10.59 
 Total 
 2.76 
 2.29 
 9.60 
 21.18"
Maximum Operating,"Takeoff and landing: 
 10000 ft."
Altitude,"En route: 
 41000 ft."
Control Surface,"Rudder 
 33º Left* 
 33º Right"
Movements,"Elevator 
 23.6º Up 
 18.4º Down 
 Horizontal Stabilizer 
 2º LE Up 
 -13º LE Down 
 Aileron 
 25º Up 
 21.3º Down 
 Flap 
 – Inboard 
 45.09º Down 
 – Outboard 
 41.58º Down 
 Flight Spoiler 
 50º Up 
 Ground Spoiler 
 45º Up 
 Spoileron 
 50º Up 
 *Rudder deflections of 33º left and 33º right apply when CF-34-3A1 engines are installed. 
 *Rudder deflections of 25º left and 25º right apply when optional CF-34-3B1 engines are installed."
Serial Numbers Eligible,7001 and subsequent
Service Information,"Service Bulletins, structural repair manuals, and aircraft flight manuals which contain a statement that the 
 document is Transport Canada approved or Transport Canada approved through the Manufacturers Design 
 Approval Representative are accepted by the FAA and are considered FAA approved. These approvals 
 pertain to the type design only. For all weather flight capability, refer to Note 7."
"II - Model CL-600-2C10 (Regional Jet Series 700, 701, & 702) (Transport Category), Approved February 16, 2001, by the FAA 
 and December 22, 2000 by Transport Canada.",
Engines,"Two General Electric CF-34-8C1, or 
 Two General Electric CF-34-8C5B1 
 Engines may be intermixed in accordance with AFM as listed in Approved publications"
Fuel,"Type 
 Specifications 
 Canada 
 U.S.A. 
 U.K. 
 China 
 CIS/Ukraine 
 NATO 
 Jet A 
 CGSB-3.23 
 ASTM 
 - 
 - 
 - 
 - 
 D1655 
 Jet A-1 
 CGSB-3.23 
 ASTM 
 DEF STAN 
 GB6537-2006 
 TS-1* or RT 
 F-35 
 D1655 
 91-91 
 No. 3 Jet 
 Grade JP-5 
 CGSB-3.24 
 MIL-DTL- 
 DEF STAN 
 - 
 - 
 F-44 
 5624 
 91-86 
 Grade JP-8 
 CGSB-3.24 
 MIL-DTL- 
 DEF STAN 
 - 
 - 
 F-34 
 83133 
 91-87 
 *Refer to appropriate AFM listed in Approved Publication section when using TS-1."
Oil,"Engine, APU and IDG: 
 MIL-L-7808 (Type I) or MIL-L-23699 (Type II) or CASTROL 4000. * 
 * Mixing of different types of oils is prohibited."
Engine Limits,Refer to Limits Table in the AFM (CSP B-012)
Oil Temperature,"°C 
 °F 
 Maximum Permissible (15 minutes Maximum) 
 +163 
 325 
 Maximum Continuous 
 +155 
 311 
 Minimum for Starting 
 -40 
 -40"
Oil Pressure,"Maximum Transient (after cold start) 
 156 psi (130 psi at idle, 10 minutes maximum)* 
 Maximum Continuous 
 45-116 psi 
 Take-off Power 
 45-116 psi 
 Steady State Idle 
 25 psi minimum 
 * Engine must remain at idle until oil pressure returns to normal operating range."
APU,ALLIED SIGNAL RE220 (RJ)
APU Limits,"Maximum RPM 
 106% 
 Maximum EGT: 
 °C 
 °F 
 Starting 
 692-1038 1274-1900* 
 Running - Ground 
 789 
 1452 
 Running - Flight 
 806 
 1482 
 * Dependent upon altitude and temperature. Refer to AFM (CSP B-012) 
 ** Not to be exceeded under any operating condition. 
 *** Refer to AFM for detail limitations"
Airspeed Limits CAS,"Vmo and Mmo (maximum operating) 
 m.p.h. 
 Knots 
 Mach 
 Sea Level to 8000 ft. 
 380 
 330 
 - 
 8000 ft. to 25400 ft. 
 386 
 335 
 - 
 25400 ft. to 28300 ft. 
 - 
 - 
 0.80 
 28300 ft. to 31400 ft. 
 362 
 315 
 - 
 31400 ft. to 41000 ft. 
 - 
 - 
 0.85 
 Vfe (Flaps extended) 
 1° 
 265 
 230 
 - 
 8° 
 265 
 230 
 - 
 20° 
 265 
 230 
 - 
 30° 
 213 
 185 
 - 
 45° 
 196 
 170 
 - 
 Va (maneuvering) 
 (See AFM for variation of Va with altitude and aircraft weight). 
 V1o (Landing Gear Operation) 
 Extending 
 253 
 220 
 - 
 Retracting 
 230 
 200 
 - 
 V1e (Landing Gear Extended) 
 253 
 220 
 -"
CG Range,Refer to AFM (CSP B-012) for detail CG limits.
Datum,"Fuselage station 0, located 144.0 inches forward of aircraft nose."
Mean Aerodynamic Chord,133.185 inches (MAC leading edge at fuselage sta. 743.1)
Leveling Means,"Target plate and plumb bob bracket within rear fuselage, at fuselage station 1145.75"
Maximum Weights,"Type Spec. 
 Option 
 lb. 
 lb. 
 Ramp 
 73000 
 75250 
 Takeoff 
 72750 
 75000 
 Landing 
 67000 
 67000 
 Zero Fuel 
 62300 
 62300 
 Minimum flight weight 
 42000 
 42000 
 NOTE: The maximum take-off weight and/or maximum landing weight may be further limited due to 
 performance considerations. Refer to Airplane Flight Manual for aircraft eligibility."
Minimum Crew,Two (Pilot and Co-pilot)
Maximum Occupants,"Series 700 – 68 or less passengers 
 Series 701 – 70 passengers 
 Series 702 – 78 passengers 
 Plus 5 crew-members (Pilot, Copilot, Observer forward and Aft Flight attendants) 
 ** For any CL-600-2C10, the maximum passenger capacity may be further limited by the Equivalent Safety 
 Finding against FAR 25.801 and 25.813 (see Note 13)."
Fuel Capacity usable,"Load* 
 Weight* 
 U.S. Gal. 
 Imp. Gal. 
 Kg. 
 lb. 
 2 main tanks (each) 
 1110 
 924.1 
 3399 
 7493 
 Center tank 
 683 
 568.6 
 2091 
 4610 
 Total 
 2903 
 2416.7 
 8889 
 19596 
 See Note 1(b) for system fuel 
 * Pressure refueling (based on 0.809 kg/L) (6.75 lb./U.S. Gal.)"
Oil Capacity,"With option TS670-79-201 – Engine Oil – No Remote Replenishment System 
 Load 
 Weight 
 U.S. Gal. 
 Imp. Gal. 
 Kg. 
 lb. 
 2 Engines (each) 
 2.6 
 2.2 
 9.65 
 21.2 
 Total 
 5.2 
 4.36 
 19.30 
 42.4 
 See Note 1(c) for system oil 
 With option CR670-79-201 – Engine Oil – Remote Replenishment System 
 Load 
 Weight 
 U.S. Gal. 
 Imp. Gal. 
 Kg. 
 lb. 
 2 Engines (each) 
 2.6 
 2.2 
 9.65 
 21.2 
 Replenishment Tank 
 1.6 
 1.3 
 5.9 
 13.0 
 Total 
 6.8 
 5.7 
 25.2 
 55.4 
 See Note 1(c) for system oil"
Maximum Operating,"Takeoff and landing: 
 8000ft (without Modsum 670T82357)"
Altitude,"9600ft (with Modsum 670T82357) 
 En route: 
 41000 ft."
Control Surface,"Rudder 
 33º Left* 
 33º Right"
Movements,"Elevator 
 23.6º Up 
 18.4º Down 
 Horizontal Stabilizer 
 2.0º LE Up 
 13.0º LE Down 
 Aileron 
 25.1º Up 
 21.3º Down 
 Flap 
 – Inboard 
 45.0º Down 
 – Outboard 
 41.6º Down 
 Multi-Function Spoiler 
 48.0º Up 
 Ground Spoiler 
 44.9º Up 
 Slat 
 25.0º Down"
Serial Numbers Eligible,10002 and subsequent
Service Information,"Service Bulletins, structural repair manuals, and aircraft flight manuals which contain a statement that the 
 document is Transport Canada approved or Transport Canada approved through the Manufacturers Design 
 Approval Representative are accepted by the FAA and are considered FAA approved. These approvals 
 pertain to the type design only."
"III - Model CL-600-2C11 (Regional Jet Series 550) (Transport Category), Approved September 18, 2019, by the FAA and July 
 5, 2019 byTransport Canada. (See NOTE 16)",
Engines,"Two General Electric CF-34-8C1, or 
 Two General Electric CF-34-8C5B1 
 Engines may be intermixed in accordance with AFM as listed in Approved publications"
Fuel,"Type 
 Specifications 
 Canada 
 U.S.A. 
 U.K. 
 China 
 CIS/Ukraine 
 NATO 
 Jet A 
 CGSB-3.23 
 ASTM 
 - 
 - 
 - 
 - 
 D1655 
 Jet A-1 
 CGSB-3.23 
 ASTM 
 DEF STAN 
 GB6537-2006 
 TS-1* or RT 
 F-35 
 D1655 
 91-91 
 No. 3 Jet 
 Grade JP-5 
 CGSB-3.24 
 MIL-DTL- 
 DEF STAN 
 - 
 - 
 F-44 
 5624 
 91-86 
 Grade JP-8 
 CGSB-3.24 
 MIL-DTL- 
 DEF STAN 
 - 
 - 
 F-34 
 83133 
 91-87 
 *Refer to appropriate AFM listed in Approved Publication section when using TS-1."
Oil,"Engine, APU and IDG: 
 MIL-L-7808 (Type I) or MIL-L-23699 (Type II) or CASTROL 4000. * 
 * Mixing of different types of oils is prohibited."
Engine Limits,Refer to Limits Table in the AFM (CSP B-012)
Oil Temperature,"°C 
 °F 
 Maximum Permissible (15 minutes Maximum) 
 +163 
 325 
 Maximum Continuous 
 +155 
 311 
 Minimum for Starting 
 -40 
 -40"
Oil Pressure,"Maximum Transient (after cold start) 
 156 psi (130 psi at idle, 10 minutes maximum)* 
 Maximum Continuous 
 45-116 psi 
 Take-off Power 
 45-116 psi 
 Steady State Idle 
 25 psi minimum 
 * Engine must remain at idle until oil pressure returns to normal operating range."
APU,ALLIED SIGNAL RE220 (RJ)
APU Limits,"Maximum RPM 
 106% 
 Maximum EGT: 
 °C 
 °F 
 Starting 
 692-1038 1274-1900* 
 Running - Ground 
 789 
 1452 
 Running - Flight 
 806 
 1482 
 * Dependent upon altitude and temperature. Refer to AFM (CSP B-012) 
 ** Not to be exceeded under any operating condition. 
 *** Refer to AFM for detail limitations"
Airspeed Limits CAS,"Vmo and Mmo (maximum operating) 
 m.p.h. 
 Knots 
 Mach 
 Sea Level to 8000 ft. 
 380 
 330 
 - 
 8000 ft. to 25400 ft. 
 386 
 335 
 - 
 25400 ft. to 28300 ft. 
 - 
 - 
 0.80 
 28300 ft. to 31400 ft. 
 362 
 315 
 - 
 31400 ft. to 41000 ft. 
 - 
 - 
 0.85 
 Vfe (Flaps extended) 
 1° 
 265 
 230 
 - 
 8° 
 265 
 230 
 - 
 20° 
 265 
 230 
 - 
 30° 
 213 
 185 
 - 
 45° 
 196 
 170 
 - 
 Va (maneuvering) 
 (See AFM for variation of Va with altitude and aircraft weight). 
 V1o (Landing Gear Operation) 
 Extending 
 253 
 220 
 - 
 Retracting 
 230 
 200 
 - 
 V1e (Landing Gear Extended) 
 253 
 220 
 -"
CG Range,Refer to AFM (CSP B-012) for detail CG limits.
