Keyterm,Info
"A23CE 
 Revision 17 
 Textron Aviation 
 58P 
 58PA 
 58TC 
 58TCA 
 October 12, 2016",
Type Certificate Holder,"Textron Aviation Inc. 
 One Cessna Boulevard 
 Wichita, KS 67215"
Type Certificate Holder Record,"Beech Aircraft Corporation transferred to 
 Raytheon Aircraft Company on April 15, 1996 
 Raytheon Aircraft Company transferred to 
 Hawker Beechcraft Corporation on March 26, 2007 
 Hawker Beechcraft Corporation transferred to 
 Beechcraft Corporation on April 12, 2013 
 Beechcraft Corporation transferred to 
 Textron Aviation Inc. on October 12, 2016"
"I. Model 58P, Pressurized Baron, 4, 5 or 6 PCLM (Normal Category), Approved May 21, 1974 
 Model 58PA, Pressurized Baron, 4, 5 or 6 PCLM (Normal Category), Approved May 12, 1976 
 For SN TJ3 through TJ168",
Engine,"Teledyne Continental Motors TSIO-520-L or TSIO-520-LB 
 (2 of either or 1 of each)"
Fuel,"100LL or 100 minimum grade aviation gasoline 
 115/145 alternate grade aviation gasoline"
Engine limits,"(1) With propeller per (a) or (b) and governor per (e): 
 For all operations, 2700 r.p.m. (38 in. Hg. MAP), 310 HP 
 (Critical alt. 22,000 ft.) 
 (2) With propeller per (b) and governor per (f): 
 For all operations, 2600 r.p.m. (38 in. Hg. MAP), 301 HP 
 (Critical alt. 22,000 ft.) 
 Single Engine Operating Limits: 
 2700 r.p.m. (38 in. Hg. MAP), 310 HP, mechanical control device which cannot be 
 over-ridden by pilot."
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8"
Rev No,"17 
 13 
 13 
 13 
 13 
 13 
 13 
 17 
 For S/N TJ-169 through TJ-435 and TJ-437 through TJ-443"
Engine,2 Teledyne Continental Motors TSIO-520-WB
Fuel,"100LL or 100 minimum grade aviation gasoline 
 115/145 alternate grade aviation gasoline"
Engine limits,"With propeller per (b) or (c) and governor per (e): 
 Take-off and maximum continuous power 2700 r.p.m. (39.5 in. Hg. MAP), 325 HP 
 Maximum normal operating power 2600 r.p.m. (39.5 in. Hg. MAP), 
 297 HP (for S/N TJ-242 through TJ-435 and TJ-437 through TJ-443) 
 (Critical alt. 22,000 ft.) 
 For S/N TJ-436, TJ-444 and up"
Engine,2 Teledyne Continental Motors TSIO-520-WB
Fuel,"100LL or 100 minimum grade aviation gasoline 
 115/145 alternate grade aviation gasoline"
Engine limits,"With propeller per (d) and governor per (e): 
 Take-off and maximum continuous power 2700 r.p.m. (39.5 in. Hg. 
 MAP), 325 HP 
 (Critical alt. 22,000 ft.)"
Propeller and,(a) 2 Hartzell three-blade propellers in pairs
propeller limits,"Diameter: 80 in. (Normal) Minimum allowable for repair 
 79.5 in. (No further reduction permitted) 
 Pitch settings at 30 in. Sta.: low 13.0°, high 83.0° 
 PHC-J3YF-2F/FC8468-6R 
 or 
 PHC-J3YF-2F/FC84688-6R 
 or 
 PHC-J3YF-2UF/FC8468-6R 
 or 
 PHC-J3YF-2UF/FC8468B-64 
 or 
 (b) 2 Hartzell three-blade propellers in pairs 
 Diameter: 78 in. (Normal) Minimum allowable for repair 
 77.5 in. (No further reduction permitted) 
 Pitch settings at 30 in. Sta.: low 15.3°, high 84.0° 
 PHC-J3YF-2F/FC7663DR 
 or 
 PHC-J3YF-2F/FC7663DRB 
 or 
 PHC-J3YF-2UF/FC7663DR 
 or 
 PHC-J3YF-2UF/FC7663DRB 
 or 
 PHC-J3YF-2UF/FC7663DRK (for S/N TJ-349 through TJ-435 and 
 TJ-437 through TJ-443) 
 or 
 (c) 2 McCauley three-blade propellers in pairs 
 Diameter: 78 in. (Normal) Minimum allowable for repair 
 77.5 in. (No further reduction permitted) 
 Pitch settings at 30 in. Sta.: low 16.1° +.2°, high 82.5° +.5° 
 3AF32C511-/X//G-82NEA-4 
 P/N P5115358-01"
Propeller and,"or 
 (d) 2 McCauley three-blade propellers in pairs 
 Diameter: 78 in. (Normal) Minimum allowable for repair 
 77.5 in. (No further reduction permitted) 
 Pitch settings at 30 in. Sta.: low 16.1° +.2°, high 82.5° +.5° 
 3AF32C511-/X//G-82NEA-4 
 P/N P5115358-01 
 or P/N P5115358-0152 
 and 
 (e) Beech 96-380030 governor 
 or 
 (f) Beech 106-389001 governor"
Airspeed limits,"Never exceed 
 235 knots (270 m.p.h.) 
 (Decrease 5 knots per 1000 ft. above 16,000 ft.) 
 Maximum structural cruise 
 196 knots (226 m.p.h. 
 (Decrease 4 knots per 1000 ft. above 16,000 ft.) 
 Maximum design maneuver 
 170 knots (196 m.p.h.) 
 Above 23,000 ft. 
 161 knots (185 m.p.h.) 
 Maximum flaps extended (15°) 
 177 knots (204 m.p.h.) 
 Above 21,000 ft. 
 162 knots (186 m.p.h.) 
 Maximum flaps extended (30°) 
 143 knots (165 m.p.h.) 
 Maximum landing gear extended 
 177 knots (204 m.p.h.) 
 Above 21,000 ft. 
 162 knots (186 m.p.h.) 
 Maximum landing gear operating 
 177 knots (204 m.p.h.) 
 Above 21,000 ft. 
 162 knots (186 m.p.h.)"
CG range landing,Model 58P: (+78.4) to (+84.5) at 6100 lb. (TJ-3 through TJ-168)
Gear Extended,"Model 58P: (+79.0) to (+84.5) at 6200 lb. (TJ-169 and up) 
 Model 58PA: (+77.8) to (+84.5) at 5995 lb. 
 (+73.0) to (+84.5) at 5150 lb. or less 
 Straight line variation between points given"
,Landing gear retraction moment (+623 in.-lb.)
Empty weight CG range,None
Maximum weight,"Model 58P 
 Model 58P"
See NOTE 4,"(TJ-169 & up (TJ-3 through TJ-168) 
 Model 58PA 
 Takeoff and landing 
 6200 lb. 
 6100 lb. 
 5995 lb. 
 Ramp weight 
 6240 lb. 
 6140 lb. 
 6035 lb. 
 Zero fuel weight 
 5700 lb. 
 5700 lb. 
 5700 lb."
No of seats,"6 maximum (2 at +75, 2 at +117, 2 at +150)"
Maximum baggage andor,"Forward compartment (above floorboard) 
 300 lb. (+ 15)"
Optional equipment,"Rear compartment (aft to Sta. 170.00) 
 400 lb. (+150)"
Structural limits,"Aft baggage compartment (Sta. 170 to 190) 
 120 lb. (+180) 
 With 3rd and 4th seats removed for luggage, 
 maximum baggage is as follows: 
 Aft of rear spar cover to Sta. 170.00 
 400 lb. (+145)"
Fuel capacity,"Tank 
 Capacity Gal. 
 Usable Gal. 
 Arm 
 L&R Main* 
 86 ea. 
 83 ea. 
 +82.7 
 Optional Fuel System 
 L&R Main** 98 ea. 
 95 ea. 
 +83.4 
 See NOTE 1(a) for data on unusable fuel 
 *One left and one right tank. Each tank consists of three interconnected cells - two 
 leading edge cells and one box section cell. 
 **One left and one right tank. Each tank consists of four interconnected cells - two 
 leading edge cells, one box section cell and one integral wet wing tip cell."
Oil capacity,"24 qt. total (12 qt. each engine) at (+37) 
 See NOTE 1(b) for data on unusable oil"
Maximum operating limit,"25,000 ft. pressure altitude"
Control surface movements,"Wing flaps 
 (up, approach & full down) 0° 15° 
 30° 
 Aileron 
 Up 20° 
 Down 20° 
 Elevator 
 Up 20° 
 Down 15° 
 Rudder 
 Right 25° 
 Left 25° 
 Aileron tab (LH only) 
 Up 10° 
 Down 10° 
 Elevator tab 
 Up 10° 
 Down 23° 
 Rudder tab 
 Right 25° 
 Left 25°"
Serial Nos eligible,TJ-3 and On
