Keyterm,Info
"A7PC 
 Revision 6 
 Nomad TC Pty Ltd 
 N22B 
 N24A 
 N22S 
 July 7, 2021",
Type Certificate Holder Record,"Government Aircraft Factories transferred TC A7PC to AeroSpace Technologies of A 
 Australia Pty Ltd on December 7, 1987 
 AeroSpace Technologies of Australia Pty Ltd transferred TC A7PC to Nomad TC Pty Ltd 
 C/O GippsAero Pty Ltd on May 28, 2010"
"I - Model N22B (Normal Category), Approved May 20, 1977",
Engines,"2 Detroit Diesel Allison Division of General Motors Model 250-B17B or 250-B17C or 
 250-B17E. (See NOTE 9 regarding intermixing of engines)"
Fuel,"MIL-T-5624 Grade JP-4 or JP-5, ASTM-1655 JET A, JET A-1 or JET B; JP-1 fuel 
 conforming to ASTM:D-1655 JET A or JET A-1; Diesel fuel No. 1 conforming to 
 ASTM:D-1655 JET A or JET A-1."
Oil,"MIL-L-23699 or MIL-L-7808G 
 Allison 250-B17 Series Operation and Maintenance Manual, Publication 11W2, lists 
 approved brand oils."
Engine Limits,"** 
 ***"
B17B B17C B17E,"SHP 
 Gas 
 Power 
 Turbine 
 Generator 
 Turbine 
 Outlet 
 Speed N1% 
 Speed N2% 
 TempC"
 250B17B,"400 
 105 
 105 
 810 (see Note 10)"
 250B17C,"420 
 105 
 105 
 810"
 250B17E,"420 
 105 
 105 
 810"
 250B17B,"385 
 105 
 105 
 810"
 250B17C,"385 
 105 
 105 
 810"
 250B17E,"385 
 105 
 105 
 810 
 *See NOTE 7; **See NOTE 8; ***Normal operations are limited to 100% N2. 
 100% N1 = 50,970 r.p.m. 
 100% N2 = 33,290 r.p.m. @ 2,030 propeller r.p.m."
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14"
Rev No,"6 
 4 
 4 
 4 
 4 
 4 
 4 
 4 
 4 
 4 
 4 
 6 
 4 
 4"
Propellers,"2 Hartzell: 
 Type HC-A3VF-7 or HC-A3VF-7B 
 Blade type V10133 D-11 or V10133 N-11"
Propeller limits,"Diameter: 90.63 inches nominal 
 88 inches minimum 
 Pitch setting at 30-inch station: 
 Flight Idle 
 6 deg. (nominal) 
 Ground Idle 
 0 deg. (nominal) 
 Reverse 
 -13.5 deg.  .5 deg 
 Feather 
 85 deg.  1 deg"
Airspeed limits CAS,"Vmo (Max. operating) 
 169 
 knots 
 Va (Maneuvering) 
 131 
 knots 
 Vfe (Max. flap extended) 
 0-20° extension 
 120 
 knots 
 20-38° extension 
 100 
 knots 
 Vlo (Landing gear operating) 
 120 
 knots 
 Vle (Landing gear extended) 
 120 
 knots 
 Vmc (Minimum control) 
 66.5 knots"
CG range,"187.5 inches to 199.6 inches aft of datum at 8,000 lbs. or less. 
 188.6 inches to 199.6 inches aft of datum at 8,500 lbs. 
 Straight line variation between 8,000 lbs. and 8,500 lbs. 
 Moment change due to retracting landing gear -4,700 in-lbs."
Datum,Datum located 171.86 inches forward of wing leading edge.
Levelling,Longitudinal - along cabin seat rails.
Maximum weights,"Ramp 
 8,550 lbs. 
 Takeoff 
 8,500 lbs. 
 Landing 
 8,500 lbs."
Maximum zero fuel wt,"8,250 lbs. (all weights above 8,250 lbs. must be in fuel weight)."
No of seats,"15 maximum 
 Crew at 115.0 inches aft of datum. 
 See loading instructions for passenger loading. Passenger permitted in right-hand crew 
 seat when crew door/propeller interlock system (Mod N132) incorporated."
Maximum baggage,"400 lbs. at 50.7 inches aft of datum. 
 200 lbs. at 353.7 inches aft of datum (with Option G-44 installed)."
Fuel capacity,"274 U.S. gal. total in two interconnected tanks per side. 
 268 U.S. gal. usable at 197.5 inches aft. of datum. 
 With optional self-sealing tanks (GAF Option G28A): 
 268 U.S. gal. total in two interconnected tanks per side. 
 263 U.S. gal. usable at 197.5 inches aft of datum."
Oil capacity,"1.8 U.S. gal. drainable per engine at 141.0 inches aft of datum. 
 (See NOTE 1)"
Maximum operating,"25,000 ft. (except as limited by oxygen system requirements)."
altitude,"12,500 ft. (when autopilot engaged)."
Control surface movements,"Wing flaps 
 Maximum 38° 
 Aileron (flap retracted) 
 Up 20° 
 Down 20° 
 Spoiler (flaps 38°) 
 Up 28° 
 Down 3° 
 Horizontal Stabilizer 
 Up 18° 
 Down 8° 
 (at trailing edge) 
 Horizontal Stabilizer Tab 
 Up 27° 
 Down 12 
 (trim wheel at zero position) 
 Horizontal Stabilizer Trim 
 Up 17° 
 Down 6° 
 (stabilizer at neutral position) 
 Rudder 
 Right 23° 
 Left 23° 
 Rudder tab 
 Right 21° 
 Left 21° 
 (trim wheel at neutral position) 
 Rudder trim 
 Right 15° 
 Left 15° 
 (rudder at zero position) 
 Detail rigging information contained in GAF Maintenance Manual Pub 12.20 Sec 27."
Serial Nos eligible,"N22B-5 and subsequent. Military versions, designated by serial numbers with 
 suffix ""M"", are not eligible for civil certification. The Government of Australia, 
 Department of Transport Certificate of Airworthiness for Export endorsed as 
 noted under ""Import Requirements"" must be submitted for each individual aircraft for 
 which application for U.S. airworthiness certification is made. 
 (See NOTE 4)"
Equipment,"The basic required equipment as prescribed in the applicable airworthiness regulations 
 (see Certification Basis) must be installed in the aircraft for airworthiness certification. 
 Government Aircraft Factories List of Basic Equipment N22-6007B identifies all 
 required and optional equipment approved by the Australian Department of Transport. 
 Copy of document is available from FAA, Northwest Mountain Region, Los Angeles 
 Aircraft Certification Office. 
 In addition, the following items of equipment are required:"
1,"Department of Transport Approved Airplane Flight Manuals, GAF Pub. No. 12-28C or GAF Pub. 
 No. 12-28F (see NOTE 5). Section 3.35.3 of DOT Approved AFM pertains to flame-out and engine inflight 
 restarting procedures. Section 4, Figure 4.11 of DOT Approved AFM pertains to maximum takeoff weight 
 versus altitude/temperature."
2,Indestructible identification plate Part No. GAF N-00-234 (FAR 45.11).
3,"Safe Flight Instr. Corp. pre-stall warning detectors P/N 165-5 or GAF pre-stall warning detector 
 P/N N-81-723 and Safe Flight Instr. Corp. dual warning unit P/N 284."
4,"Engine oil shutoff valves, GAF P/N N-50-432 (Ref. GAF Option G240 and modification N376)."
5,Auxiliary fuel boost pump circuit duplication (Ref. GAF Option G247).
6,"Fail-safe fuel filler neck assemblies, GAF P/N N-57-318. (Ref GAF Option G250)."
7,"Airspeed indicator with dial markings in accordance with GAF Drawing No. N-03-410 or N-80-442 
 (Ref. GAF Option G251B)."
8,"Engine fire detection/warning system installed per GAF dwgs. No. N-60-11. System incorporates 
 150D/01-200 fire detector switches, N-81-405 warning indicators and 6/N-81-303 warning test switch."
9,"Fuel strainers per GAF Dwgs No. N-57-210 (Purolator 7510770 type). 
 10. Crew door/propeller interlock system, GAF Dwg. No. N-81-643 (Ref. GAF Mod. N132). Installation required 
 if passenger to be carried in R.H. crew seat. 
 11. Propeller autofeather system, GAF Installation Dwg. No. N-50-387 (Ref. GAF Option G214). 
 12. Alternate cabin vented static source system, GAF Installation Dwg. N-80-474 (Ref. GAF Option G284) 
 (For IFR operations). 
 13. Extended circuit breaker panel for cabin mounted circuit breakers for the fire detection system, GAF Dwg. 
 N-81-646 (Ref. Modification N218) or GAF Dwg. N-81-600 (Ref. GAF Option G267). 
 The type design approval also includes the installation of equipment as defined by the manufacturer's designated 
 option identification numbers. The installation of equipment on a particular aircraft will be shown on the option plate 
 (P/N SD320) located on the forward face of frame 67.95 in the nose baggage locker of each aircraft which is 
 certified to conform to the type design approval and to be in a condition for safe operation as per ""Import"
Requirements,"The following additional equipment required for compliance with FAR 135, Appendix A, Additional Airworthiness 
 Standards for 10 or More Passenger Airplane:"
1,"Department of Transport Approved Airplane Flight Manual, GAF pub No. 12.28F and AFM Supplement 
 No. R271, Air Taxi and Commercial Operations to FAR Part 135."
2,"Oil low pressure warning system, GAF Installation Dwg. N-81-548 (Ref. GAF Option G213)."
3,"Extra master caution panel, GAF P/N N-80-319 (Ref. GAF Option G135)."
4,"Cabin door-open warning system, GAF Installation Dwg N-81-391 (Ref. GAF Option G38) or GAF Installation 
 Dwg N-81-12 (Ref. GAF Modification N9)."
5,"Crew door lock indication and inadvertent opening prevention system, GAF DWG. N-10-537/8 Sheet 5 
 (Ref. GAF Modification N240)"
6,"Self-illuminating exit signs, GAF Dwg. N-84-90 (Ref. GAF Option G67A)."
7,"Additional cabin markings and placards. 
 GAF DWG. N-00-286 (Ref. Option G257) 
 GAF DWG. N-00-289 (Ref. Option G301) 
 GAF DWG. N-00-291 (Ref. Option G301) 
 GAF DWG. N-00-244 (Ref. GAF Modification N240) 
 GAF P/N N-18-579 (Ref. Modification N238) when cockpit/cabin divider (Option G79) is 
 incorporated."
8,"When cockpit/cabin divider (Option G79) is installed, the sliding door lock catch P/N N-18-417 must be 
 removed (Ref. GAF Modification N283)."
9,"Approved radio and navigation equipment must be installed in accordance with FAR Part 135.157. 
 The following radio and navigation equipment were installed at the time of original certification. Alternative 
 equipment may be used as approved by the FAA or the Department of Transport (now CAA). 
 King KMA20 Audio (Ref. GAF Option G50B including Modification N16 and N97). 
 King KX175B Nav-Comm. (Ref. GAF G51 including Modification N113) 
 King KX175B Second Nav-Comm. (Ref. GAF Option G73 including Modification N113). 
 King KT76 ATC Transponder (Ref. GAF Option G75). 
 Collins MCS107 Slaved Compass (Ref. GAF Option G62). 
 10. Additional cabin fire extinguishers must be installed per FAR 135.161. 
 The cabin fire extinguisher located under the pilot's seat is provided by the manufacturer and must be 
 installed at all times."
"II - Model N24A (Normal Category), Approved November 16, 1978 
 Model N24A is similar to N22B. N24A incorporates a lengthened fuselage and an increase in gross weight.",
Engines,"2 Detroit Diesel Allison Division of General Motors Model 250-B17B 
 or 250-B17C or 250-B17E. (See NOTE 9 regarding intermixing of engines.)"
Fuel,"MIL-L-5624 Grade JP-4 or JP-5, ASTM:1655 Jet A, JET A-1 or JET B; 
 JP-1 Fuel conforming to ASTM:D-1655 Jet A or Jet A-1; Diesel fuel 
 No. 1 conforming to ASTM:D-1655 Jet A or Jet A-1."
Oil,MIL-L-23699 or MIL-L-7808G
Engine Limits,"** 
 ***"
B17B B17C B17E,"SHP 
 Gas 
 Power 
 Turbine 
 Generator 
 Turbine 
 Outlet 
 Speed N1% 
 Speed N2% 
 TempC"
 250B17B,"400 
 105 
 105 
 810 (see Note 10)"
 250B17C,"420 
 105 
 105 
 810"
 250B17E,"420 
 105 
 105 
 810"
 250B17B,"385 
 105 
 105 
 810"
 250B17C,"385 
 105 
 105 
 810"
 250B17E,"385 
 105 
 105 
 810 
 *See NOTE 7; **See NOTE 8; ***Normal operations are limited to 100% N2. 
 100% N1 = 50,970 r.p.m. 
 100% N2 = 33,290 r.p.m. @ 2,030 propeller r.p.m."
Propellers,"2 Hartzell Hub Type HC-A3VF-7 or HC-A3VF-7B 
 Blade type V10133 D-11 or V10133 N-11"
Propeller Limits,"Diameter: 90.63 inches maximum 
 88 inches maximum 
 Pitch setting at 30 in. station: 
 Flight Idle 
 6 deg. (nominal) 
 Ground Idle 
 0 deg. (nominal) 
 Reverse 
 -13.5 deg.  .5 deg 
 Feather 
 85 deg.  1 deg"
Airspeed limits CAS,"Vmo (Max. operating) 
 162 knots 
 Va (Maneuvering) 
 134 knots 
 Vfe (Max. flap extended) 
 0-10° extension 
 120 knots 
 10-38° extension 
 106 knots 
 Vlo (Landing gear operating) 
 120 knots 
 Vle (Landing gear extended) 
 120 knots 
 Vmc (Minimum control) 
 66 knots"
CG range,"215.5 inches to 227.6 inches aft of datum at 7,500 lbs. or less. 
 217.5 inches to 227.6 inches aft of datum at 9,400 lbs. 
 Straight line variation between 7,500 lbs. and 9,400 lbs. 
 Moment change due to retracting landing gear -4,700 in-lbs."
Datum,Datum located 199.86 inches forward of wing leading edge.
Leveling means,"Longitudinal - along cabin seat rails. 
 Lateral - across cabin seat rails."
Maximum weights,"Ramp 
 9,450 lbs. 
 Takeoff 
 9,400 lbs. 
 Landing 
 9,200 lbs."
Maximum zero fuel wt,"9,150 lbs. (all weights above 9,150 lbs. must be in fuel weight)."
No of seats,"18 maximum 
 Crew at 118.5 inches aft of datum. 
 Crew at 116.5 inches aft of datum when crew seats relocated to forward mounting 
 alternative (Option R238). See loading instructions for passenger loading. Passenger 
 can be carried in right-hand crew seat only when crew door/propeller interlock system 
 (Modification N132) fitted."
Maximum baggage,"320 lbs. at 37.7 inches aft of datum. 
 200 lbs. at 398.7 inches aft of datum (with Option G-44 installed)."
Fuel capacity,"274 U.S. gal. total in two interconnected tanks per side. 
 268 U.S. gal. usable in two interconnected tanks per side when optional self-sealing 
 tanks fitted (Option G28A). 
 268 U.S. gal. usable at 225.5 inches aft of datum. 
 263 U.S. gal. usable at 225.5 inches aft of datum when optional self-sealing tanks fitted 
 (Option G28A)."
Oil capacity,"1.8 U.S. gal. drainable per engine at 169.0 inches aft of datum. 
 (See NOTE 1)"
Maximum operating,"25,000 ft. (except as limited by oxygen system requirements)."
altitude,"12,500 ft. (when autopilot engaged)."
