Keyterm,Info
"A9IN 
 Revision 1 
 SFERMA 
 Beech-Sferma 60 
 Beech-Sferma 60.A 
 March 4, 1964",
Type Certificate Holder,"SFERMA 
 3, Ouai Gallieni 
 Suresnes (Seine), France"
"I - Model Beech-Sferma 60, 4 or 5 PCLM (Normal Category), Approved February 11, 1963",
Engines,2 Turbomeca Astazou IID
Fuel,"French: 
 TRO (AIR 3405) 
 American: 
 JP1 (MIL.F.5616) 
 British: 
 DERD 2482 - Issue 3"
Engine limits,"For all operations, 43,500 r.p.m. (444 hp.) 
 Max. exhaust gas temp. 930°F (500°C) 
 Max. thermic load indicator 100% 
 Starting transient: 
 30 seconds - 
 Max. EGT 1020°F (550°C) 
 Less than 3 seconds - 
 Max. EGT 1165°F (630°C)"
Propeller and,2 Ratier-Figeac turbine propellers
propeller limits,"Electrically controllable, feathering and reversing 
 Hub FH 76-1-06 - Three blades FH 76-206 
 Diameter: Max. 75.6 in., min. 74.6 in. 
 Pitch setting at 26.46 in. station, reverse - 10° 
 starting - 2°, flight min. pitch + 11°, feathering + 83°"
Airspeed limits,"Vne (Never exceed) 
 293 m.p.h. (255 knots)"
CAS,"Vno (Normal operating) 
 260 m.p.h. (227 knots) 
 Vp (Maneuvering) 
 176 m.p.h. (155 knots) 
 Vfe (Flaps extended) 
 138 m.p.h. (120 knots) 
 Vle (Landing gear extended) 
 150 m.p.h. (130 knots) 
 Vmc (Minimum control) 
 103 m.p.h. ( 90 knots)"
No seats,"4, 2 at (+85), 2 at (+121) or (+136) 
 or 
 5.2 at (+85), 2 at (+121), 1 at (+153)"
Maximum baggage,Rear compartment 400 lb. (+150)
1,"2 
 3 
 4"
1,"1 
 1 
 1"
Equipment,"The basic required equipment as prescribed in applicable airworthiness regulations (see 
 Certification Basis) must be installed in the aircraft for certification. 
 The following additional equipment is required: 
 (a) 
 S.G.A.C. approved Flight Manual 
 (b) 
 Battery 79.3 lb. (+15) 
 SAFT 20.VO.40.KH 
 (c) 
 Differential Vmc piston 9.5 lb. (+221) 
 SFERMA 37.220.00 
 (d) 
 Stall warning indicator neglect weight 
 SAFE FLIGHT 35.3610.25"
"II - Model Beech-Sferma 60.A, 4, 5 or 6 PCLM (Normal Category), Approved January 14, 1964",
Engines,2 Turbomeca Astazou IIJ
Fuel,"French: TRO (AIR 3405) 
 American: JP1 (MIL.F.5616) 
 British: DERD 2482 - Issue 3"
