Keyterm,Info
"H10EU 
 Revision 21 
 Airbus Helicopters 
 SA-365C 
 SA-365C1 
 SA-365C2 
 SA-365N 
 SA-365N1 
 AS-365N2 
 SA-366G1 
 AS 365 N3 
 EC 155B 
 EC155B1 
 February 8, 2022",
Type Certificate Holder,"Airbus Helicopters 
 Aeroport International Marseille Provence 
 13725 - Marignane - Cedex 
 France"
TC Holder Record,"Eurocopter France changed name to Airbus Helicopters on January 1, 2014."
"I. Model SA-365C “Dauphin” (Transport Helicopter, Category B), approved October 11, 1978. 
 Model SA-365C “Dauphin” (Transport Helicopter, Category A), approved May 4, 1979.",
Engine,2 Turbomeca Arriel 1A.
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaust Gas Temp. 
 T4 
 2½ min. power rating 
 651 shp (486 Kw) 
 52,700 rpm 
 840°C 
 30 min. power rating 
 625 shp (466 Kw) 
 52,000 rpm 
 810°C 
 Takeoff (min.) 
 625 shp (466 Kw) 
 52,000 rpm 
 810°C 
 Maximum continuous 
 576 shp (430 Kw) 
 50,750 rpm 
 775°C 
 Starting (5 sec.max.) 
 840°C 
 Starting (without limit) 
 775°C 
 Eng. gearbox limitations 
 699 shp (521 Kw) @ 350 Rotor rpm 
 100% Ng = 51,800 rpm"
Transmission Limits,"Maximum (one eng. inoperative) 
 701 shp (523 Kw)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 503 shp (375 Kw) per engine"
See NOTE 5  6,"469 shp (350 Kw) per engine 
 Maximum Continuous 
 OR 
 Maximum Takeoff (5 min.) 
 577 shp (430 Kw) per engine 
 Maximum Continuous 
 532 shp (397 Kw) per engine"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14 
 15 
 16 
 17"
Rev No,"21 
 13 
 13 
 13 
 13 
 14 
 16 
 18 
 17 
 18 
 16 
 17 
 19 
 21 
 18 
 18 
 20"
Helicopter Limits,"Maximum (one eng. inoperative) 
 699 shp (521 Kw) 
 (torque 109%)"
at 350 Rotor rpm,"Maximum (Takeoff (5 min.) 
 503 shp (375 Kw) per engine (torque 78%)"
See NOTE 5  6,"Maximum Continuous 
 469 shp (350 Kw) per engine (torque 73%) 
 OR 
 Maximum Takeoff (5 min.) 
 577 shp (430 Kw) per engine (torque 90%) 
 Maximum Continuous 
 532 shp (397 Kw) per engine (torque 83%)"
CG Range,"Longitudinal : 
 + 151.1 in. to 161.4 in. 
 Lateral 
 : 
 Right: 
 4.3 in. 
 Left : 
 4.3 in."
Maximum Weight,"7,500 lb."
"II. Model SA-365C1 “Dauphin” (Transport Helicopter, Category B), approved August 9, 1979 (See NOTE 5). 
 Model SA-365C1 “Dauphin” (Transport Helicopter, Category A), approved October 5, 1979 (See NOTE 5). 
 The Model SA-365C1 is identical to the Model SA-365C except for engine model and engine limits.",
Engine,2 Turbomeca Arriel 1A1.
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaust Gas Temp. 
 shp 
 (Kw) 
 rpm 
 T4 
 °C 
 2½ min. power rating 
 667 
 (498) 
 52,900 
 840 
 30 min. power rating 
 643 
 (480) 
 52,250 
 810 
 Takeoff (min.) 
 630 
 (470) 
 52,000 
 810 
 Maximum continuous 
 579 
 (432) 
 50,750 
 775 
 Starting (5 sec.max.) 
 840 
 Starting (without limit) 
 775 
 Eng. gearbox limitations 
 699 shp (521 Kw) @ 350 Rotor rpm 
 100% Ng = 51,800 rpm"
Transmission Limits,"Maximum (one eng. inoperative) 
 701 shp (523 Kw)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 503 shp (375 Kw) per engine"
See NOTE 5  6,"Maximum Continuous 
 469 shp (350 Kw) per engine 
 OR 
 Maximum Takeoff (5 min.) 
 577 shp (430 Kw) per engine 
 Maximum Continuous 
 532 shp (397 Kw) per engine"
Helicopter Limits,"Maximum (one eng. inoperative) 
 699 shp (521 Kw) 
 (torque 109%)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 503 shp (375 Kw) per engine (torque 78%)"
See NOTE 6,"Maximum Continuous 
 469 shp (350 Kw) per engine (torque 73%) 
 OR 
 Maximum Takeoff (5 min.) 
 577 shp (430 Kw) per engine (torque 90%) 
 Maximum Continuous 
 532 shp (397 Kw) per engine (torque 83%)"
CG Range,"Longitudinal : 
 + 151.1 in. to 161.4 in. 
 Lateral 
 : 
 Right: 
 4.3 in. 
 Left : 
 4.3 in."
Maximum Weight,"7,500 lb."
"III. Model SA-365C2 “Dauphin” (Transport Helicopter, Category A and B), approved April 24, 1980. 
 The Model SA-365C2 differs from SA-365C1 in engine model and limits; gross weight and C.G. range; transmission rating and 
 transmission and helicopter limits",
Engine,2 Turbomeca Arriel 1A2.
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaust Gas Temp. 
 shp 
 (Kw) 
 rpm 
 T4 
 °C 
 2½ min. power rating 
 670 
 (500) 
 52,900 
 840 
 30 min. power rating 
 657 
 (490) 
 52,550 
 810 
 Takeoff (min.) 
 630 
 (470) 
 52,000 
 810 
 Maximum continuous 
 579 
 (432) 
 50,750 
 775 
 Starting (5 sec.max.) 
 840 
 Starting (without limit) 
 775 
 Eng. gearbox limitations 
 699 shp (521 Kw) @ 350 Kw Rotor rpm 
 100% Ng = 51,800 rpm"
Transmission Limits,"Maximum (one eng. inoperative) 
 701 shp (523 Kw)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 577 shp (430 Kw) per engine 
 Maximum Continuous 
 532 shp (397 Kw) per engine"
Helicopter Limits,"Maximum (one eng. inoperative) 
 699 shp (521 Kw) 
 (torque 109%)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 577 shp (430 Kw) per engine (torque 90%) 
 Maximum Continuous 
 532 shp (397 Kw) per engine (torque 83%)"
CG Range,"Longitudinal: 
 + 151.1 in. to + 161.4 in. up to 7500 lb. 
 + 151.1 in. to + 159.8 in. from 7500 lb to 7715 lb. 
 Lateral 
 : 
 Right: 
 4.3 in. 
 Left: 
 4.3 in."
Maximum Weight,"7,715 lb."
"IV. Model SA-365N “Dauphin” (Transport Helicopter, Category A and B), approved November 20, 1981. 
 The Model SA-365N differs from SA-365C2 in engine model and limits; gross weight and C.G. range; transmission 
 rating and transmission and helicopter limits.",
Engine,2 Turbomeca Arriel 1C
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaus 
 t Gas Temp. 
 shp 
 (Kw) 
 rpm 
 T4 
 °C 
 53,199 
 860 
 2½ min. power rating 
 700 
 (522) 
 30 min. power rating 
 686 
 (512) 
 52,318 
 835 
 Takeoff (min.) 
 659 
 (492) 
 51,800 
 835 
 Maximum continuous 
 586 
 (437) 
 50,505 
 785 
 Starting (5 sec.max.) 
 860 
 Starting (without limit) 
 785 
 Eng. gearbox limitations 
 739 shp (551.5 kw) @ 350 Rotor rpm 
 100% Ng = 51,800 rpm"
Transmission Limits,"Maximum (one eng. inoperative) 
 737 
 (523)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 603 
 (450)"
shp xxxKw per engine,"Maximum Continuous 
 567 
 (423)"
Helicopter Limits,"Maximum (one eng. inoperative) 
 737 
 (550 Kw) (torque 1 or 2: 61%)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 603 
 (450 Kw) (torque 1 + 2: 100%)"
shp xxxKw per engine,"Maximum Continuous 
 567 
 (423 Kw) (torque 1 + 2: 94%)"
CG Range,"Longitudinal: 
 a:IT'D ar ,w.vm cw 
 l'.!E!I .... 
 ... J 
 &000 
 ., .. -"
I,"nae 
 nee 
 I 
 - 
 ·-... 
 ,... 
 nn 
 JS,. 
 11H -"
I,",_ 
 noe 
 ,._ 
 l)N 
 Lateral: Right 2.95 in. 
 Left 2.95 in."
Maximum Weight,"8,818 lbs"
"V. Model SA-365N1 “Dauphin” (Transport Helicopter, Category A and B), approved December 1, 1986. 
 The Model SA-365N1 differs from SA-365N in engine model and limits; gross weight and tail boom change.",
Engine,2 Turbomeca Arriel 1C1.
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaust Gas Temp. 
 shp 
 (Kw) 
 rpm 
 T4 
 °C 
 2½ min. power rating 
 724 
 (540) 
 52,940 
 865 
 30 min. power rating 
 705 
 (526) 
 52,215 
 845 
 Takeoff (min.) 
 705 
 (526) 
 52,215 
 845 
 Maximum continuous 
 586 
 (437) 
 50,246 
 775 
 Starting (5 sec.max.) 
 865 
 Starting (without limit) 
 785 
 Eng. gearbox limitations 
 739 shp (551.5 Kw) @ 350 Kw Rotor rpm 
 100% Ng = 51,800 rpm"
Transmission Limits,"Maximum (one eng. inoperative) 
 737 
 (550)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 603 
 (450)"
shp xxxKw per engine,"Maximum Continuous 
 567 
 (423)"
Helicopter Limits,"Maximum (one eng. inoperative) 
 737 
 (550 Kw) (torque 1 or 2 : 61%) 
 Maximum Takeoff (5 min.) 
 603 
 (450 Kw) (torque 1 + 2: 100%) 
 Maximum Continuous 
 567 
 (423 Kw) (torque 1 + 2: 
 94%)"
CG Range,Longitudinal:
 ,"MM 
 , .. - 
 i"
 ,"I 
 """" I 
 ,ooe"
Maximum Weight,"9,038 lbs"
"VI. Model AS-365N2 “Dauphin” (Transport Helicopter, Category A and B), approved October 31, 1990. 
 The Model AS-365N2 differs from SA-365N1 in engine model and limits; gross weight and main gearbox torque.",
Engine,2 Turbomeca Arriel 1C2.
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaust Gas Temp. 
 shp 
 (Kw) 
 rpm 
 T4 
 °C 
 2½ min. power rating 
 712 
 (531) 
 52,328 
 885 
 30 min. power rating 
 712 
 (531) 
 52,328 
 845 
 Takeoff (min.) 
 712 
 (531) 
 52,328 
 845 
 Maximum continuous 
 632 
 (471) 
 50,867 
 775 
 Starting (5 sec.max.) 
 865 
 Starting (without limit) 
 785 
 Eng. gearbox limitations 
 739 shp (551.5 Kw) @ 350 Rotor rpm 
 100% Ng = 51,800 rpm"
Transmission Limits,"Maximum (one eng. inoperative) 
 737 
 (550)"
at 350 Rotor rpm,"Maximum Takeoff (5 min.) 
 647 
 (482,5)"
shp xxxKw per engine,"Maximum Continuous 
 567 
 (423)"
Helicopter Limits,"Maximum (one eng. inoperative) 
 737 
 (550 Kw) 
 (torque 1 or 2 : 57%) 
 Maximum Takeoff (5 min.) 
 647 
 (482,5 Kw) (torque 1 + 2: 100%) 
 Maximum Continuous 
 567 
 (423 Kw) (torque 1 + 2: 98%)"
CG Range,"Longitudinal: 
 (tSt.aj 
 1 
 CZNTl:Jt 01' aatavnv c 1n • 
 - 
 a -"
,"w 
 r,.osj 
 Lateral: 
 Right: 2.95 in. 
 Up to 4100 Kg 
 Left : 2.95 in. 
 Right: 1.96 in. 
 Beyond 4100 Kg 
 Left : 1.96 in."
Maximum Weight,"9,370 lbs"
"VII. Model SA-366G1 “Dauphin” (Transport Helicopter, Category A and B), approved July 28, 1983.",
Engine,2 Avco Lycoming LTS 101-750B-2 (See NOTE 10)
Installed Engine Limits,"(See NOTE 9 & 10) 
 Gas Generator 
 Output Shaft 
 Measured 
 Output Shaft 
 Speed-N1 
 Speed-N2 
 Gas Temperature 
 Torque % (Ft-Lbs) 
 % (RPM) 
 % (RPM) 
 °C (°F) 
 Normal Operation: 
 (Torque 1 + 2) 
 Takeoff power (5 min.) 
 100 
 (1056) 
 104.1 (49830) 
 102.3 (6138) 
 786 (1447) 
 Max. Continuous 
 94 
 ( 993) 
 102.9 (49255) 
 102.3 (6138) 
 765 (1409) 
 One Engine Inoperative: 
 (Torque 1 or 2) 
 2.5 min. power 
 100 
 (643) 
 106.1 (50787) 
 102.3 (6138) 
 822 (1512) 
 30 min. power 
 95.5 
 (614) 
 104.8 (50169) 
 102.3 (6138) 
 800 (1471) 
 Max. Continuous 
 88.2 
 (567) 
 102.9 (49255) 
 102.3 (6138) 
 765 (1409) 
 See Rotorcraft Flight Manual for other limitations including speed and temperature transients."
CG Range,"Longitudinal: 
 + 151.1 in. to 157.5 in. 
 Lateral 
 : 
 Right 5.62 in. 
 Left 3.93 in."
Maximum Operating Altitude,"18,000 feet pressure altitude."
Maximum Weight,"8,950 lbs."
"VIII. Model AS-365N3 “Dauphin” (Transport Helicopter, Category A and B), approved November 6, 1998. 
 The Model AS-365N3 differs from AS 365N2 in engine model and limits.",
Engine,2 Turbomeca Arriel 2C engines.
Engine Limits,"(Sea level static - standard day conditions) 
 Power shaft 
 Gas generator 
 Exhaust Gas Temp. 
 shp 
 (Kw) 
 rpm 
 T4 
 °C 
 30 sec. OEI rating 
 944 
 (704) 
 55,051 
 1000 
 2 min. OEI rating 
 851 
 (635) 
 53,192 
 941 
 Continuous OEI 
 818 
 (610) 
 52,571 
 912 
 Takeoff (5 min.) 
 779 
 (581) 
 52660 
 912 
 Maximum continuous 
 779 
 (581) 
 51520 
 877 
 Starting (10 sec.max.) 
 865 
 Starting (without limit) 
 750 
 100% Ng = 52,110 rpm"
Transmission Limits,"Maximum continuous (OEI) 
 815 
 (608 Kw) 
 (torque 1 or 2 : 63%)"
 350 rpm,"Maximum Takeoff (5 min.) 
 1294 
 (965 Kw) (torque 1 + 2: 100%) 
 Maximum Continuous 
 1138 
 (849 Kw) (torque 1 + 2: 88%)"
CG Range,"Longitudinal: 
 11s1.,j 
 I 
 CZNTl:Jt 01' altAVIT't C 1nJ 
 .. 
 GI -.. 
 (wil 
 r,.osj 
 Lateral: 
 Right: 2.95 in. 
 Up to 4100 Kg 
 Left : 2.95 in. 
 Right: 1.96 in. 
 Beyond 4100 Kg 
 Left : 1.96 in."
Maximum Weight,"9,370 lbs"
"IX. Model EC 155B “Dauphin” (Transport Helicopter, Category A and B), approved December 14, 2000. 
 The Model EC 155B is a derivative of the AS365N3 and incorporates an increase in gross weight, enlarged fuselage structure, a 
 new 5-blade main rotor, a fenestron with RTM technology, and a new avionics and AFCS system.",
Engine,2 Turbomeca Arriel 2C1 engines.
