Keyterm,Info
"H10WE 
 REVISION 17 
 ROBINSON 
 R22 
 R22 ALPHA 
 R22 BETA 
 R22 MARINER 
 October 30, 2020",
Type Certificate Holder,"Robinson Helicopter Company 
 2901 Airport Drive 
 Torrance, California 90505"
"I. Model R22 Helicopter (Normal Category), Approved March 16, 1979",
Engine,"Lycoming O-320-A2B or O-320-A2C or 
 O-320-B2C (See NOTES 5 & 6)"
Fuel,See Rotorcraft Flight Manual (RFM)
Engine Limits for all operations,"124 hp at 2652 rpm (104%) 
 See RFM for manifold pressure limit corresponding to 124 hp and ambient 
 conditions."
Rotor Limits,"Power Off (Rotor Tach) 
 Power On (Rotor Tach) 
 Maximum (110%) 561 rpm 
 (104%) 530 rpm 
 Minimum (90%) 459 rpm 
 (97%) 495 rpm"
Airspeed Limits CAS,"98 KCAS Power On and Off VNE (never exceed) at sea level. 
 See RFM for reduction of VNE with altitude and temperature."
Altitude Limits,"Density Altitude Limit - 14,000 feet"
CG Range,See RFM
Maximum Gross Weight,1300 lbs.
No Seats,2 (See NOTE 1)
Minimum Weight,920 lbs.
Maximum Baggage,"50 pounds of baggage and installed equipment in either baggage compartment, 
 except combined seat load plus baggage and equipment not to exceed 240 pounds."
Page No,"1 
 2 
 3 
 4 
 5 
 6"
Rev No,"17 
 16 
 16 
 16 
 17 
 17"
Fuel Capacity,"Tanks Without Bladders 
 Tanks With Bladders 
 Location 
 Tank 
 Usable 
 Capacity 
 Usable 
 Capacity 
 (STA) 
 (gal.) 
 (gal.) 
 (gal.) 
 (gal.) 
 Main 
 19.8 
 19.2 
 18.3 
 16.9 
 108.6 
 Auxiliary 
 N/A 
 N/A 
 9.7 
 9.4 
 103.8"
Oil Capacity,"Engine Oil, 6 qt. at STA 104.8; 
 Transmission oil, 1.2 qt. at STA 100. 
 For rigging information refer to R22 Maintenance Manual"
Serial Nos Eligible,"0002 thru 0300 
 0302 thru 0349 
 0352 thru 0356"
"II. Model R22 ALPHA Helicopter (Normal Category), Approved October 12, 1983",
Engine,Lycoming O-320-B2C
Fuel,See RFM
Engine Limits for all operations,"124 hp at 2652 rpm (104%) 
 See RFM for manifold pressure limit corresponding to 124 hp and ambient 
 conditions."
Rotor Limits,"Power Off (Rotor Tach) 
 Power On (Rotor Tach) 
 Maximum (110%) 561 rpm 
 (104%) 530 rpm 
 Minimum (90%) 459 rpm 
 (97%) 495 rpm"
Airspeed Limits,"98 KCAS Power On and Off VNE (never exceed) at sea level. 
 See RFM for reduction of VNE with altitude and temperature."
Altitude Limits,"Density Altitude Limit - 14,000 feet"
Maximum Gross Weight,1370 lbs.
No Seats,2 (Pilot Location STA 78.0)
Minimum Weight,920 lbs.
Maximum Baggage,"50 pounds of baggage and installed equipment in either baggage compartment, 
 except combined seat load plus baggage and equipment not to exceed 240 pounds."
Fuel Capacity,"Tanks Without Bladders 
 Tanks With Bladders 
 Location 
 Tank 
 Usable 
 Capacity 
 Usable 
 Capacity 
 (STA) 
 (gal.) 
 (gal.) 
 (gal.) 
 (gal.) 
 Main 
 19.8 
 19.2 
 18.3 
 16.9 
 108.6 
 Auxiliary 
 10.9 
 10.5 
 9.7 
 9.4 
 103.8"
Oil Capacity,"Engine oil, 6 qt. at STA 104.8; 
 Transmission oil, 1.2 qt. at STA 100. 
 For rigging information refer to R22 Maintenance Manual."
Serial Nos Eligible,"0301, 0350, 0351, 0357 thru 0500, excluding 0364"
"III. Model R22 BETA Helicopter (Normal Category), Approved August 12, 1985 
 The R22 BETA Helicopter includes a 131 hp. takeoff rating. A larger oil cooler and associated installation changes were made to 
 permit the 131 hp. takeoff rating with the O-320 engine.",
Engine,Lycoming O-320-B2C or O-360-J2A (See NOTE 11)
Fuel,See RFM
Engine Limits for all operations,"Maximum continuous: 124 hp at 2652 rpm (104%) 
 Takeoff (5 minutes): 
 131 hp at 2652 rpm (104%) 
 See RFM for manifold pressure limit corresponding to hp. rating and ambient 
 conditions."
Rotor Limits,"Power Off (Rotor Tach) for 
 Power On (Rotor 
 Power On (Rotor Tach) 
 O-320-B2C and O-360-J2A 
 Tach) for O-320-B2C 
 for O-360-J2A 
 Maximum (110%) 561 rpm 
 (104%) 530 rpm 
 (104%) 530 rpm 
 Minimum (90%) 459 rpm 
 (97%) 495 rpm 
 (101%) 515 rpm"
Airspeed Limits CAS,"98 KCAS Power On and Off VNE (never exceed) at sea level. 
 See RFM for reduction of VNE with altitude and temperature."
Altitude Limits,"Density Altitude Limit - 14,000 feet"
CG Range,See RFM
Maximum Gross Weight,1370 lbs.
No Seats,2 (Pilot Location STA 78.0)
Minimum Weight,920 lbs.
Maximum Baggage,"50 pounds of baggage and installed equipment in either baggage compartment, 
 except combined seat load plus baggage and equipment not to exceed 240 pounds."
Fuel Capacity,"Tanks Without Bladders 
 Tanks With Bladders 
 Location 
 Tank 
 Usable 
 Capacity 
 Usable 
 Capacity 
 (STA) 
 (gal.) 
 (gal.) 
 (gal.) 
 (gal.) 
 Main 
 19.8 
 19.2 
 18.3 
 16.9 
 108.6 
 Auxiliary 
 10.9 
 10.5 
 9.7 
 9.4 
 103.8"
Oil Capacity,"Engine oil, 6 qt. at STA 104.8; 
 Transmission oil, 1.2 qt. at STA 100. 
 For rigging information refer to R22 Maintenance Manual."
Serial Nos Eligible,0501 and subsequent
"IV. Model R22 MARINER Helicopter (Normal Category), Approved September 12, 1985 
 The R22 MARINER helicopter includes two inflatable floats, additional corrosion protection, 131 hp. takeoff rating, tailcone 
 with nose-up horizontal stabilizer mounting angle and float stabilizer in place of the tail skid. The helicopter can be used with or 
 without floats See NOTE 9",
Engine,Lycoming O-320-B2C or O-360-J2A (See NOTE 11)
Fuel,See RFM
Engine Limits for all operations,"Maximum continuous: 124 hp at 2652 rpm (104%) 
 Takeoff (5 minutes): 
 131 hp at 2652 rpm (104%) 
 See RFM for manifold pressure limit corresponding to hp. rating and ambient 
 conditions."
Rotor Limits,"Power Off (Rotor Tach) for 
 Power On (Rotor 
 Power On (Rotor Tach) 
 O-320-B2C and O-360-J2A 
 Tach) for O-320-B2C 
 for O-360-J2A 
 Maximum (110%) 561 rpm 
 (104%) 530 rpm 
 (104%) 530 rpm 
 Minimum (90%) 459 rpm 
 (97%) 495 rpm 
 (101%) 515 rpm"
Airspeed Limits CAS,"With Floats Installed 
 91 KCAS Power On VNE (never exceed) at sea level. 
 77 KCAS Power Off VNE (never exceed) at sea level. 
 See RFM for reduction of VNE with altitude and temperature. 
 Without Floats Installed 
 98 KCAS Power On and Off VNE (never exceed) at sea level. 
 See RFM for reduction of VNE with altitude and temperature."
Altitude Limits,"Density Altitude Limit - 14,000 feet"
CG Range,See RFM
Maximum Gross Weight,1370 pounds
No Seats,2 (Pilot Location STA 78.0)
Minimum Weight,920 pounds
Maximum Baggage,"50 pounds of baggage and installed equipment in either baggage compartment, 
 except combined seat load, plus baggage and equipment not to exceed 240 pounds."
Fuel Capacity,"Tanks Without Bladders 
 Tanks With Bladders 
 Location 
 Tank 
 Usable 
 Capacity 
 Usable 
 Capacity 
 (STA) 
 (gal.) 
 (gal.) 
 (gal.) 
 (gal.) 
 Main 
 19.8 
 19.2 
 18.3 
 16.9 
 108.6 
 Auxiliary 
 10.9 
 10.5 
 9.7 
 9.4 
 103.8"
Oil Capacity,"Engine oil, 6 qt. at STA 104.8; 
 Transmission oil, 1.2 qt. at STA 100."
Rotor Blade and,For rigging information refer to R22 Maintenance Manual.
Serial No Eligible,"0364, 0501 and subsequent (Suffix ""M"" added to all MARINERs.)"
DATA PERTINENT TO ALL MODELS,
Datum,100 inches forward of main rotor centerline.
Leveling Means,Refer to the Weight and Balance Section of the R22 Rotorcraft Flight Manual.
Certification Basis,"14 CFR Part 27 dated February 1, 1965, including Amendments 27-1 through 27-10. 
 § 27.1559 of Amendment 27-21 is an option for all S/Ns. 
 For S/N 4815 and subsequent: 
 14 CFR §§ 27.952(a), 27.952(c), 27.952(f), 27.952(g), 27.963(g) (except with a 
 minimum puncture force of 250 pounds), and 27.975(b) as amended by Amendment 
 27-30 (see Note 13) 
 National Environmental Act of 1969 
 Noise Control Act of 1972 
 Equivalent Safety Findings: 
 Number TD10352LA-R/S-1 
 14 CFR Part 27.1401(d), Anticollision Light System 
 For S/N 4815 and subsequent: 
 Number AT17316LA-R/P-1 
 14 CFR Part 27.952(c)(1)(i), Breakaway coupling separation load (see Note 13)"
Production Basis,"Production Certificate No. 424WE, dated March 6, 1981"
Equipment,"The basic required equipment as prescribed in the applicable airworthiness 
 regulations (See Certification Basis) must be installed in the helicopter for 
 certification. In addition, the following FAA-approved Rotorcraft Flight Manual is 
 required: 
 R22 
 R22 Rotorcraft Flight Manual dated March 16, 1979, or later revision. 
 R22 ALPHA 
 R22 Rotorcraft Flight Manual dated March 16, 1979, with revisions through October 
 12, 1983 or later (see NOTE 8). 
 R22 BETA with O-320-B2C 
 R22 Rotorcraft Flight Manual dated March 16, 1979, with revisions through August 
 7, 1985 or later (see NOTE 8). 
 R22 BETA with O-360-J2A 
 R22 Rotorcraft Flight Manual dated March 16, 1979,with revisions through August 
 7, 1985 or later. For R22 Rotorcraft Flight Manual with revisions prior to October 
 13, 2000, Flight Manual Supplement 7 dated January 31, 1996, or later revision, is 
 required (see NOTE 8). 
 R22 MARINER with O-320-B2C 
 R22 Rotorcraft Flight Manual dated March 16, 1979, with revisions through August 
 7, 1985 or later, and Flight Manual Supplement 4 dated September 9, 1985, or later 
 revision. 
 R22 MARINER with O-360-J2A 
 R22 Rotorcraft Flight Manual dated March 16, 1979, with revisions through August 
 7, 1985 or later, and Flight Manual Supplement 4 dated September 9, 1985, with 
 revisions through October 13, 2000 or later. For R22 Rotorcraft Flight Manual with 
 revisions prior to October 13, 2000, Flight Manual Supplement 8 dated January 31, 
 1996, or later revision, is required in place of Flight Manual Supplement 4. 
 ALL MODELS 
 If fuel tanks with bladders are installed: R22 Rotorcraft Flight Manual dated March 
 16, 1979, with revisions through February 15, 2013 or later. R22 Mariners also 
 require Flight Manual Supplement 4 as noted above. Also see Note 8."
