Keyterm,Info
"H15NM 
 Revision 4 
 Hagglund Helicopters, LLC 
 UH-1H 
 January 7, 2022",
Type Certificate Holder,"Hagglund Helicopters, LLC 
 5101 NW A Avenue 
 Pendleton, OR 97801"
Type Certificate Holder Record,"Western International Aviation, Inc. transferred ownership of TC H15NM to 
 Hagglund Helicopters, LLC on January 24, 2001"
"I - Model UH-1H, (Restricted Category Rotorcraft) Approved March 25, 1994",
Engine,1 - Lycoming T53-L-13B (See Note 10 For Alternative Engines)
Fuel,"ASTM-D1655 (Jet A, Jet A-1, Jet B) (See Note 12 For Alternative Fuels) 
 Torque 
 Output 
 Exhaust 
 Gas Gen"
Engine Limits,"Pressure 
 Horsepower 
 Output 
 Gas Temp. 
 Speed 
 (PSI) 
 (HP) 
 (RPM) 
 (C°) 
 N1(%) 
 Takeoff (30 min.) 
 50.0 
 1100 
 6600 
 610 - 625 
 101.5 
 Max. Cont. 
 50.0 
 1100 
 6600 
 400 –610 
 101.5 
 Refer to TM55-1520-210-10 for additional limitation data."
Rotor Limits,"Power Off 
 Power On 
 Maximum r.p.m. 
 339 
 324 
 Minimum r.p.m. 
 294 
 294"
Airspeed Limits,"Roof-mounted pitot static: 
 VNE (never exceed speed) 124 knots up to 7500 lbs. Gross Weight, sea level to 2000 feet. 
 Never exceed 113 knots up to 9500 lbs. Gross Weight, seal level to 2000 feet. Refer to 
 TM55-1520-210-10, Chapter 5, Section V, for specific operating airspeed limitations. 
 See Note 2 for specific operation airspeed limitation placards. 
 Nose-Mounted Pitot static: 
 Never exceed 112 knots up to 7500 lbs. Gross Weight, sea level to 2000 feet. Never 
 exceed 103 knots up to 9500 lbs. Gross Weight, sea level to 2000 feet. Refer to TM55- 
 1520-210-10, Chapter 5, Section V, for specific operating airspeed limitations. See Note 
 2 for specific operation airspeed limitation placards."
Page No,"1 
 2 
 3 
 4 
 5"
Rev No,"4 
 4 
 4 
 2 
 4"
CG Range,"Longitudinal C.G. Limits 
 (+130.0) to (+144.0) at 7000 lbs. 
 (+130.0) to (+144.0) at 8600 lbs. 
 (+130.0) to (+134.0) at 9500 lbs. 
 (+134.0) to (+143.0) at 9500 lbs. 
 Straight line variation between points given. 
 GROSS WEIGHT 
 9500 - 
 (LBS.) 
 8600 - 
 7000 - 
 128 130 132 134 136 138 140 142 144 
 Station – Inches 
 Lateral C.G. Limits Plus or Minus 7.5 in. 
 Empty Weight C.G. Range (+130.0) to (+144.0)"
Datum,"Station 0, datum is 7.6 inches aft of the most forward point of the fuselage nose section."
Leveling Means,Plumb line from top of left main door frame to index plate on cabin floor. See Note 1.
Maximum Weight,9500 lbs.
Minimum Crew,1 (Pilot) at (+46.7)
No of Seats,See Note 15
Maximum Baggage,100 lbs. per sq. ft. of cargo area. (See U.S. Army TM55-1520-210-10.)
Fuel Capacity,"208.5 U.S. gallons (+151.6) Crashworthy system. 
 220.0 U.S. gallons (+151.6) Non-crashworthy system."
Oil Capacity,3.25 gallons (+173.0)
Rotor Blade and,"For rigging information, refer to U.S. Army TM55-1520-210-23 (Maintenance Manual)."
Control Movements,"Serial No.’s Approved U.S. Military Surplus UH-1H Helicopters as identified in Hagglund Helicopters, LLC 
 Report No. HH-200 dated March 28, 2001, or later FAA approved revisions. Current 
 copy on file at the Los Angeles Aircraft Certification Office."
Certification Basis,"Part 21 § 21.25(a)(2), effective February 1, 1965, including Amendments 21-1 through 
 21-42. 
 Type Certificate No. H15NM, for the special purpose of: 
 1) 
 Agricultural Operations under § 21.25(b)(1). 
 Note: In accordance with § 36.1(a)(4), compliance with the noise requirements was not 
 shown. Therefore, aircraft certified under this type certificate are only eligible for 
 agricultural operations excepted by § 36.1(a)(4) and defined under § 137.3. 
 2) 
 Forest and Wildlife Conservation under § 21.25(b)(2) 
 Note: In accordance with § 36.1(a)(4), compliance with the noise requirements was not 
 shown. Therefore, aircraft certificated under this type certificate are only eligible for 
 dispensing fire fighting materials excepted by § 36.1(a)(4) and defined under §137.3. 
 3) 
 External Load Operation under § 21.25(b)(7) 
 Note: In accordance with part § 36.1(a)(4), compliance with the noise requirements was 
 not shown. Therefore, aircraft certificated under this type certificate are only eligible for 
 external loads operations excepted by § 36.1(a)(4) and defined under §133.1(b). 
 General Note: Any alteration to the aircraft for Special Purposes not identified above 
 require further FAA approval and in addition, may require noise and/or flight testing. 
 Date of Application: November 5, 1993."
Production Basis,"None. Prior to original certification of each aircraft, a FAA representative must perform 
 a detailed inspection for workmanship, materials, and conformity with the approved 
 technical data following a check, by the type certificate holder, of the flight 
 characteristics in accordance with all applicable portions of Section II of the U.S. Army 
 Technical Manual TM55-1520-242-MTF Maintenance Test Flight Manual, Army Model 
 UH-1, EH-1 Helicopter, Change 1, dated December 19, 1986, as appropriate for each 
 aircraft, or other FAA approved manual."
Equipment,"Equipment necessary for the particular special purpose operation must be installed. Each 
 helicopter is required to incorporate modifications as specified in Hagglund Helicopter, 
 LLC’s Special Purpose Modifications, Report No. HH-600, N.C., dated October 22, 
 2001, or later FAA approved revisions."
NOTE 1,"A current weight and balance report including a list of equipment included in the 
 certificated empty weight, and loading instructions when necessary, must be provided for 
 each helicopter at the time of original airworthiness certification. Refer to Chapter 6 of 
 Operator’s Manual, TM55-1520-210-10 and Maintenance Manual TM55-1520-210-23, 
 Paragraph 1-36 for leveling means and weight and balance determination."
