Keyterm,Info
"H1GL 
 Scheutzow 
 Model B 
 May 4, 1976",
Type Certificate Holder,"Scheutzow Helicopter Corporation 
 Columbia Station, Ohio"
Engine,Lycoming IVO-360-A1A
Fuel,100/130 minimum grade aviation gasoline
Engine limits,"Take-off (5 min.), 2900 rpm, 28.3 in. Hg. (180 hp) 
 Max. continuous, 2900 rpm, 27.7 in. Hg. (175 hp) 
 See FAA approved Rotorcraft Flight Manual for variation of 
 maximum manifold pressure with ambient conditions."
Rotor limits and,"Power Off (Rotor Tach.) 
 Power On (Engine Tach.)"
engine operating,"Minimum 
 400 rpm 
 Minimum 
 2750 rpm"
speeds,"Maximum 
 485 rpm 
 Maximum 
 2900 rpm"
Airspeed limits IAS,"VARIATION OF Vne WITH ALTITUDE AND TEMPERATURE 
 PRESSURE ALTITUDE IN FEET"
OAT °F,"0 
 1000 
 2000 
 3000 
 4000 
 5000 
 6000 
 7000 
 8000 
 9000"
20,"93 
 93 
 93 
 93 
 93 
 93 
 89 
 84 
 79 
 76"
0,"93 
 93 
 93 
 93 
 93 
 89 
 83 
 78 
 74 
 71"
20,"93 
 93 
 93 
 93 
 89 
 83 
 78 
 74 
 70 
 66"
40,"93 
 93 
 92 
 89 
 83 
 78 
 74 
 70 
 67 
 -"
60,"93 
 90 
 86 
 83 
 79 
 74 
 70 
 67 
 - 
 -"
80,"90 
 86 
 83 
 79 
 74 
 70 
 67 
 - 
 - 
 -"
100,"86 
 83 
 79 
 74 
 70 
 66 
 - 
 - 
 - 
 - 
 INDICATED AIRSPEED - MPH (with zero instrument error)"
Altitude limits,"Take-off and landing, 6300 ft. density altitude maximum; enroute, 8700 ft. density 
 altitude maximum."
longitudinal,(+96.0) to (+100.5)
lateral,(+1.0) right to (-1.4) left
Maximum weight,"1735 lbs.; refer to Approved Rotorcraft Flight Manual for variation of weight with 
 altitude"
No of seats,"2 (+65.3) longitudinal, (+13.5) and (-9.5) lateral"
Maximum baggage,100 lbs. (+87) longitudinal; lateral is optional
Page No,"1 
 2"
Rev No,"- 
 -"
Fuel capacity,"21 gal. total, (+99.1) longitudinal, (-17.4) lateral Moment arms shown are for full tank. 
 See FAA Approved Flight Manual for variation of moment arms with fuel quantity. (See 
 Note 1 for data on unusable fuel)"
Oil capacity,"6 qts. total, (+115) longitudinal, (See Note 1 for data on unusable oil)"
control movements,Refer to Maintenance Manual for rigging information
Stabilizer setting,Refer the Maintenance Manual
Serial Nos eligible,104 and up
Datum longitudinal,"100 in. forward of center line of main rotor mast 
 lateral: 
 Airframe centerline or center line of mast"
Leveling means,Rotor mast (vertical)
Certification basis,"Part 27 of Federal Aviation Regulations, effective February 1, 1965 and Amendments 
 27-1 through 27-9 Application for Type Certificate dated March 13, 1975"
Production basis,None - Type Certificate only
Equipment,"The basic required equipment as prescribed in the applicable airworthiness regulations 
 (see certification basis) must be installed in the helicopter for certification. In addition, 
 an FAA Approved Rotorcraft Flight Manual is required."
NOTE 1,"Current weight and balance report including list of equipment in certificated empty weight, and loading 
 instructions when necessary, must be provided for each helicopter at the time of original certification. The 
 certificated empty weight and corresponding center of gravity locations must include unusable fuel of 0.3 
 gal. at (104.5) longitudinal, (-20.5) lateral and unusable oil of 1.5 qts. at (+115) longitudinal, (0) lateral."
NOTE 2,"The following placard must be displayed in front of and in clear view of the pilot: 
 ""This helicopter must be operated in compliance with the operating limitations specified in the 
 Approved Rotorcraft Flight Manual and Maintenance Manual Airworthiness Limitations."" 
 See FAA Approved Rotorcraft Flight Manual for additional operational limitations and placards."
NOTE 3,"Prior to the issuance of any Standard Certificate of Airworthiness, an acceptable Rotorcraft Maintenance 
 Manual must be furnished to the FAA by the manufacturer."
NOTE 4,"Information essential for proper maintenance of the helicopter is contained in the Maintenance Manual. The 
 retirement times of critical parts are listed in Section 1 titled, Critical Parts, Airworthiness Limitations, and 
 Scheutzow Helicopter Corporation Report No. SHC 592, Revision F, Retirement Life of Critical 
 Components Scheutzow Model B Helicopter, dated April 5, 1976. 
 Values of retirement times of critical parts cannot be increased without FAA approval."
