Keyterm,Info
"H1IN 
 Revision 9 
 Airbus Helicopters 
 SE.3160 Alouette III 
 SA.316B Alouette III 
 SA.315B Alouette III 
 SA.319B Alouette III 
 SA.316C Alouette III 
 March 1, 2022",
Type Certificate Holder,"Airbus Helicopters Aeroport International 
 Marseille Provence 13725 
 Marignane - Cedex 
 France"
TC Holder Record,"Eurocopter France changed name to Airbus Helicopters on January 1, 2014."
"I - Model SE.3160 Alouette III, approved 27 March 1962",
Engine,One - Turbomeca Artouste III B.
Fuel and Engine Oil,See data pertinent to all models.
Engine limits,"Maximum speed: 33,500 r.p.m. true held constant by governor within 
 + 200 r.p.m. (transient variations of + 1000 r.p.m. are permissible). 
 ) 
 Rating takeoff: 858 hp - 33,500 r.p.m. (5 min.) 
 ) at sea level 
 (limited to 562 hp by engine gear box) 
 ) standard 
 ) conditions of 
 Rating maximum continuous: 690 hp - 33,500 r.p.m.) 
 (limited to 542 hp by engine gear box) 
 ) 59° F., 29.92 in.Hg 
 Maximum tailpipe temperature 
 Takeoff power (5 min.) 
 : 550°C 
 Maximum continuous power 
 : 500°C"
Transmission Limits,"Maximum takeoff power 
 : 542 hp 
 Maximum continuous power 
 : 444 hp"
Helicopter Limits,"Maximum takeoff power 
 : 542 hp 
 Maximum continuous power 
 : 444 hp"
Rotor Limits,"Maximum speed 
 : 420 r.p.m. 
 Minimum speed 
 : 270 r.p.m. 
 Constant speed, power-on flight 
 : 353.2 r.p.m."
Airspeed Limits,"For CG location between (109.45) and (121.25) : 113 knots 
 For CG location between (121.25) and (124.0) : 103 knots 
 See Helicopter Flight Manual for variation of VNE with weight and altitude."
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9"
Rev No,"9 
 4 
 4 
 4 
 4 
 4 
 4 
 9 
 8"
CG Range,"Longitudinal 
 (109.45) to (121.25) 
 (121.25) to (124.0) with airspeed restriction per ""Airspeed Limits"" 
 above. 
 Lateral 
 LH Limit (5.51) 
 RH Limit (4.72)"
Maximum Weight,4630 lb.
Number of Seats,"7 - Pilot and two front passengers (54.55), plus four rear passengers (86.45)"
Maximum Baggage,See Helicopter Flight Manual.
Fuel Capacity,"149 U.S. Gal. (123.2) - Usable 146 U.S. Gal. 
 Total tank capacity: 157 U.S. Gal. 
 (See NOTE 1 for data on unusable fuel)."
Oil Capacity,"Total capacity 2.6 U.S. Gal. at 143 inches 
 (See NOTE 1 for data on undrainable oil)."
NOTE A,"The ""Siren"" cargo swing, cargo sling and ""Air Equipment"" rescues hoist to Aerospatiale 
 Drawing Nos. 3160-73.06.500 (cargo swing) 3160-73.06.000 (cargo sling) and 3160- 
 73.38.000 (rescue hoist) are approved for special-purpose operation in accordance with 
 limitations contained in the Helicopter Flight Manual."
"II. Model SA.316B Alouette III, approved 25 March 1971 
 (SA.316B may be obtained by conversion of SE.3160 in accordance with NOTE B)",
Engine,One - Turbomeca Artouste III B.
Fuel and Engine Oil,See data pertinent to all models.
Engine Limits,"Maximum speed: 33,500 r.p.m. true held constant by governor within 
 + 200 r.p.m. (transient variations of + 1000 r.p.m. are permissible). 
 ) 
 Rating takeoff: 858 hp - 33,500 r.p.m. (5 min.) 
 ) at sea level 
 (limited to 562 hp by engine gear box) 
 ) standard 
 ) conditions of 
 Rating maximum continuous: 690 hp - 33,500 r.p.m. 
 ) 59° F., 29.92 in.Hg 
 (limited to 542 hp by engine gear box) 
 Maximum tailpipe temperature 
 Takeoff power (5 min.) 
 : 550°C 
 Maximum continuous power 
 : 500°C"
Transmission Limits,"Maximum takeoff power 
 : 592 hp 
 Maximum continuous power 
 : 444 hp"
Helicopter Limits,"Maximum takeoff power 
 : 562 hp 
 Maximum continuous power 
 : 444 hp"
Rotor Limits,"Maximum speed 
 : 420 r.p.m. 
 Minimum speed 
 : 270 r.p.m. 
 Constant speed, power-on flight 
 : 353.2 r.p.m."
Airspeed Limits,"For CG location between (109.45) and (121.25): 113 knots 
 For CG location between (121.25) and (124.0): 103 knots 
 See Helicopter Flight Manual for variation of VNE with weight and altitude."
CG Range,"Longitudinal 
 (109.45) to (121.25) 
 (121.25) to (124.0) with airspeed restriction per ""Airspeed Limits"" 
 above. 
 Lateral 
 LH limit (5.51) 
 RH limit (4.72)"
Maximum Weight,4850 lb.
Number of Seats,"7 - Pilot and two front passengers (54.55), plus four rear passengers (86.45)."
Maximum Baggage,See Helicopter Flight Manual.
Fuel Capacity,"149 U.S. Gal. (123.2) - Usable 146 U.S. Gal. 
 Total tank capacity: 157 U.S. Gal. 
 (See NOTE 1 for data in unusable fuel)."
Oil Capacity,"Total capacity 2.6 U.S. Gal. at 143. 
 (See NOTE 1 for data on undrainable oil)."
NOTE A,"The ""Siren"" cargo swing, cargo sling and ""Air Equipment"" rescue hoist to Aerospatiale 
 Drawing Nos. 3160-73.06.500 (cargo swing) 3160-73.06.000 (cargo sling) and 3160- 
 73.38.000 (rescue hoist) are approved for special-purpose operation in accordance with 
 limitations contained in the Helicopter Flight Manual."
NOTE B,"To convert the Model SE.3160 Alouette III to the Model SA.316B Alouette III the 
 following assemblies, or those which bear a higher group number or dot number, must be 
 installed. 
 (See SGAC-approved Alouette Service Bulletin 01.20). 
 - Blade spacing cables reinforced 
 P/N 3160S.14.60.000 
 - Main landing gear reinforced 
 P/N 3160S.42.10.000.1 
 - Body structure reinforced 
 P/N 3160S.22.11.000.1 
 - Improvement of tail boom 
 P/N 3160S.23.11.000.9 
 service life 
 - Instruction placards 
 (See NOTE 2) 
 - Main gear box 
 P/N 3160S.62.00.000.13 or 
 P/N 3160S.62.00.000.10 to 12 
 embodying modification 
 AM.1212 in addition (See log card) 
 - Main rotor shaft 
 P/N 3160S.68.10.000.1 
 - Main rotor head 
 P/N 3160S.12.20.000.3 
 - Freewheel 
 P/N 3160S.60.10.000.1 
 - Tube and universal joint assy 
 P/N 3160S.67.11.000 
 - Tail rotor gear box 
 P/N 3160S.66.10.000.3 
 - Tail rotor head 
 P/N 3160S.33.30.000.6 
 - Main rotor blades 
 P/N 3160S.11.10.000.16 to 31 
 .42 to 51 
 .62 to 71 
 - Tail rotor blades 
 P/N 3160S.34.10.000.10"
"III. - Model SA.315B Alouette III, approved 25 February 1972",
Engine,One - Turbomeca Artouste III B.
Fuel and Engine Oil,See data pertinent to all models.
Engine Limits,"Maximum speed: 33,500 r.p.m. true held constant by governor within 
 + 200 r.p.m. (transient variations of + 1000 r.p.m. are permissible). 
 ) 
 Rating takeoff: 858 hp - 33,500 r.p.m. (5 min.) 
 ) at sea level 
 (limited to 562 hp by engine gear box) 
 ) standard 
 ) conditions of 
 Rating maximum continuous: 690 hp - 33,500 r.p.m. 
 ) 59° F., 29.92 in.Hg 
 (limited to 542 hp by engine gear box) 
 Maximum tailpipe temperature 
 Takeoff power (5 min.) 
 : 550°C 
 Maximum continuous power 
 : 500°C"
Transmission Limits,"Maximum takeoff power 
 : 592 hp 
 Maximum continuous power 
 : 494 hp"
Helicopter Limits,"Maximum takeoff power 
 : 562 hp 
 Maximum continuous power 
 : 494 hp"
Rotor Limits,"Maximum speed 
 : 420 r.p.m. 
 Minimum speed 
 : 270 r.p.m. 
 Constant speed, power-on flight 
 : 353.2 r.p.m."
Airspeed Limits,"For CG location between (108.6) and (118.1): 113 knots 
 For CG location between (118.1) and (124.0): 108 knots 
 See Helicopter Flight Manual for variation of VNE with weight and altitude."
CG Range,"Longitudinal 
 (108.6) to (118.1) 
 (118.1) to (124.0) with airspeed restriction per 
 ""Airspeed Limits"" above and for weights below 3860 lb. 
 Lateral 
 LH limit (5.3) 
 RH limit (1.7)"
Maximum Weight,"4300 lb. with internal load. 
 5070 lb. with external load. 
 Maximum permissible weight on sling: 2200 lb."
