Keyterm,Info
"H1PC 
 Revision 6 
 Kawasaki 
 KV107-II 
 KV107-IIA 
 March 15, 1979",
Holder of Type Certificate,"Kawasaki Heavy Industries, Limited 
 2-Chome, Higashi-Kawasaki-cho, Ikuta-ku 
 Kobe-city, Japan"
"I - Model KV107-II (Transport Helicopter - Categories A and B), Approved November 5, 1965",
Engines,"2 General Electric CT58-110-1 or 2 Ishikawajima-Harima Heavy Industries, Ltd. 
 CT58-IHI-110-1 (with Hamilton Standard Fuel Control JFC-26)"
Fuel,"Aviation Kerosene JP4 or JP5 (General Electric Co. Jet Fuel Spec. No. D50TF2 or 
 subsequent revisions thereto.)"
Engine limits,"Sea level static 
 Shaft 
 Power 
 Gas 
 Power Turbine 
 HP 
 Turbine R.P.M. 
 Gen. R.P.M. 
 Inlet Temp.(T5)"
Takeoff 5 min,"1250 
 21275(109.1% Nf) 
 26300(100.3% Ng) 
 1250°F(677°C)"
One engine inoperative,"1250 
 21275(109.1% Nf) 
 26300(100.3% Ng) 
 1250°F(677°C)"
One engine inoperative,"1350 
 21275(109.1% Nf) 
 26800(102.2% Ng) 
 1300°F(704°C) 
 (2 1/2 min.) See NOTE 6 
 1050 
 21275(109.1% Nf) 
 26300(100.3% Ng) 
 1175°F(635°C)"
Maximum transient 2 sec,1545°F(840°C)
Starting 4 sec,1545°F(840°C)
Allowable maximum overspeed,"23100(118.4% Nf) 
 27600(105.3% Ng)"
Rotor Limits,"Power on: 
 Maximum 275 r.p.m. 
 Power off: Maximum 299 r.p.m. 
 Minimum 233 r.p.m. 
 Minimum 233 r.p.m."
Airspeed limits,"Never exceed 
 168 m.p.h. (146 knots) CAS 
 170 m.p.h. (148 knots) IAS zero instrument error 
 Variation of Vne with rotor r.p.m. and altitude is in the Rotorcraft Flight Manual."
1,"2 
 3 
 4"
6,"6 
 6 
 6"
CG range,"Category A: 
 (+267.5) to (+307.5) at 17900 lb. 
 (+267.5) to (317.0) at 16500 lb. or less 
 Category B: 
 (+271.0) to (+300.0) at 19000 lb. 
 (+267.5) to (+306.1) at 18100 lb. 
 (+267.5) to (+317.0) at 16500 lb. or less 
 Straight line variation between points given."
CG range,None
Maximum weight,"Category A: 17900 lb. 
 Category B: 19000 lb."
Minimum crew,"2 (Pilot, Copilot)"
Maximum passengers,"39, limited by emergency exit requirements"
Maximum baggage,Baggage bin 1500 lb. (+440). See NOTE 3 for cargo.
Fuel capacity,350 gal. (+348.4)
Oil capacity,"4.2 gal. (+431.3) See NOTE 1 for data on system fuel and oil 
 For rigging information, refer to Maintenance Manual"
Serial Nos eligible,"The Government of Japan Certificate of Airworthiness for Export endorsed as noted 
 under ""Import Requirements"" must be submitted for each individual aircraft for which 
 application for certification is made. Serial Nos. 4001, 4003, 4005, 4011, 4012 and 4014 
 are eligible for airworthiness certification."
"II - Model KV107-IIA (Transport Helicopter - Categories A and B) Approved January 15, 1969",
Engines,2 General Electric CT58-140-1 (with Hamilton Standard Fuel Control JFC-26)
Fuel,"Aviation Kerosene, JP4 or JP5 (General Electric Co. Jet Fuel Spec. No. D50TF2 or 
 subsequent revisions thereto.)"
Engine limits,"Sea level static 
 Shaft 
 Power 
 Gas 
 Power Turbine 
 HP 
 Turbine R.P.M. 
 Gen. R.P.M. 
 Inlet Temp. (T5)"
Takeoff 5 min,"1400 
 21275(109.1% Nf) 
 26300(100.3% Ng) 
 1285°F(696°C)"
One engine inoperative,"1400 
 21275(109.1% Nf) 
 26300(100.3% Ng) 
 1285°F(696°C)"
One engine inoperative,"1500 
 21275(109.1% Nf) 
 26800(102.2% Ng) 
 1330°F(721°C) 
 (2 1/2 min.) See NOTE 6 
 1250 
 21275(109.1% Nf) 
 26300(100.3% Ng) 
 1220°F(660°C)"
Maximum transient 2 sec,1545°F(840°C)
Starting 2 sec,1740°F(949°C)
Allowable maximum overspeed,"23100(118.4% Nf) 
 27600(105.3% Ng)"
Rotor limits,"Power on: 
 Maximum 275 r.p.m. 
 Power off: 
 Maximum 299 r.p.m. 
 Minimum 233 r.p.m. 
 Minimum 233 r.p.m."
Airspeed limits,"Never exceed 
 168 m.p.h. (146 knots) CAS 
 170 m.p.h. (148 knots) IAS zero instrument error 
 Variation of Vne with rotor r.p.m. and altitude is in the Rotorcraft Flight Manual."
