Keyterm,Info
"H1RM 
 Rev. 7 
 SAN JOAQUIN HELICOPTERS 
 UH-1B 
 September 18, 2003",
Type Certificate Holder,"San Joaquin Helicopters 
 1407 South Lexington Street 
 Delano, CA 93215"
Type Certificate Holder Record,"Hawkins & Powers Aviation transferred ownership of TC HIRM to San 
 Joaquin Helicopters on June 29, 2001"
"I. 
 Model UH-1B, (Restricted Category Military Surplus Helicopter) approved July 19, 1979",
Engines,Honeywell T-53-L-11
Fuel,"Mil-T-5624, Grade JP-4, alternate fuel MIL-T-5624, Grade JP-5 
 (See note 14 for substitute and emergency fuels)"
Engine Limits,"Exhaust Gas 
 Torque Pressure 
 Output Shaft 
 Temperatures 
 P.S.I 
 (RPM) 
 (deg. C.) 
 . 
 Takeoff (5 min.) 
 47.5 (1100 HP) 
 6600 
 610 
 Max Cont. 
 39.0 (900 HP) 
 6400 
 590 
 See Notes 11, 12, and 13"
Rotor Limits,"Power Off 
 Power On 
 Maximum 339 RPM 
 Maximum 324 RPM 
 (Minimum 295 RPM 
 (Minimum 294 RPM"
Airspeed Limits,"Never exceed 120 knots (138 m.p.h.) up to and including 6600 lbs. G.W. sea 
 level to 2,000 ft. 
 Never exceed 112 knots (129 m.p.h.) at 7200 lbs. G.W. sea level to 2,000 ft. 
 (See Note 2 for specific operating airspeed limitations)"
CG Range,"Longitudinal C.G. limits 
 (+125.0) to (+136.0) to 6600 lbs. and above 
 (+125.0) to (+136.4) at 6500 lbs. 
 (+125.0) to (+137.3) at 6250 lbs. 
 (125.0) to (+138.0) at 6000 lbs. or less"
Page No,"1 
 2 
 3 
 4 
 5"
Rev No,"7 
 7 
 7 
 7 
 7"
Empty Weight CG Range,(125.0) to (+138.0)
Datum,"Station 0, datum is 7.6 inches aft of the most forward point of the fuselage nose 
 section."
Leveling Means,Plumb line from top of left cabin door frame
Maximum Weight,8500 lbs.
Minimum Crew,1 (pilot)
Number of Seats,See Note 16
Maximum Baggage,200 lbs. (150lbs./sq. ft. deck loading maximum)
Fuel Capacity,"163 U.S. Gals if Crashworthy Fuel System is installed 
 168 U.S. Gals if Crashworthy Fuel System not installed."
Oil Capacity,3.25 gal (+157)
Rotor Blade and,For rigging information refer to TM 55-1520-219-20
Approved Serial Numbers,"U.S. Military Surplus UH-1B Helicopters as identified in FAA approved San 
 Joaquin Helicopters Report SJHUH-01-005 dated May 15, 2001, or later FAA 
 approved revision. A current copy is on file at the Los Angeles ACO."
