Keyterm,Info
TCDS NUMBER H5NE,
"REVISION 16 
 DATE: October 29, 2021",
"SIKORSKY AIRCRAFT 
 MODEL: S-70A, S-70M",
Type Certificate Holder,"Sikorsky Aircraft Corporation 
 6900 Main Street 
 Stratford, CT 06615-9129"
MODEL NUMBER,"S-70A (Restricted Category) Approved: 10/22/88 
 (Derivative aircraft of U.S. Army Models UH-60A and UH-60L)"
ENGINES,"2 General Electric T700-GE-701A (See Notes 5, 13 and 14 for optional engines.)"
FUEL,"JP-4, JP-5, JP-8, Jet A, Jet A1, or Jet B"
ENGINE LIMITS,"SHAFT HP 
 POWER TURBINE 
 GAS GEN 
 TURBINE GAS 
 (S.L. STD) 
 RPM/% 
 RPM/% 
 TEMP.oC"
Contingency Rated,"1,723 
 20,900/100 
 44,700/102 
 917"
Maximum Rating,"1,715 
 20,900/100 
 44,700/102 
 882"
Intermediate Rated,"1,694 
 20,900/100 
 44,700/102 
 867"
Maximum,"1,510 
 20,900/100 
 44,700/102 
 804"
TRANSMISSION LIMITS,"TORQUE 
 120% Single Engine 
 106% Dual Engine 
 (no time limits)"
ROTOR LIMITS,"POWER OFF: 
 Maximum 110% 
 Minimum 90% 
 POWER ON: 
 Maximum 107% 
 Minimum 91% 
 AIRSPEED LIMITS: Vne Power on: 193 knots IAS, (221 MPH). See appropriate Rotorcraft Flight Manual 
 (Operators Manual) for variation of Vne with gross weight, pressure altitude and 
 temperature. 
 I I I I I I I I I I I I I I"
PAGE,"1 
 2 
 3 
 4 
 5 
 6 
 7 8. 
 9 
 10 11 12 13"
REV,16 15 13 13 15 16 13 13 13 13 13 13 16
CG RANGE,"347.7 
 360.2 
 22,000 
 A 
 I 
 R 
 C 
 R 
 A 
 F 
 T 
 15,900 
 W 
 E 
 345.5 
 I 
 13,700 
 G 
 13,400 
 H 
 T 
 13,050 
 L 
 366.3 
 B 
 S 
 11,500 
 342.6 
 358.1 
 INCHES AFT OF DATUM"
DATUM,341.2 inches forward of the main rotor centroid.
MAXIMUM WEIGHT,"22,000 lbs."
MINIMUM CREW,"2 (pilot, copilot)"
NUMBER OF SEATS,a. 2 at Sta. 227.1; 2 at Sta. 264.6; 1 at Sta. 280.4; 2 at Sta. 282.5; 2 at Sta.
No Passengers Permitted,"300.5; 1 at Sta. 301.4; 4 at Sta. 334.3; 4 at Sta. 355.3; 4 at Sta. 387.2. 
 b. OPTIONAL SEATING: 2 at Sta. 227.1; 1 at Sta. 262.0; 3 at Sta. 282.0; 3 at 
 Sta. 320.7; 4 at Sta. 339.8; 4 at Sta.387.2"
