Keyterm,Info
"H7SO 
 Revision 14 
 Overseas Aircraft Support, Inc. 
 UH-1B, UH-1E, UH-1H, UH-1L, TH-1L 
 April 20, 2021",
Type Certificate Holder,"Overseas Aircraft Support, Inc. Mailing Address Only 
 3151 E. Airport Loop, Road, Hangar #1 P. O. Box 898 
 Show Low, Arizona 85929, Arizona 85901 Lakeside, Arizona 85929 
 Type Certificate Holder Record: 
 Change of Address April 20, 2021 
 JTBAM, Inc. Transferred to Overseas Aircraft Support, Inc. July 1, 2019 
 OAS Parts LLC Transferred TC H7SO to JTBAM, Inc. on February 22, 2018 
 Overseas Aircraft Support, Inc. Transferred TC H7SO to OAS Parts LLC March 
 27, 2013 
 Williams Helicopter Corporation Transferred TC H7SO to Overseas Aircraft 
 Support on November 7, 2007 
 Scott Paper Company Transferred TC H7SO to Williams Helicopter 
 Corporation on June 15, 1994 
 Offshores Construction Transferred TC H7SO to Scott Paper Company on July 
 12, 1990"
"I – Model UH-1B, (Restricted Category Rotorcraft) Approved April 24, 1998",
Engine,1 – Lycoming T53-L-11D (See Note 10 for alternate engines.)
Fuel,"ASTM-D1655 (Jet A, Jet A-1, Jet B) (See Note 17 for alternate and emergency 
 fuels)"
Engine Limits,"Torque 
 Output 
 Exhaust 
 Gas Gen 
 Pressure 
 Horsepower 
 Output 
 Gas Temp 
 Speed 
 (PSI) 
 (HP) 
 (RPM) 
 (C°) 
 N1(%) 
 Takeoff (5 min.) 
 47.5 
 1100 
 6600 
 610 
 100.5 
 Max. Continuous 
 39.0 
 900 
 6600 
 590 
 100.5 
 See Notes 13, 14 and 15. Refer to The Department of the Army Technical 
 Manual No. TM 55-1520-219-10 “Operator’s Manual, Army Model UH-1B 
 Helicopters” for additional limitation data."
Rotor Limits,"Power Off 
 Power On 
 Maximum R.P.M. 
 339 
 324 
 Minimum R.P.M. 
 295 
 294 
 Continuous operation 294 to 324 RPM"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14 
 15 
 16"
Rev No,"14 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 10 
 11 
 10"
Airspeed Limits,"VNE (never exceed speed) 120 knots up to and including 6600 lbs. Gross Weight, 
 sea level to 2000 feet. 
 VNE (never exceed speed) 112 knots up to 7200 lbs. Gross Weight, sea level to 
 2000 feet. Refer to TM55-1520-219-10 for additional limitation data. See Note 2 
 for specific operation airspeed limitation placards."
Other Limits,"Flight hours are counted from takeoff to landing. 
 The helicopters approved under this type certificate are done so under the 
 concept of limited exposure associated with escape from inadvertent ice 
 encounters, and are prohibited against flight into known icing. The helicopters 
 must be re-evaluated if certification to the General Ice Protection Airworthiness 
 Regulations is requested."
Center of Gravity,Longitudinal C.G. Limits
CG Range,"(+125.0) to (+136.0) to 6600 lbs. and above 
 (+125.0) to (+136.4) to 6500 lbs. 
 (+125.0) to (+137.3) to 6250 lbs. 
 (+125.0) to (+138.0) to 6000 lbs. or less 
 Straight line variation between points given. 
 Lateral C.G. Limits plus or minus 4.7 inches from left centerline of fuselage."
Empty Weight,(+125.0) to (+138.0)
Datum,"Station 0, datum is 7.6 inches aft of the most forward point of the fuselage nose 
 section."
Leveling Means,"Plumb line from top of left main door frame to index plate on cabin floor. See 
 Note 1."
Maximum Weight,"8,500 lbs."
Minimum Crew,1 (Pilot) at (+46.7)
No of Seats,See Note 19. (Refer to TM55-1520-219-10 for additional data.)
Maximum Cargo,"200 lbs. (150 lbs./sq. ft. maximum deck load.) Refer to TM55-1520-219-10 for 
 additional data."
Fuel Capacity,"168 U.S. gallons (+136). Useable fuel 160.5 U.S. gallons. Crashworthy fuel 
 system not installed. 
 163 U.S. gallons (+136). Crashworthy fuel system installed."
Oil Capacity,3.25 gallons (+157.0)
Rotor Blade and,"For rigging information, refer to U.S. Army TM 55-1520-219-20"
Control Movements,(Maintenance Manual).
"II – Model UH-1E, (Restricted Category Rotorcraft) Approved May 12, 1989",
Engine,1 – Lycoming T53-L-11D (See Note 10 for alternate engines)
Fuel,"ASTM-D1655 (Jet A, Jet A-1, Jet B) (See Note 17 for alternate and emergency 
 fuels)"
Engine Limits,"Torque 
 Output 
 Exhaust 
 Gas Gen 
 Pressure 
 Horsepower 
 Output 
 Gas Temp 
 Speed 
 (PSI) 
 (HP) 
 (RPM) 
 (C°) 
 N1(%) 
 Max. Continuous 
 46 
 900 
 6600 
 620 
 101.5 
 30 Min. Operation 
 48 
 1000 
 6600 
 620-640 
 101.5 
 Max. Allowable 
 50 
 1100 
 6600 
 640 
 101.5 
 See Notes 13, 14 and 15. Refer to The Department of the Navy NAVAIR 01- 
 110HCA-1, “NATOPS Flight Manual Navy Models UH-1E, UH-1L, TH-1L & 
 HH-1K Helicopters” dated 15 December 1970 for additional limitation data."
Rotor Limits,"Power Off 
 Power On 
 Maximum RPM 
 339 
 324 
 Minimum RPM 
 295 
 294 
 Continuous Operation 
 294-324 RPM"
Airspeed Limits,"VNE (never exceed speed) 140 knots up to and including 6600 lb. G.W. Sea 
 Level to 2000 ft. 
 Sideward and rearward flight airspeed limitation 30 knots."
Other Limits,"Flight hours are counted from takeoff to landing. 
 The helicopters approved under this type certificate are done so under the 
 concept of limited exposure associated with escape from inadvertent ice 
 encounters, and are prohibited against flight into known icing. The helicopters 
 must be re-evaluated if certification to the General Ice Protection Airworthiness 
 Regulations is requested"
Center of Gravity,Longitudinal C.G. Limits
CG Range,"(+125.0) to (+138.0) at 7000 lbs and below. 
 (+125.0) to (+137.5) at 7250 lbs. 
 (+125.0) to (+136.7) at 7500 lbs. 
 (+125.0) to (+136.0) at 7750 lbs. 
 (+125.0) to (+135.5) at 8000 lbs. 
 (+125.0) to (+135.0) at 8250 lbs. 
 (+125.5) to (+134.4) at 8500 lbs. 
 (+125.5) to (+133.8) at 8750 lbs. 
 (+125.5) to (+133.2) at 9000 lbs. 
 (+125.5) to (+132.6) at 9250 lbs. 
 (+125.5) to (+132.0) at 9500 lbs. 
 Straight line variation between points given. 
 Lateral C.G. Limits plus or minus 7.5 inches from centerline of aircraft."
Empty Weight,(+125.0) to (+138.0)
Datum,"Station 0, datum is 7.6 inches aft of the most forward point of the fuselage nose 
 section."
Leveling Means,Plumb line from top of left main door frame to index plate on cabin floor.
Maximum Weight,"9,500 lbs."
Minimum Crew,1 (Pilot) at (+46.7)
No of Seats,"See Note 19. (See NAVAIR 01-110HCA-1, “NATOPS Flight Manual)."
Maximum Cargo,"300 lbs. per sq. ft. of cargo area. (Refer to The Department of the Navy 
 NAVAIR 01-110HCA-1, “NATOPS Flight Manual Navy Models UH-1E, UH- 
 1L, TH-1L & HH-1K Helicopters” dated 15 December 1970 for additional 
 limitation data.)"
Fuel Capacity,242 U.S. gallons
Oil Capacity,3.25 U.S. gallons
Rotor Blade and,"For rigging information, refer to NAVAIR 01-110HCA-2 Maintenance Manual"
"III – Model UH-1H, (Restricted Category Rotorcraft) Approved September 20, 1996",
Engine,1 – Lycoming T53-L-13B
Fuel,"ASTM-D1655 (Jet A, Jet A-1, Jet B) (See Note 17 for alternate and emergency 
 fuels)"
Engine Limits,"Torque 
 Output 
 Exhaust 
 Gas Gen 
 Pressure 
 Horsepower 
 Output 
 Gas Temp 
 Speed 
 (PSI) 
 (HP) 
 (RPM) 
 (C°) 
 N1(%) 
 -Takeoff (30 min.) 
 50.0 
 1100 
 6600 
 610-625 
 101.5 
 Max Continuous 
 50.0 
 1100 
 6600 
 400-610 
 101.5 
 See Notes 13, 14 and 15. Refer to the Department of the Army Technical 
 Manual No. TM 55-1520-10-10, “Operator’s Manual, Army Model UH-1H/V 
 Helicopters” dated 23 June 2005, Change 20 for additional limitation data."
Rotor Limits,"Power Off 
 Power On 
 Maximum R.P.M. 
 339 
 324 
 Minimum R.P.M. 
 294 
 294 
 Continuous Operation 294-324 RPM."
Airspeed Limits,"Roof-mounted pitot static: 
 VNE (never exceed speed) 124 knots up to 7500 lbs. Gross Weight, sea level to 
 2000 feet. 
 VNE (never exceed 113 knots up to 9500 lbs. Gross weight, sea level to 2000 
 feet. Refer to Department of the Army Technical Manual No. TM55-1520-210- 
 10, Chapter 5, Section V, for specific operating airspeed limitations. See Note 2 
 for specific operation airspeed limitation placards. 
 Nose-mounted pitot static: 
 VNE (never exceed speed) 112 knots up to 7500 lbs. Gross Weight, sea level to 
 2000 feet. 
 VNE (never exceed speed) 103 knots up to 9500 lbs. Gross Weight, sea level to 
 2000 feet. Refer to Department of the Army Technical Manual No. TM55-1520- 
 210-10, Chapter 5, Section V, for specific operating airspeed limitations. See 
 Note 2 for specific operation airspeed limitation placards."
Other Limits,None
Center of Gravity,Longitudinal C.G.
C G Range,"(+130.0) to (+144.0) at 7000 lbs. 
 (+130.0) to (+144.0) at 8600 lbs. 
 (+130.0) to (+134.0) at 9500 lbs. 
 (+134.0) to (+143.0) at 9500 lbs. 
 Straight line variation between points given. 
 Lateral C.G. Limits plus or minus 7.5 inches"
Empty Weight,(+130.0) to (+144.0)
