Keyterm,Info
"HR1SO 
 Revision 11 
 Orlando Helicopter 
 Airways, Inc. 
 HRS-1/CH-19 H-19D 
 H-19A H-19G 
 YH-19A UH-19F 
 UH-19C CH-19E 
 HRS-3/H-19B UH-19D 
 August 13, 2003",
Type Certificate Holder,"Orlando Helicopter Airways, Inc. 
 1380 Flightline Blvd. 
 Deland Airport 
 Deland, FL 32723"
"I. - Model HRS-1/CH-19 (Restricted Category Military Surplus) approved April 8, 1966 
 II. - Model H-19A, YH-19A, UH-19C (Restricted Category Military Surplus) approved November 3, 1970",
Engine,"Pratt and Whitney R-1340-57 
 (See Note 8 regarding helicopter, engines and appliances)"
Fuel,91/96 minimum grade aviation gasoline (See note 11 for alternate fuels)
Engine Limits,"Maximum Continuous 
 (Sea level) 35.0 in. Hg., 2250 rpm (550 hp) 
 (Straight line manifold pressure variation with altitude to 8000 ft.) 
 33.0 in. Hg. 2200 rpm (550 hp) 
 Take-off (one minute) 36.5 in. Hg., 2250 rpm (600 hp)"
Rotor Speed Limits,"Maximum 245 rpm 
 Normal Operating Range 185 rpm to 220 rpm, Minimum 170 rpm"
Airspeed limits,Vne (never exceed) 95 knots (See NOTE 2 for required placard)
Other Limits,"T.O. AN 01-230HJA-1 and Orlando Helicopter Airways FAA approved Flight Manual 
 Supplement dated April 8, 1966. 
 The helicopters approved under this type certificate are done so under the concept of 
 limited exposure associated with escape from inadvertent ice encounters, and are 
 prohibited against flight into known icing. The helicopters must be re-evaluated if 
 certification to the General Ice protection Airworthiness Regulations is requested."
Page No,"1 
 2 
 3 
 4 
 5 
 6"
Rev,"11 
 11 
 11 
 11 
 11 
 11"
CG Range,(125.0) to (136.0)
Empty Weight,"Refer to Operators Manual USAF Model HRS-1/CH-19, H-19A, YH-19A, UH-19C"
CG Range,Helicopters.
Datum,130.6 in. forward of center of main rotor hub.
Leveling Means,Plumb line from top of cabin doorframe to index plate on cabin floor. (See Note 1.)
Maximum Weight,7200 lbs.
Minimum Crew,1 (Pilot)
Number of Seats,See Note 11
Fuel Capacity,"100 gallons forward tank, 72 gallons rear tank."
Oil Capacity,9.4 gallons
Rotor Blade and,"For rigging information, refer to Maintenance Manual USAF Model HRS-1/CH-19,"
Control Movement,"H-19A, YH-19A, UH-19C Helicopters."
Serial No’s Approved,"Model HRS-1/CH-19, H-19A, YH-19A, UH-19C helicopters that have been approved are 
 identified in FAA approved Orlando Helicopter Airways, Inc., Eligible Serial Number 
 Report # 01-3551, dated October 21, 2001 or later FAA approved revision. Current copy 
 is available at the Atlanta Aircraft Certification Office, Atlanta, Georgia."
"III. - Model HRS-3/H-19B, H-19D, H-19G, (Restricted Category Military Surplus) approved January 23, 1967 
 IV. - Model UH-19F, CH-19E (Restricted Category Military Surplus) approved November 3, 1970 
 V. - Model UH-19D (Restricted Category Military Surplus) approved October 17, 1978",
Engine,"Wright R 1300-3 series 
 (See Note 8 regarding helicopter, engines and appliances)"
Fuel,91/96 minimum grade aviation gasoline (See note 11 for alternate fuels)
Engine Limits,"Maximum Continuous (all operations) 
 (Sea level) 39.5 in. Hg., 2400 rpm (700 hp) 
 (Straight line manifold pressure variation with altitude to 5000 ft.) 
 38.0 in. Hg. 2400 rpm (700 hp)"
Rotor Speed Limits,"Maximum 245 rpm 
 Normal Operating Range 185 rpm to 220 rpm, Minimum 170 rpm"
Airspeed Limits,Vne (never exceed) 95 knots (See Note 2 for required placard)
Other Limits,"T.O. AN 01-230HJA-1 for HRS-3 or T.O. 1H-19(H)B-1for H-19B/ -19D/-19G and 
 Orlando Helicopter Airways FAA approved Flight Manual Supplement dated April 8, 
 1966. 
 The helicopters approved under this type certificate are done so under the concept of 
 limited exposure associated with escape from inadvertent ice encounters, and are 
 prohibited against flight into known icing. The helicopters must be re-evaluated if 
 certification to the General Ice protection Airworthiness Regulations is requested."
CG Range,(125.0) to (136.0)
Empty Weight,"Refer to Operators Manual USAF Model HRS-1/CH-19, H-19A, YH-19A, UH-19C"
CG Range,Helicopters.
Datum,130.6 in. forward of center of main rotor hub.
Leveling Means,Plumb line from top of cabin doorframe to index plate on cabin floor. (See Note 1.)
Maximum Weight,7900 lbs.
Minimum Crew,1 (Pilot)
No of Seats,See Note 11
Fuel Capacity,"100 gallons forward tank, 72 gallons rear tank."
Oil Capacity,9.4 gallons
Rotor Blade and,"For rigging information, refer to Maintenance Manual USAF Model HRS-1/CH-19,"
Control Movement,"H-19A, YH-19A, UH-19C Helicopters."
Serial No’s Approved,"Model HRS-3/H-19B, H-19D, H-19G, UH-19F, CH-19E, UH-19D helicopters that have 
 been approved are identified in FAA approved Orlando Helicopter Airways, Inc., Eligible 
 Serial Number Report # 01-3551, dated October 21, 2001 or later FAA approved 
 revision. Current copy is available at the Atlanta Aircraft Certification Office, Atlanta, 
 Georgia."
Data Pertinent to All Models,
Certification Basis,"FAR 21.25(a)(2), effective February 1, 1965, including Amendments 21-1 through 21-71 
 for the special purpose of: 
 (1) Agriculture Operations under FAR 21.25(b)(1) 
 Note: In accordance with FAR 36.1(a)(4), compliance with the noise requirements 
 was not shown. Therefore, aircraft certificated under this type certificate are only 
 eligible for agricultural operations excepted by FAR 36.1(a)(4) and defined under 
 FAR 137.3 
 (2) Forest and Wildlife Conservation Operations under FAR 21.25(b)(2). 
 Note: In accordance with FAR 36.1(a)(4), compliance with the noise requirements 
 was not shown. Therefore, aircraft certificated under this type certificate are only 
 eligible for dispensing fire fighting materials excepted by FAR 36.1(a)(4) and 
 defined under FAR 137.3 
 (3) External Load Operations. 
 Note: In accordance with FAR 36.1(a)(4), compliance with the noise requirements 
 was not shown. Therefore, aircraft certificated under this type certificate are only 
 eligible for external load operations excepted by FAR 36.1(a)(4) and defined under 
 FAR 133.1(a). 
 Any alteration to the helicopter for Special Purposes not identified above require 
 further FAA approval and in addition, may require additional noise and/or flight 
 testing. 
 General Note: Any subsequent modifications to the helicopters type certified under this 
 Type Certificate are to have the certification basis for that modification established under 
 14CFR 21.101 published June 7, 2000 which became effective June 10, 2003. Otherwise 
 non-significant modifications are to meet the requirements of CAR 6, Amendment 6-1 
 thru 6-5 dated December 20, 1956, normal category, and 14 CFR 27.1529, Instructions 
 for continued airworthiness, Amendment 18, effective September 11, 1980."
Date of Application,"April 5, 1966, Amended: April 8, 1966, January 23, 1967, November 3, 1970, October 
 17, 1978."
Production Basis,"None. No helicopters may be produced under this approval. (See Note 4) Prior to adding 
 serial numbers to this Type Certificate, each candidate helicopter must undergo a 
 conformity inspection. The conformity inspection will be conducted in accordance with 
 a Type Inspection Authorization, Part 1, or request for conformity that will include as a 
 minimum, the inspections contained in the FAA Rotorcraft Directorate Restricted 
 Category Conformity document dated September 25, 2001 or later FAA approved 
 revisions."
Equipment,"The basic required equipment as prescribed in the applicable airworthiness regulations 
 (see Certification Basis) must be installed in or on each helicopter for certification. In 
 addition, equipment necessary for the particular special purpose must be installed."
Note 1,"A current weight and balance report including a list of equipment included in the certified 
 empty weight, and loading instructions, when necessary, must be in each type helicopter 
 at time of original airworthiness certification and at all times thereafter."
Note 2,"The following placards must be prominently displayed in the cabin in clear view of the 
 pilot: 
 Placard No. 1 
 THIS ROTORCRAFT MUST BE OPERATED IN ACCORDANCE WITH THE 
 RESTRICTED CATEGORY OPERATING LIMITATIONS OF FAR 91.313. 
 Placard No. 2 
 AIRSPEED LIMITS: NEVER EXCEED SPEED, Vne 95 KIAS WHEN SPRAY 
 BOOM INSTALLED, 50 KIAS EXTERNAL LOAD IN CARGO SLING, 40 KIAS. 
 Placard No. 3 
 AGRICULTURAL OPERATIONS MUST BE CONDUCTED IN ACCORDANCE 
 WITH FAR PART 137. 
 Placard No. 4 
 INSTRUMENT FLIGHT PROHIBITED 
 Placard No. 5 
 See Note 14 below. 
 Placard No. 6 
 See Note 15 below."
Note 3,"This model helicopter must be serviced, maintained, inspected, repaired and overhauled 
 in accordance with the following technical manuals: AN 01-230HJA, AN 02A-10DD-2, 
 T.O. 2R-R1300-12, AN 01-230HGA-4, AN 01-230HG-3 and T.O. 1H-19(H)A-3."
