Keyterm,Info
"R00003AC 
 Pickering Aviation, Inc.",
EH-60A,
"UH-60A 
 Revision: 1 
 02/11/2021",
TYPE CERTIFICATE TC,1811 Sussex Way
HOLDER,"Corinth, Texas 76210"
HOLDER RECORD,N/A
"I – MODEL NUMBER: EH-60A (Restricted Category Military Rotorcraft) Approved May 13, 2019",
ENGINES,"(2) General Electric T700-GE-700 Original 
 (2) General Electric T700-GE-701C Alternate 
 (2) General Electric T700-GE-701D/CC Alternate 
 *See NOTE 9 for alternate engine information."
FUEL,"Aviation Kerosene JP-4, JP-5, JP-8, Jet A, Jet A-1 or Jet B 
 *See NOTE 16 for alternate and emergency fuels. 
 POWER TURBINE 
 GAS GEN 
 POWER TURBINE 
 SHAFT HP"
ENGINE LIMITS T700GE700,"RPM 
 RPM 
 INLET (TGT)"
Military Power 30 min,"1,561 
 20,900 
 44,700 
 850º C 
 1,318 
 20,900 
 44,700 
 775º C 
 SHAFT 
 POWER TURBINE 
 GAS GEN 
 POWER TURBINE"
ENGINE LIMITS T700GE701C,"HP 
 RPM / % 
 RPM / % 
 INLET (TGT)"
Contingency Rated Power CRP,"1,940 
 20,900 / 100 
 44,700 / 102 
 903º C"
Maximum Rating 10 Min dual,"1,890 
 20,900 / 100 
 44,700 / 102 
 878º C"
Intermediate Rated Power IRP,"1,800 
 20,900 / 100 
 44,700 / 102 
 851º C"
30 min dual,"1,662 
 20,900 / 100 
 44,700 / 102 
 810º C"
Page No,"1 
 2 
 3 
 4 
 5 
 6 
 7"
Rev No,"1 
 1 
 1 
 1 
 1 
 1 
 1 
 SHAFT 
 POWER TURBINE 
 GAS GEN 
 POWER TURBINE"
ENGINE LIMITS T700GE701DCC,"HP 
 RPM / % 
 RPM / % 
 INLET (TGT)"
Contingency Rated Power CRP,"1,940 
 20,900 / 100 
 44,700 / 102 
 903º C"
Maximum Rating 10 Min dual,"1,890 
 20,900 / 100 
 44,700 / 102 
 878º C"
Intermediate Rated Power IRP,"1,800 
 20,900 / 100 
 44,700 / 102 
 851º C"
30 min dual,"1,662 
 20,900 / 100 
 44,700 / 102 
 810º C"
TRANSMISSION LIMITS,"TORQUE: 
 110% Single Engine (No Time Limit) 
 100% Dual Engine (No Time Limit)"
ROTOR LIMITS,"POWER OFF: 
 POWER ON: 
 Max. 265 RPM (110%) 
 Max. 258 RPM (107%) 
 Min. 217 RPM (90%) 
 Min. 232 RPM (96%)"
AIRSPEED LIMITS,"Vne POWER ON: 
 193 knots IAS, (221 MPH). 
 Refer to PA-1-1520-237-10, Operator’s Manual for the Restricted Category Aircraft Model 
 EH-60A, UH-60A Helicopter, Rev. 1, Dated May 15, 2020, or later FAA approved revisions, 
 for variations of Vne with gross weight, pressure altitude, and temperature. 
 Refer to PA-1-1520-237-10, Operator’s Manual for the Restricted Category Aircraft Model 
 EH-60A, UH-60A Helicopter, Rev. 1, Dated May 15, 2020, or later FAA approved revisions, 
 for additional limitation data."
EMPTY WEIGHT CG RANGE,None.
DATUM,341.2 inches forward of the main rotor centroid.
LEVELING MEANS,"Plumb bob in L/H cabin door frame to leveling plate on cabin floor or electronic leveling 
 means in accordance with PA-1-1520-237-23&P Rev. 0, Dated November 1, 2018 or later 
 FAA approved revisions."
MAXIMUM WEIGHT,"22,000 lbs. *See NOTE 15"
MINIMUM CREW,"2 (Pilot in Command and Second in Command) both located at aircraft station 227. 
 *See NOTE 14"
NUMBER OF SEATS,"OEM established locations: 2 at Sta. 227.1; 1 at Sta. 262.0; 3 at Sta. 282.0; 3 at Sta. 320.7; 4 
 at Sta. 339.8; 4 at Sta. 387.2. No Passengers permitted. *See NOTE 11"
MAX COMPARTMENT WEIGHT,"Compartment C 
 Compartment D 
 Compartment E 
 Sta. 247 to Sta. 288 
 Sta. 288 to Sta. 343 
 Sta. 343 to Sta. 398 
 6460 lbs. 
 8370 lbs. 
 8370 lbs."
FUEL CAPACITY,"361.5 gallons; 2 tanks (LH & RH interchangeable) 
 359.7 gallons; 2 tanks (LH & RH interchangeable) (with fuel boost pumps installed) 
 STA. 420.75"
OIL CAPACITY,7 quarts each engine at STA. 375.0
OTHER LIMITS,"Refer to PA-1-1520-237-10, Operator’s Manual for the Restricted Category Aircraft Model 
 EH-60A, UH-60A Helicopter Rev. 1 Dated, May 15, 2020, or later FAA approved revisions. 
 Reference the Note Section for additional limitations."
"II – MODEL NUMBER: UH-60A (Restricted Category Military Rotorcraft) Approved February 11, 2021",
ENGINES,"(2) General Electric T700-GE-700 Original 
 (2) General Electric T700-GE-701C Alternate 
 (2) General Electric T700-GE-701D/CC Alternate 
 *See NOTE 9 for alternate engine information."
FUEL,"Aviation Kerosene JP-4, JP-5, JP-8, Jet A, Jet A-1 or Jet B 
 *See NOTE 16 for alternate and emergency fuels. 
 SHAFT 
 POWER TURBINE 
 GAS GEN 
 POWER TURBINE"
ENGINE LIMITS T700GE700,"HP 
 RPM 
 RPM 
 INLET (TGT)"
Military Power 30 min,"1,561 
 20,900 
 44,700 
 850º C 
 1,318 
 20,900 
 44,700 
 775 º C 
 SHAFT 
 POWER TURBINE 
 GAS GEN 
 POWER TURBINE"
