Keyterm,Info
"R00004RC 
 Revision 3 
 JJASPP Engineering Services, LLC 
 UH-1H 
 October 18, 2019",
Type Certificate Holder,"JJASPP Engineering Services, LLC. 
 511 Harmon Terrace 
 Arlington, Texas 76010"
"I – Model UH-1H (Restricted Category Military Surplus Helicopter), Approved February 25, 2013",
Engine,Lycoming T53-L-13B (See NOTE 12. for approved alternate engines)
Fuel,"MIL-T-5624 (JP-4) 
 Alternate Fuels: MIL-T-5624 (JP-5), MIL-T-83133 (JP-8)"
Engine Limits,"Torque 
 Output Shaft 
 Exhaust 
 Pres. (psi) 
 Speed (rpm) 
 Gas Temp. (deg. C) 
 Takeoff 
 50.0 
 6,600 
 625oC 
 (30 min.) 
 (1100 SHP) 
 (100%) 
 Maximum 
 50.0 
 6,600 
 610oC 
 Cont. 
 (1100 SHP) 
 (100%) 
 (See NOTES 2. and 3.)"
Rotor Limits,"Power Off 
 Power On 
 Maximum 339 rpm 
 Maximum 324 rpm 
 Minimum 294 rpm 
 Minimum 294 rpm 
 Continuous Operation 294 - 324 rpm"
Airspeed Limits,"Roof Mounted Pitot Static: 
 Vne (never exceed speed) 124 knots (143 mph) up to and including 7500 lbs. 
 G.W. sea level to 2000 feet (See NOTE 4. for specific airspeed operating 
 limitations). 
 Nose Mounted Pitot Static: 
 Vne (never exceed speed) 119 knots (137 mph) up to and including 7500 lbs. 
 G.W. sea level to 2000 feet (See NOTE 4. for specific airspeed operating 
 limitations)."
1,"2 
 3 
 4 
 5"
3,"3 
 3 
 3 
 3"
CG Range,"Longitudinal C.G. Limits 
 (+134) to (+143) at 9,500 lbs. 
 (+130) to (+144) at 8,600 lbs. and below 
 Lateral C.G. Limits 
 4.7 in. left from centerline of fuselage 
 6.5 in. right from centerline of fuselage 
 See center of gravity charts in U.S. Army UH-1H Operator’s Manual TM 55- 
 1520-210-10 for specific loading."
Empty Weight,See U.S. Army UH-1H Operator’s Manual TM55-1520-210-10.
Datum,"Station 0 (datum is located 7.60 inches aft of the most forward point of the 
 fuselage nose section). See U.S. Army UH-1H Operator’s Manual TM 55- 
 1520-210-10."
Leveling Means,"Plumb line from top of left main door frame to index plate on floor (see NOTE 
 1.)."
Maximum Weight,"9,500 lbs."
Minimum Crew,One (1) pilot
No of Seats,"See NOTE 10. (See U.S. Army UH-1H Operator’s Manual TM-55-1520-210- 
 10 for seat locations)."
Fuel Capacity,"208.5 gallons (+151.6) 
 Usable fuel 206.5 gallons"
Oil System,"3.25 gallons (+173) 
 Usable oil 1.5 gallons (included in capacity) 
 See NOTE 1. for data on undrainable oil."
Rotor Blade and,For rigging information refer to U.S. Army UH-1H Maintenance Manual
Control Movements,TM 55-1520-210-23.
Serial No’s Approved,"U.S. Military Surplus UH-1H Helicopters as identified in JJASPP Engineering, 
 LLC Report No. JJASPP-RC-001, dated September 21, 2012, or later FAA 
 approved revisions. A current copy in on file at the Fort Worth Rotorcraft 
 Certification Office, ASW-170."
Certification Basis,"14 CFR § 21.25(a)(2) effective February 1, 1965, including Amendments 21-1 
 through 21-42. 
 Type Certificate R00004RC issued February 14, 2013, for the special purpose 
 of: 
 1) 
 Agricultural Operations under § 21.25(b)(1). 
 Note: In accordance with § 36.1(a)(4), compliance with the noise 
 requirements was not shown. Therefore, aircraft certified under this type 
 certificate are only eligible for agricultural operations excepted by § 
 36.1(a)(4) and defined under § 137.3. 
 2) 
 Forest and Wildlife Conservation under § 21.25(b)(2). 
 Note: In accordance with § 36.1(a)(4), compliance with the noise 
 requirements was not shown. Therefore, aircraft certified under this type 
 certificate are only eligible for dispensing of fire fighting materials, as 
 excepted by § 36.1(a)(4). 
 3) 
 External Load Operations under 14 CFR § 21.25(b)(7). 
 Note: In accordance with 14 CFR § 36.1(a)(4), compliance with noise 
 requirements was not shown. Therefore, aircraft certificated under this type 
 certificate are only eligible for external load operations excepted by 14 CFR § 
 36.1(a)(4) and defined under 14 CFR § 133.1(b). 
 Any alteration to the aircraft for special purposes not identified above require 
 further FAA approval and in addition may require noise and/or flight testing. 
 General Note: Any subsequent modifications to the helicopters type certified 
 under this type certificate are to have the certification basis for that 
 modification established under 14 CFR § 21.101 published June 7, 2000 which 
 became effective June 10, 2003. Otherwise non-significant modifications are 
 to meet the requirements of 14 CFR part 29 Airworthiness Standards, 
 Transport Category, Amendment 1, effective August 12, 1965 and 14 CFR § 
 29.1529, Instructions for Continued Airworthiness, Amendment 20, effective 
 September 11, 1980."
Production Basis,"None. No helicopter may be manufactured under this approval. Prior to 
 adding serial numbers to this type certificate, each candidate helicopter must 
 undergo a conformity inspection. The conformity inspection will be conducted 
 in accordance with a Type Inspection Authorization, Part 1, or request for 
 conformity using the conformity inspection guidelines contained in FAA Order 
 8110.56."
Equipment,"The basic required equipment as prescribed in the applicable airworthiness 
 regulations (see certification basis) must be installed in the helicopter prior to 
 original airworthiness certification. In addition, the following items or 
 equipment are required with each helicopter as specified: 
 (a) 
 Outside air temperature gauge 
 (b) 
 Engine tail pipe temperature gauge 
 (c) 
 The U.S. Army UH-1H Operator’s Manual TM 55-1520-210-10, dated 15 
 February 1988 or later FAA approved revisions."
