Keyterm,Info
"R00008AT 
 Revision 1 
 Robinson Air Crane Inc. 
 UH-1F, TH-1F, UH-1P 
 September 15, 2003",
Type Certificate Holder,"Robinson Air Crane, Inc. 
 14956 South River Drive 
 Miami, Florida 31167"
"I. Models UH-1F, UH-1P, TH-1F (Restricted Category Military Surplus), Approved October 5, 1995",
Engine,"General Electric T-58-GE-3 
 (See Note 10 regarding helicopter, engines and appliances)"
Fuel,"MIL-T5624 (JP-4) 
 MIL-T-5624G (JP-5) 
 ASTM Type B (Jet B) 
 ASTM Type A-1 (Jet A-1) 
 (See Note 12 for alternate fuels.)"
Engine Limits,"Torque 
 Output 
 Exhaust 
 Gas Gen. 
 Pressure 
 Horsepower 
 Gas Temp. 
 Speed 
 (PSI) 
 (HP) 
 (oC)(T5) 
 Ng (%) 
 Maximum 
 (5 min.) 
 67 
 1,100 
 690 
 102.5 
 Maximum 
 Limited by 
 Continuous 
 54 
 888 
 635 
 E.G.T. (T5) 
 Refer to Operators Manual USAF Model UH-1F, UH-1P, TH-1F Helicopters, for 
 additional limitation data."
Rotor Limits,"Power Off (RPM) 
 Power On (RPM) 
 Maximum 
 339 
 317 
 Minimum 
 295 
 295"
Airspeed Limits,"Vne (Never Exceed Speed) is 120 knots IAS at a gross weight of 7,000 lbs. or less at sea 
 level standard day. For reduction of Vne with density altitude and gross weight, see 
 USAF T.O. 1H-1(U)F-1. Also see USAF T.O. 1H-1(U)F-1 for additional airspeed limits."
Page No,"1 
 2 
 3 
 4 
 5"
Rev No,"1 
 1 
 1 
 1 
 1"
Other Limits,"Flight hours are counted from takeoff to landing 
 The helicopters approved under this type certificate are done so under the concept of 
 limited exposure associated with escape from inadvertent ice encounters, and are 
 prohibited against flight into known icing. The helicopters must be re-evaluated if 
 certification to the General Ice protection Airworthiness Regulations is requested."
Center of Gravity,Longitudinal C.G. Limits:
CG Range,"(+127.0) to (+132.0) at 9,000 lbs. 
 (+125.0) to (+135.7) at 7,400 lbs. 
 (+125.0) to (+138.0) at 6,500 lbs. 
 (+130.0) to (+138.0) at 4.500 lbs. 
 Straight line variation between points given above."
CG Range,"Refer to Operators Manual USAF Model UH-1F, UH-1P, TH-1F Helicopters."
Datum,"Station 0, datum is 7.6 inches, aft of the most forward point of the fuselage nose section. 
 Refer to Operators Manual USAF Model UH-1F, UH-1P, TH-1F Helicopters."
Leveling Means,"Drop plumb bob from ""key hole"" slot in upper left door sill. Reference to 1H-1(U)F-5. 
 (See Note 1)"
Maximum Weight,"9,000 lbs."
Minimum Crew,1 (Pilot) at + 46.7
No of Seats,See Note 11
Maximum Baggage,"Refer to Operators Manual USAF Model UH-1F, UH-1P, TH-1F Helicopters."
Maximum Passengers,See Note 11
Fuel Capacity,245 gallons total (3.0 unusable)
Oil Capacity,5.4 gallons total (0.8 unusable)
Rotor Blade and,"For rigging information, refer to USAF T.O. 1H-1(U)F-2-1 USAF Model UH-1F, UH-"
Control Movement,TH-1F Helicopters.
Serial No’s Approved,"The following USAF Model UH-1F, UH-1P, TH-1F Helicopters, serial numbers have been 
 approved as of July 28, 2003: 66-1231, 66-1232, 66-1240, 66-1247. (66-1249 has been 
 reported destroyed and is a total loss)."
