Keyterm,Info
"R00009SE 
 Revision 2 
 Helicopter Transport Services 
 CH-54A 
 January 31, 2017",
Type Certificate Holder,"Helicopter Transport Services, LLC 
 14497 Keil Road NE 
 Aurora, OR 97002"
Type Certificate Holder,"TC Transferred to Helicopter Transport Services, LLC on December 18, 2013"
I,"Model CH-54A (Restricted Category Rotorcraft) Approved July 30, 2008. (See NOTES Section)"
Engines,(2) Pratt & Whitney JFTD12A-4A (T73-P-1)
Fuel,"ASTM-D1655 (Jet A, Jet A-1, Jet B) (SEE NOTE 13.)"
Engine Limits,"Gas 
 Power 
 Turbine 
 Output 
 Generator 
 Rating 
 Turbine 
 Inlet 
 Horsepower 
 Speed 
 Torque 
 Speed 
 Temp. 
 (HP) 
 (%Q) 
 (N2) 
 (T5) 
 (N1) 
 Dual Engine Limits 
 Military Power (30 Min.) 
 81 
 9000 
 105% 
 104% 
 688°C 
 Max. Continuous Cruise 
 66 
 8000 
 95-104% 
 40-104% 
 655°C 
 One Engine Limits 
 One Engine Inop (30 Min.) 
 100 
 4500 
 105% 
 104% 
 688ºC 
 Max. Continuous Cruise 
 79 
 4000 
 95-104% 
 40-104% 
 655º 
 • 
 (%Q) Values Are Main Transmission Limits 
 Takeoff and maximum continuous horsepower ratings are normally obtained at a 
 power turbine speed of 9000 r.p.m. (100% N2) 
 Total power for two-engine operations is limited to 6600 s.h.p. for takeoff and 5400 
 s.h.p. maximum continuous. 
 Refer to Evergreen Helicopters, Inc. Report No. EHI-110, N.C., July 29, 2008, 
 Rotorcraft Flight Manual EHI CH-54A, Chapter 2, or later FAA approved revisions, 
 for additional limitation data."
Page No,"1 
 2 
 3 
 4 
 5 
 6"
Rev No,"2 
 0 
 2 
 2 
 2 
 2"
Rotor Speed Limits,"Power Off 
 Power On 
 Maximum 204 r.p.m. (110% Nr) 
 Maximum 193 r.p.m. (104% Nr) 
 Minimum 167 r.p.m. (90% Nr) 
 Minimum 185 r.p.m. (100% Nr)"
Airspeed,"V NE (Never Exceed Speed): 99 knots between 38,000 lbs. and 42,000 lbs. gross 
 weight. 115 knots up to 38,000 lbs. gross weight."
Center of Gravity,"(+324.0 to +352.0) at 23,000 lbs."
CG Range,"(+324.0 to +352.0) at 30,000 lbs. 
 (+328.0 to +352.0) at 38,000 lbs. 
 (+328.0 to +346.0) at 38,000 lbs. 
 (+328.0 to +346.0) at 42,000 lbs. 
 Straight line variation between points given. 
 42,000 
 38,000 
 30,000 
 Gross Weight (Lbs.) 
 23,000 
 324 
 328 
 346 
 352 
 Inches from Datum 
 Straight line variation between points given."
Empty Weight CG,"Fwd. Limit 
 324 inches aft of datum"
Range,"Aft Limit 
 352 inches aft of datum"
Datum,Station 0 (Datum is 336 inches forward of main rotor centroid).
Leveling Means,Plumb line from top level plate inside cockpit aft door. (SEE NOTE 1.)
Maximum Weight,"42,000 lbs."
Maximum External,"20,000 lbs."
Minimum Crew,2 - pilot and copilot
Number of Seats,5 – 2 at (+92.9); 1 at (+108.5); 1 at (+127.0); 1 at (+130.0) (SEE NOTE 12.)
Maximum Cargo,SEE NOTE 5.
Fuel Capacity,"1351 gal.: 454 gal. at (+280.8), 454 gal. at (+397.3), 443 gal. at (+461.3)."
Oil Capacity,3.2 gal. at (+234.0) - (2 tanks 1.6 gal. each).
Rotor Blade and,"For rigging information, SEE NOTE 4."
Other Operating,SEE NOTE 5.
Serial No Approved,"U.S. Military Surplus CH-54A helicopters as identified in Evergreen Helicopters, 
 Inc. Report No. EHI-105, Serial Numbers approved, N.C., dated January 21, 2008, or 
 later FAA Approved revisions."
Certification Basis,"14 CFR Part 21, § 21.25(a)(2) effective February 1, 1965, including Amendments 
 21-1 through 21-42. Type Certificate No. R00009SE issued July 30, 2008, for the 
 Special Purpose of: 
 1) 
 Agricultural Operations under 14 CFR Part 2 , § 21.25(b)(1). 
 Note: In accordance with 14 CFR Part 36, § 36.1(a)(4), compliance with the noise 
 requirements was not shown. Therefore, aircraft certificated under this type 
 certificate are only eligible for agricultural operations except by § 36.1(a)(4) and 
 defined under 14 CFR Part 137, § 137.3. 
 2) 
 Forest and Wildlife Conservation Operations under 14 CFR Part 21, 
 § 21.25(b)(2). 
 Note: In accordance with 14 CFR Part 36, § 36.1(a)(4), compliance with the noise 
 requirements was not shown. Therefore, aircraft certificated under this type 
 certificate are only eligible for dispensing firefighting materials excepted by 
 § 36.1(a)(4) and defined under 14 CFR Part 137, § 137.3. 
 3) 
 External Load Operation under 14 CFR Part 21, § 21.25(b)(7). 
 Note: In accordance with 14 CFR Part 36, § 36.1(a)(4), compliance with the noise 
 requirements was not shown. Therefore, aircraft certificated under this type 
 certificate are only eligible for external loads operations excepted by § 36.1(a)(4) 
 and defined under 14 CFR Part 133, § 133.1(b). 
 Any alteration to the aircraft for Special Purposes not identified above requires 
 further FAA approval and in addition may require noise and/or flight testing. 
 General Note: Any subsequent modifications to the helicopters type certified under 
 this Type Certificate are to have the certification basis for that modification 
 established under 14 CFR § 21.101, Amendment 21-96, Effective February 4, 2013. 
 Otherwise, non-significant modifications are to meet the requirements of 14 CFR 
 § 29 Amendment 1, effective August 12, 1965, and 14 CFR § 29.1529, Instructions 
 for Continued Airworthiness, Amendment 20."
Date of Application,"July 14, 2004."
Production Basis,"None. No helicopters may be produced under this approval. Prior to adding serial 
 numbers to this Type Certificate, each candidate helicopter must pass a conformity 
 inspection. The conformity inspection will be conducted in accordance with a Type 
 Inspection Authorization, Part 1, or Request for Conformity that will include as a 
 minimum, the inspections contained in the FAA Rotorcraft Directorate Restricted 
 Category Conformity document dated September 25, 2001, or later FAA approved 
 revisions."
Equipment,"The basic required equipment necessary for the particular special purpose operation 
 must be installed for certification. Each helicopter is required to incorporate 
 modifications as specified in: 
 1. Evergreen Helicopters, Inc. Engineering Configuration Report No. EHI-101, 
 N.C., dated February 10, 2008, or later FAA approved revisions. 
 2. Evergreen Helicopters, Inc. Report No. EHI-110, N.C., Rotorcraft Flight 
 Manual EHI CH-54A, July 29, 2008, or later FAA approved revisions. 
 3. Evergreen Helicopters, Inc. Report No. EHI-110-CL, N.C., Abbreviated Check 
 List Rotorcraft Flight Manual EHI CH-54A, July 29, 2008. 
 4. U.S. Army External Cargo Hook P/N 6435-63000-025 installed on model 
 CH-54A as part of the military configuration."
