Keyterm,Info
"R00024BO 
 Revision 28 
 Sikorsky Aircraft 
 Model S-92A 
 October 4, 2021",
TYPE CERTIFICATE TC HOLDER,"Sikorsky Aircraft Corporation 
 6900 Main Street 
 Stratford, CT 06615-9129"
MODEL NUMBER,"S-92A (Transport Helicopter, Category A, Approved 17 
 December 2002; Transport Helicopter, Category B, 
 Approved May 7, 2004)"
ENGINES,"2 General Electric Company Model GE CT7-8 (TC E8NE) or 
 2 General Electric Company Model GE CT7-8A (TC E8NE) or 
 2 General Electric Company Model GE CT7-8A6 (TC E8NE)"
FUELS,"JET A, JET B, JET A-1, JP-4, JP-5, JP-8, PRC No. 3, TS-1, RT 
 For all operations below –20°C (-4°F) ambient temperature, all fuel used 
 must contain MIL-D-27686 or equivalent anti-icing additive."
ENGINE AND TRANSMISSIONS APPROVED OILS,See Rotorcraft Flight Manual for list of approved oils.
HYDRAULIC FLUID,"MIL-PRF-87257 is authorized for use at all approved ambient 
 temperatures. 
 MIL-PRF-83282 may only be used at ambient temperatures above -32°C (- 
 25°F)."
DEICING FLUID,Kilfrost DF PLUS (88)
Page,"1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 
 10 
 11 
 12 
 13 
 14 
 15 
 I I I I I I I I I I I I I I I I"
Rev,"28 
 3 
 3 
 24 
 27 
 27 
 27 
 27 
 27 
 25 
 24 
 26 
 24 
 27 
 28 
 CT7-8 Engine 
 DUAL ENGINE LIMITS 
 Ng (%) 
 Np (%) 
 Rated SHP 
 Rated 
 Rating 
 Time 
 Q (%) 
 T4.5 
 (°C) 
 @ SLS 
 Np (%) 
 100 
 920 
 99.9 
 106 
 2043 
 105 
 86 (1) 
 when airspeed is greater than 100 KIAS"
30 Min 2,"30 min 
 100 
 957 
 101.5 
 106 
 2336 
 105"
Takeoff,"5 min 
 100 
 986 
 102.9 
 106 
 2520 
 105"
Transient,"12 sec 
 987 
 103.2 
 116 
 10 sec 
 120 (3) 
 SINGLE ENGINE LIMITS 
 Ng (%) 
 Np (%) 
 Rated SHP 
 Rated 
 Rating 
 Time 
 Q (%) 
 T4.5 
 (°C) 
 @ SLS 
 Np (%) 
 120 
 920 
 99.9 
 106 
 2043 
 105"
OEI,"30 min 
 120 
 979 
 102.4 
 106 
 2498 
 100"
OEI,"2 min 
 120 
 990 
 102.9 
 106 
 2520 
 100"
OEI,"30 sec 
 135 
 1010 
 103.7 
 106 
 2600 
 100"
Transient,"5 sec 
 156(3)"
Max starting,"peak 
 1000"
,Q (%) values are gearbox limits.
,(2) Rating applies to hovering flight only.
,"100% Q corresponds to a combined power input from both engines to the MGB of 4,170 shp at a 
 rotor speed of 105% (258 rpm). Power turbine speed (Np) of 105% corresponds to 21,945 rpm."
,"provided that the torque on the other engine is proportionally less than 100% and the sum of the 
 individual torque values does not exceed 200%."
,Np overspeed trip is at 120%.
,Ng overspeed trip is at 108.5%
,"When flying at altitudes greater than 8,000 feet at outside air temperatures lower that –20 degrees C, it is 
 possible to reach the corrected Ng speed limit of the engine. When this occurs, the engine will not produce 
 more power. The only indication that the pilot will see when reaching this limit is that further increase in"
